# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.276
metadata : {}


# id : NWRW1800000036.276.1.1
민주당·환경단체 “칠곡보 물받이공 균열 확인

민주당·환경단체	민주당/NNP+·/SP+환경/NNG+단체/NNG
“칠곡보	“/SS+칠곡보/NNP
물받이공	물받이공/NNG
균열	균열/NNG
확인	확인/NNG


# id : NWRW1800000036.276.2.1
[한겨레] ″보의 붕괴 시작됐다″ 주장

[한겨레]	[/SS+한겨레/NNP+]/SS
″보의	″/SS+보/NNG+의/JKG
붕괴	붕괴/NNG
시작됐다″	시작/NNG+되/XSV+었/EP+다/EF+″/SS
주장	주장/NNG


# id : NWRW1800000036.276.3.1
정부 “바닥보호공만 균열”

정부	정부/NNG
“바닥보호공만	“/SS+바닥/NNG+보호공/NNG+만/JX
균열”	균열/NNG+”/SS


# id : NWRW1800000036.276.4.1
4대강 사업으로 낙동강에 건설한 칠곡보의 하단 물받이공에 대규모 균열이 발생해 보 안전이 위협받고 있다는 야당과 환경단체들의 주장이 제기됐다.

4대강	4/SN+대/NNG+강/NNG
사업으로	사업/NNG+으로/JKB
낙동강에	낙동강/NNP+에/JKB
건설한	건설/NNG+하/XSV+ㄴ/ETM
칠곡보의	칠곡보/NNP+의/JKG
하단	하단/NNG
물받이공에	물받이공/NNG+에/JKB
대규모	대/XPN+규모/NNG
균열이	균열/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
보	보/NNG
안전이	안전/NNG+이/JKS
위협받고	위협/NNG+받/XSV+고/EC
있다는	있/VX+다는/ETM
야당과	야당/NNG+과/JC
환경단체들의	환경/NNG+단체/NNG+들/XSN+의/JKG
주장이	주장/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.276.4.2
물받이공은 보 상부에서 쏟아져내리는 물에 보 바로 아래쪽 바닥이 파이는 것을 막기 위해 보와 일체형으로 설치하는 것으로, 보 본체의 안전과 직결되는 구조물이다.

물받이공은	물받이공/NNG+은/JX
보	보/NNG
상부에서	상부/NNG+에서/JKB
쏟아져내리는	쏟아지/VV+어/EC+내리/VV+는/ETM
물에	물/NNG+에/JKB
바로	바로/MAG
아래쪽	아래쪽/NNG
바닥이	바닥/NNG+이/JKS
파이는	파이/VV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
보와	보/NNG+와/JKB
일체형으로	일체/NNG+형/XSN+으로/JKB
설치하는	설치/NNG+하/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
본체의	본체/NNG+의/JKG
안전과	안전/NNG+과/JKB
직결되는	직결/NNG+되/XSV+는/ETM
구조물이다.	구조물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.276.4.3
이에 따라 환경단체는 “보의 붕괴가 시작된 것”이라고 경고하고 나섰지만, 정부는 “균열이 발생한 지점은 물받이공이 아니다”라고 반박해 논란이 일고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
환경단체는	환경/NNG+단체/NNG+는/JX
“보의	“/SS+보/NNG+의/JKG
붕괴가	붕괴/NNG+가/JKS
