# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.205
metadata : {}


# id : NWRW1800000046.205.1.1
선발진 탄탄해졌지만 '허술한 뒷문' 불안

선발진	선발진/NNG
탄탄해졌지만	탄탄하/VA+아/EC+지/VX+었/EP+지만/EC
'허술한	'/SS+허술하/VA+ㄴ/ETM
뒷문'	뒷문/NNG+'/SS
불안	불안/NNG


# id : NWRW1800000046.205.2.1
KIA 올시즌 전력 'SWOT' 분석

KIA	KIA/SL
올시즌	올/NNG+시즌/NNG
전력	전력/NNG
'SWOT'	'/SS+SWOT/SL+'/SS
분석	분석/NNG


# id : NWRW1800000046.205.3.1
'나는 오늘 팀과 나를 위해 무엇을 어떻게 할 것인가! 왜?'

'나는	'/SS+나/NP+는/JX
오늘	오늘/NNG
팀과	팀/NNG+과/JC
나를	나/NP+를/JKO
위해	위하/VV+아/EC
무엇을	무엇/NP+을/JKO
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것인가!	것/NNB+이/VCP+ㄴ가/EF+!/SF
왜?'	왜/MAG+?/SF+'/SS


# id : NWRW1800000046.205.4.1
지난달 16일부터 KIA가 전지훈련을 하고 있는 일본 오키나와의 킨베이스볼 스타디움 외야석에 걸린 현수막의 글귀다.

지난달	지난달/NNG
16일부터	16/SN+일/NNB+부터/JX
KIA가	KIA/SL+가/JKS
전지훈련을	전지훈련/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
일본	일본/NNP
오키나와의	오키나와/NNP+의/JKG
킨베이스볼	킨베이스볼/NNP
스타디움	스타디움/NNP
외야석에	외야석/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
현수막의	현수막/NNG+의/JKG
글귀다.	글귀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.205.4.2
선수들이 스스로 야구를 하는 이유를 깨닫고 훈련에 임하라는 김기태 감독의 메시지가 담겼다.

선수들이	선수/NNG+들/XSN+이/JKS
스스로	스스로/MAG
야구를	야구/NNG+를/JKO
하는	하/VV+는/ETM
이유를	이유/NNG+를/JKO
깨닫고	깨닫/VV+고/EC
훈련에	훈련/NNG+에/JKB
임하라는	임하/VV+라는/ETM
김기태	김기태/NNP
감독의	감독/NNG+의/JKG
메시지가	메시지/NNG+가/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.205.4.3
3년 연속 포스트시즌 진출에 실패한 선동열 전 감독에 이어 사령탑에 오른 김 감독의 지휘 아래 KIA는 10개 구단 중 유일하게 오키나와 한 곳에서 전지훈련을 이어가고 있다.

3년	3/SN+년/NNB
연속	연속/NNG
포스트시즌	포스트시즌/NNG
진출에	진출/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
선동열	선동열/NNP
전	전/MMD
감독에	감독/NNG+에/JKB
이어	잇/VV+어/EC
사령탑에	사령탑/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
김	김/NNP
감독의	감독/NNG+의/JKG
지휘	지휘/NNG
아래	아래/NNG
KIA는	KIA/SL+는/JX
10개	10/SN+개/NNB
구단	구단/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
오키나와	오키나와/NNP
한	한/MMN
