# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.353
metadata : {}


# id : NWRW1800000022.353.1.1
'용산참사' 재판부 현장검증_옥상에 소주병 100여개… '발화 원인' 공방

'용산참사'	'/SS+용산/NNP+참사/NNG+'/SS
재판부	재판부/NNG
현장검증_옥상에	현장/NNG+검증/NNG+_/SW+옥상/NNG+에/JKB
소주병	소주병/NNG
100여개…	100/SN+여/XSN+개/NNB+…/SE
'발화	'/SS+발화/NNG
원인'	원인/NNG+'/SS
공방	공방/NNG


# id : NWRW1800000022.353.2.1
'용산 철거민 참사' 현장이 사건 발생 9개월 만에 처음으로 언론에 공개됐다.

'용산	'/SS+용산/NNP
철거민	철거민/NNG
참사'	참사/NNG+'/SS
현장이	현장/NNG+이/JKS
사건	사건/NNG
발생	발생/NNG
9개월	9/SN+개월/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
언론에	언론/NNG+에/JKB
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.353.3.1
경찰에 화염병을 던지며 농성을 벌이다 기소된 피고인 9명에 대한 1심 재판을 맡고 있는 서울중앙지법 형사27부(재판장 한양석)는 12일 사고 현장인 서울 용산구 남일당 건물에 대해 1시간 40분가량 현장 검증을 실시했다.

경찰에	경찰/NNG+에/JKB
화염병을	화염병/NNG+을/JKO
던지며	던지/VV+며/EC
농성을	농성/NNG+을/JKO
벌이다	벌이/VV+다/EC
기소된	기소/NNG+되/XSV+ㄴ/ETM
피고인	피고인/NNG
9명에	9/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
1심	1심/NNG
재판을	재판/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
서울중앙지법	서울중앙지법/NNP
형사27부(재판장	형사/NNG+27/SN+부/NNG+(/SS+재판장/NNG
한양석)는	한양석/NNP+)/SS+는/JX
12일	12/SN+일/NNB
사고	사고/NNG
현장인	현장/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
용산구	용산구/NNP
남일당	남일당/NNP
건물에	건물/NNG+에/JKB
대해	대하/VV+아/EC
1시간	1/SN+시간/NNB
40분가량	40/SN+분/NNB+가량/XSN
현장	현장/NNG
검증을	검증/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.353.4.1
건물 내부에는 산산조각이 난 유리 파편들이 바닥에 깔려있었고, 건물 내 통로 벽면 곳곳은 시커멓게 그을려 있었다.

건물	건물/NNG
내부에는	내부/NNG+에/JKB+는/JX
산산조각이	산산조각/NNG+이/JKS
난	나/VV+ㄴ/ETM
유리	유리/NNG
파편들이	파편/NNG+들/XSN+이/JKS
바닥에	바닥/NNG+에/JKB
깔려있었고,	깔리/VV+어/EC+있/VX+었/EP+고/EC+,/SP
내	나/NP+의/JKG
통로	통로/NNG
벽면	벽면/NNG
곳곳은	곳곳/NNG+은/JX
시커멓게	시커멓/VA+게/EC
그을려	그을리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.353.5.1
당시 화재가 발생한 망루도 붉게 녹슬어 있는 등 형체를 알아볼 수 없는 상태로 옥상에 방치돼 있었다.

당시	당시/NNG
화재가	화재/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
망루도	망루/NNG+도/JX
붉게	붉/VA+게/EC
녹슬어	녹슬/VV+어/EC
있는	있/VX+는/ETM
등	등/NNB
형체를	형체/NNG+를/JKO
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상태로	상태/NNG+로/JKB
옥상에	옥상/NNG+에/JKB
방치돼	방치/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.353.5.2
옥상에는 화염병으로 사용됐을 것으로 추정되는 소주병 100여개가 굴러다니고 있었다.

옥상에는	옥상/NNG+에/JKB+는/JX
화염병으로	화염병/NNG+으로/JKB
사용됐을	사용/NNG+되/XSV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
소주병	소주병/NNG
100여개가	100/SN+여/XSN+개/NNB+가/JKS
굴러다니고	굴러다니/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.353.6.1
검찰 측은 현장에서 "심지가 꽂혀 있는 깨진 화염병이 발화 원인"이라고 주장했고, 변호인 측은 "화염병이 실제 사용된 것인지, 건물이 무너지면서 깨진 것인지 알 수 없다"고 맞섰다.

검찰	검찰/NNG
측은	측/NNB+은/JX
현장에서	현장/NNG+에서/JKB
"심지가	"/SS+심지/NNG+가/JKS
