# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.449
metadata : {}


# id : NWRW1800000028.449.1.1
“한전KDN, 승급분 임금체불은 위법”

“한전KDN,	“/SS+한전/NNP+KDN/SL+,/SP
승급분	승급/NNG+분/XSN
임금체불은	임금/NNG+체불/NNG+은/JX
위법”	위법/NNG+”/SS


# id : NWRW1800000028.449.2.1
한국전력의 정보통신부문 자회사인 한전케이디엔(KDN)이 일부 직원들의 승급분을 일방적으로 지급하지 않은 것(<한겨레> 12월20일치 14면)과 관련해, 이는 근로기준법 위반에 해당한다는 지적이 나왔다. 이 회사 직원 210여명은 최근 임금 미지급의 이유를 들어 서울지방노동청에 집단으로 진정서를 제출했는데, 회사 쪽은 “아예 승급 인사 발령을 하지 않았기 때문에 임금 체불이 아니다”라고 해명한 바 있다.

한국전력의	한국전력/NNP+의/JKG
정보통신부문	정보/NNG+통신/NNG+부문/NNG
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
한전케이디엔(KDN)이	한전케이디엔/NNP+(/SS+KDN/SL+)/SS+이/JKS
일부	일부/NNG
직원들의	직원/NNG+들/XSN+의/JKG
승급분을	승급/NNG+분/XSN+을/JKO
일방적으로	일방/NNG+적/XSN+으로/JKB
지급하지	지급/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것(<한겨레>	것/NNB+(/SS+</SS+한겨레/NNP+>/SS
12월20일치	12/SN+월/NNB+20/SN+일/NNB+치/NNB
14면)과	14/SN+면/NNG+)/SS+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
이는	이/NP+는/JX
근로기준법	근로/NNG+기준법/NNG
위반에	위반/NNG+에/JKB
해당한다는	해당/NNG+하/XSV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF
이	이/MMD
회사	회사/NNG
직원	직원/NNG
210여명은	210/SN+여/XSN+명/NNB+은/JX
최근	최근/MAG
임금	임금/NNG
미지급의	미/XPN+지급/NNG+의/JKG
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
서울지방노동청에	서울지방노동청/NNP+에/JKB
집단으로	집단/NNG+으로/JKB
진정서를	진정서/NNG+를/JKO
제출했는데,	제출/NNG+하/XSV+았/EP+는데/EC+,/SP
쪽은	쪽/NNB+은/JX
“아예	“/SS+아예/MAG
승급	승급/NNG
인사	인사/NNG
발령을	발령/NNG+을/JKO
하지	하/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
체불이	체불/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
해명한	해명/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.449.3.1
이 회사 인사규정을 검토한 한 노무사는 20일 <한겨레>와 한 통화에서 “대리, 과장, 차장은 그 직위에서 2년 이상 근무하고 인사평가 점수가 일정 수준 이상이면 승급하도록 규정하고 있고, 연봉규정 시행세칙에서는 승급 때는 연봉 등급을 1등급 가산한다고 규정돼 있다”며 “인사발령과 무관하게 회사 인사규정상 조건이 되는 직원은 승급시키고 그에 따라 승급분만큼 더 지급할 의무가 있다”고 말했다.

이	이/MMD
회사	회사/NNG
인사규정을	인사/NNG+규정/NNG+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
한	하/VV+ㄴ/ETM
노무사는	노무사/NNG+는/JX
20일	20/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
통화에서	통화/NNG+에서/JKB
“대리,	“/SS+대리/NNG+,/SP
과장,	과장/NNG+,/SP
차장은	차장/NNG+은/JX
그	그/MMD
직위에서	직위/NNG+에서/JKB
2년	2/SN+년/NNB
이상	이상/NNG
근무하고	근무/NNG+하/XSV+고/EC
인사평가	인사/NNG+평가/NNG
점수가	점수/NNG+가/JKS
일정	일정/NNG
수준	수준/NNG
이상이면	이상/NNG+이/VCP+면/EC
승급하도록	승급/NNG+하/XSV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
연봉규정	연봉/NNG+규정/NNG
시행세칙에서는	시행/NNG+세칙/NNG+에서/JKB+는/JX
승급	승급/NNG
때는	때/NNG+는/JX
연봉	연봉/NNG
등급을	등급/NNG+을/JKO
1등급	1/SN+등급/NNG
가산한다고	가산/NNG+하/XSV+ㄴ다고/EC
규정돼	규정/NNG+되/XSV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“인사발령과	“/SS+인사/NNG+발령/NNG+과/JKB
무관하게	무관하/VA+게/EC
인사규정상	인사/NNG+규정/NNG+상/XSN
조건이	조건/NNG+이/JKC
되는	되/VV+는/ETM
직원은	직원/NNG+은/JX
승급시키고	승급/NNG+시키/XSV+고/EC
그에	그/NP+에/JKB
따라	따르/VV+아/EC
승급분만큼	승급/NNG+분/XSN+만큼/JKB
더	더/MAG
지급할	지급/NNG+하/XSV+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.449.3.2
이 노무사는 “회사가 인사규정 등을 바꿔서 승급분을 지급하지 않을 수도 있지만, 이 경우엔 임금 관련 사항을 직원들에게 불리하게 고치는 경우에 해당할 수 있어 근로기준법(94조)에 따라 노조 또는 직원 과반수의 동의를 얻어야 한다”고 덧붙였다.

이	이/MMD
노무사는	노무사/NNG+는/JX
“회사가	“/SS+회사/NNG+가/JKS
인사규정	인사/NNG+규정/NNG
등을	등/NNB+을/JKO
바꿔서	바꾸/VV+어서/EC
승급분을	승급/NNG+분/XSN+을/JKO
지급하지	지급/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
경우엔	경우/NNG+에/JKB+ㄴ/JX
임금	임금/NNG
관련	관련/NNG
사항을	사항/NNG+을/JKO
직원들에게	직원/NNG+들/XSN+에게/JKB
불리하게	불리/NNG+하/XSA+게/EC
고치는	고치/VV+는/ETM
경우에	경우/NNG+에/JKB
해당할	해당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
근로기준법(94조)에	근로/NNG+기준법/NNG+(/SS+94/SN+조/NR+)/SS+에/JKB
따라	따르/VV+아/EC
노조	노조/NNG
또는	또는/MAG
직원	직원/NNG
과반수의	과반수/NNG+의/JKG
동의를	동의/NNG+를/JKO
얻어야	얻/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.449.4.1
이와 관련해 회사 홍보팀 관계자는 “노조와 협의중인 사안으로, 며칠 안에 해결될 문제”라는 입장을 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
회사	회사/NNG
홍보팀	홍보/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
“노조와	“/SS+노조/NNG+와/JKB
협의중인	협의/NNG+중/NNB+이/VCP+ㄴ/ETM
사안으로,	사안/NNG+으로/JKB+,/SP
며칠	며칠/NNG
안에	안/NNG+에/JKB
해결될	해결/NNG+되/XSV+ㄹ/ETM
문제”라는	문제/NNG+”/SS+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.449.4.2
하지만 노조 쪽은 “일단 규정대로 승급분은 지급하고 논의를 시작하자는 뜻을 전했는데, 며칠 안에 어떻게 문제가 해결될 수 있다는 것인지 모르겠다”고 말했다.

하지만	하지만/MAJ
