# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.135
metadata : {}


# id : NWRW1800000044.135.1.1
‘착한 달력’ 만들고 팔아 힘든 이웃 돕는 예술인들

‘착한	‘/SS+착하/VA+ㄴ/ETM
달력’	달력/NNG+’/SS
만들고	만들/VV+고/EC
팔아	팔/VV+아/EC
힘든	힘들/VA+ㄴ/ETM
이웃	이웃/NNG
돕는	돕/VV+는/ETM
예술인들	예술인/NNG+들/XSN


# id : NWRW1800000044.135.2.1
[한겨레] 노숙인 자활 ‘하루를 쓰다’ 최성문씨

[한겨레]	[/SS+한겨레/NNP+]/SS
노숙인	노숙인/NNG
자활	자활/NNG
‘하루를	‘/SS+하루/NNG+를/JKO
쓰다’	쓰/VV+다/EF+’/SS
최성문씨	최성문/NNP+씨/NNB


# id : NWRW1800000044.135.3.1
‘4·16달력’ 만든 디자인그룹 슬로워크

‘4·16달력’	‘/SS+4/SN+·/SP+16/SN+달력/NNG+’/SS
만든	만들/VV+ㄴ/ETM
디자인그룹	디자인/NNG+그룹/NNG
슬로워크	슬로워크/NNP


# id : NWRW1800000044.135.4.1
“모든 사람의 하루는 공평해요.

“모든	“/SS+모든/MMN
사람의	사람/NNG+의/JKG
하루는	하루/NNG+는/JX
공평해요.	공평/NNG+하/XSA+아요/EF+./SF


# id : NWRW1800000044.135.4.2
노숙인의 하루, 암환우의 하루, 문화예술인의 하루… 다 똑같이 소중합니다.”

노숙인의	노숙인/NNG+의/JKG
하루,	하루/NNG+,/SP
암환우의	암/NNG+환우/NNG+의/JKG
문화예술인의	문화/NNG+예술인/NNG+의/JKG
하루…	하루/NNG+…/SE
다	다/MAG
똑같이	똑같이/MAG
소중합니다.”	소중하/VA+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000044.135.5.1
아트랩꿈공작소 작가 최성문(사진)씨는 올해 초 이런 생각에 착안해 365명이 각자의 하루를 써서 365일을 완성하는 ‘하루를 쓰다’ 달력 프로젝트를 지난 1월 시작했다.

아트랩꿈공작소	아트랩꿈공작소/NNP
작가	작가/NNG
최성문(사진)씨는	최성문/NNP+(/SS+사진/NNG+)/SS+씨/NNB+는/JX
올해	올해/NNG
초	초/NNB
이런	이런/MMD
생각에	생각/NNG+에/JKB
착안해	착안/NNG+하/XSV+아/EC
365명이	365/SN+명/NNB+이/JKS
각자의	각자/NNG+의/JKG
하루를	하루/NNG+를/JKO
써서	쓰/VV+어서/EC
365일을	365/SN+일/NNB+을/JKO
완성하는	완성/NNG+하/XSV+는/ETM
‘하루를	‘/SS+하루/NNG+를/JKO
쓰다’	쓰/VV+다/EF+’/SS
달력	달력/NNG
프로젝트를	프로젝트/NNG+를/JKO
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.5.2
노숙인들의 자활식당인 ‘바하밥집’ 봉사활동을 하던 그는 달력 판매 수익금으로 자활기금을 보태기로 했다.

