# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.240
metadata : {}


# id : NWRW1800000053.240.1.1
이재성, 만리장성을 압박하라

이재성,	이재성/NNP+,/SP
만리장성을	만리장성/NNP+을/JKO
압박하라	압박/NNG+하/XSV+라/EF


# id : NWRW1800000053.240.2.1
신태용호, 9일 ‘E-1 챔피언십’ 첫판 특유 감각으로 공간 선점 공 가로채… 전북 최강희 감독, 대학때부터 주목 올시즌 K리그 전천후 플레이 빛나… 중국 장신 수비수 무력화 선봉에

신태용호,	신태용호/NNP+,/SP
9일	9/SN+일/NNB
‘E-1	‘/SS+E/SL+-/SO+1/SN
챔피언십’	챔피언십/NNG+’/SS
첫판	첫판/NNG
특유	특유/NNG
감각으로	감각/NNG+으로/JKB
공간	공간/NNG
선점	선점/NNG
공	공/NNG
가로채…	가로채/VV+어/EC+…/SE
전북	전북/NNP
최강희	최강희/NNP
감독,	감독/NNG+,/SP
대학때부터	대학/NNG+때/NNG+부터/JX
주목	주목/NNG
올시즌	올/NNG+시즌/NNG
K리그	K/SL+리그/NNG
전천후	전천후/NNG
플레이	플레이/NNG
빛나…	빛나/VV+아/EC+…/SE
중국	중국/NNP
장신	장신/NNG
수비수	수비수/NNG
무력화	무력/NNG+화/XSN
선봉에	선봉/NNG+에/JKB


# id : NWRW1800000053.240.3.1
2018 러시아 월드컵 본선에서 전통의 강호 독일과 멕시코, 스웨덴을 만나는 한국은 객관적으론 F조에서 최약체로 꼽힌다.

2018	2018/SN
러시아	러시아/NNP
월드컵	월드컵/NNG
본선에서	본선/NNG+에서/JKB
전통의	전통/NNG+의/JKG
강호	강호/NNG
독일과	독일/NNP+과/JC
멕시코,	멕시코/NNP+,/SP
스웨덴을	스웨덴/NNP+을/JKO
만나는	만나/VV+는/ETM
한국은	한국/NNP+은/JX
객관적으론	객관/NNG+적/XSN+으로/JKB+ㄴ/JX
F조에서	F/SL+조/NNG+에서/JKB
최약체로	최/XPN+약체/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.240.3.2
한국이 승점을 쌓기 위해서는 전방부터 상대를 강하게 압박하면서 수비가 채 전열을 갖추지 못했을 때 공을 뺏고 공간을 만들어 문전을 공략하는 해법이 절실하다.

한국이	한국/NNP+이/JKS
승점을	승점/NNG+을/JKO
쌓기	쌓/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
전방부터	전방/NNG+부터/JX
상대를	상대/NNG+를/JKO
강하게	강하/VA+게/EC
압박하면서	압박/NNG+하/XSV+면서/EC
수비가	수비/NNG+가/JKS
채	채/MAG
전열을	전열/NNG+을/JKO
갖추지	갖추/VV+지/EC
못했을	못하/VX+았/EP+을/ETM
때	때/NNG
공을	공/NNG+을/JKO
뺏고	뺏/VV+고/EC
공간을	공간/NNG+을/JKO
만들어	만들/VV+어/EC
문전을	문전/NNG+을/JKO
공략하는	공략/NNG+하/XSV+는/ETM
해법이	해법/NNG+이/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000053.240.4.1
2017 동아시아축구연맹(EAFF) E-1 챔피언십(동아시안컵)에 나서는 한국축구대표팀이 9일 첫 경기인 중국전에서 압박을 통한 다양한 빠른 공격을 실험한다.

2017	2017/SN
동아시아축구연맹(EAFF)	동아시아축구연맹/NNP+(/SS+EAFF/SL+)/SS
E-1	E/SL+-/SO+1/SN
챔피언십(동아시안컵)에	챔피언십/NNG+(/SS+동아시안/NNP+컵/NNG+)/SS+에/JKB
나서는	나서/VV+는/ETM
한국축구대표팀이	한국/NNP+축구/NNG+대표/NNG+팀/NNG+이/JKS
9일	9/SN+일/NNB
첫	첫/MMN
경기인	경기/NNG+이/VCP+ㄴ/ETM
중국전에서	중국전/NNG+에서/JKB
압박을	압박/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
빠른	빠르/VA+ㄴ/ETM
공격을	공격/NNG+을/JKO
실험한다.	실험/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.240.4.2
신태용 대표팀 감독은 8일 일본 도쿄 아지노모토 스타디움에서 훈련을 마친 뒤 “중국과 경기를 하지만 가상 월드컵이다.

신태용	신태용/NNP
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
8일	8/SN+일/NNB
일본	일본/NNP
도쿄	도쿄/NNP
아지노모토	아지노모토/NNP
스타디움에서	스타디움/NNP+에서/JKB
훈련을	훈련/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
“중국과	“/SS+중국/NNP+과/JKB
경기를	경기/NNG+를/JKO
하지만	하/VV+지만/EC
가상	가상/NNG
월드컵이다.	월드컵/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.240.4.3
월드컵에서 만날 상대라고 가정하고 문제점이 나오면 철저히 보완하겠다”고 밝혔다.

월드컵에서	월드컵/NNG+에서/JKB
만날	만나/VV+ㄹ/ETM
상대라고	상대/NNG+이/VCP+라고/EC
가정하고	가정/NNG+하/XSV+고/EC
문제점이	문제점/NNG+이/JKS
나오면	나오/VV+면/EC
철저히	철저히/MAG
보완하겠다”고	보완/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.240.4.4
그는 “공격에서는 우리가 원하는 것을 하겠다.

그는	그/NP+는/JX
“공격에서는	“/SS+공격/NNG+에서/JKB+는/JX
우리가	우리/NP+가/JKS
원하는	원/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
하겠다.	하/VV+겠/EP+다/EF+./SF


# id : NWRW1800000053.240.4.5
템포를 빠르게 가져가고 이어 패스 플레이로 흐름을 풀겠다”고 밝혔다.

템포를	템포/NNG+를/JKO
빠르게	빠르/VA+게/EC
가져가고	가져가/VV+고/EC
이어	이어/MAG
패스	패스/NNG
플레이로	플레이/NNG+로/JKB
흐름을	흐름/NNG+을/JKO
풀겠다”고	풀/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.240.5.1
신 감독 전술의 중심에는 올 시즌 K리그 클래식 최우수선수(MVP) 이재성(25·전북·사진)이 있다.

신	신/NNP
감독	감독/NNG
전술의	전술/NNG+의/JKG
중심에는	중심/NNG+에/JKB+는/JX
올	올/NNG
시즌	시즌/NNG
K리그	K/SL+리그/NNG
클래식	클래식/NNG
최우수선수(MVP)	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS
이재성(25·전북·사진)이	이재성/NNP+(/SS+25/SN+·/SP+전북/NNP+·/SP+사진/NNG+)/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.240.5.2
이재성은 측면에 위치하지만 좌우 중앙을 가리지 않고 상대 진영을 압박하며 선수들의 실수를 유발하는 능력이 탁월하다.

이재성은	이재성/NNP+은/JX
측면에	측면/NNG+에/JKB
위치하지만	위치/NNG+하/XSV+지만/EC
좌우	좌우/NNG
중앙을	중앙/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
상대	상대/NNG
진영을	진영/NNG+을/JKO
압박하며	압박/NNG+하/XSV+며/EC
선수들의	선수/NNG+들/XSN+의/JKG
실수를	실수/NNG+를/JKO
유발하는	유발/NNG+하/XSV+는/ETM
능력이	능력/NNG+이/JKS
탁월하다.	탁월하/VA+다/EF+./SF


# id : NWRW1800000053.240.5.3
이런 이재성의 능력을 최강희 전북 감독도 극찬했다.

이런	이런/MMD
이재성의	이재성/NNP+의/JKG
능력을	능력/NNG+을/JKO
최강희	최강희/NNP
전북	전북/NNP
감독도	감독/NNG+도/JX
극찬했다.	극찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.240.5.4
최 감독은 고려대 4학년이던 이재성을 2014년 지명하며 “웬만하면 대졸 선수 칭찬을 하지 않지만 이재성은 달랐다.

최	최/NNP
감독은	감독/NNG+은/JX
고려대	고려대/NNP
4학년이던	4/SN+학년/NNG+이/VCP+던/ETM
이재성을	이재성/NNP+을/JKO
2014년	2014/SN+년/NNB
지명하며	지명/NNG+하/XSV+며/EC
“웬만하면	“/SS+웬만하/VA+면/EC
대졸	대졸/NNG
선수	선수/NNG
칭찬을	칭찬/NNG+을/JKO
하지	하/VV+지/EC
않지만	않/VX+지만/EC
이재성은	이재성/NNP+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.240.5.5
상대가 움직이는 공간을 미리 읽고 압박해서 공을 가로채는 것을 보고는 깜짝 놀랐다.

상대가	상대/NNG+가/JKS
움직이는	움직이/VV+는/ETM
공간을	공간/NNG+을/JKO
미리	미리/MAG
읽고	읽/VV+고/EC
압박해서	압박/NNG+하/XSV+아서/EC
공을	공/NNG+을/JKO
가로채는	가로채/VV+는/ETM
것을	것/NNB+을/JKO
보고는	보/VV+고/EC+는/JX
깜짝	깜짝/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.240.5.6
대학에서 어떻게 저런 능력을 배웠는지 궁금했다”고 말했다.

대학에서	대학/NNG+에서/JKB
어떻게	어떻/VA+게/EC
저런	저런/MMD
능력을	능력/NNG+을/JKO
배웠는지	배우/VV+었/EP+는지/EC
궁금했다”고	궁금하/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.240.5.7
