# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.101
metadata : {}


# id : NWRW1800000030.101.1.1
"러시아 유학생에 더 다가가세요"

"러시아	"/SS+러시아/NNP
유학생에	유학/NNG+생/XSN+에/JKB
더	더/MAG
다가가세요"	다가가/VV+시/EP+어요/EF+"/SS


# id : NWRW1800000030.101.2.1
•韓·러 학생 포럼 출범 엄구호 한양대 교수

•韓·러	•/SW+韓/SH+·/SP+러/NNP
학생	학생/NNG
포럼	포럼/NNG
출범	출범/NNG
엄구호	엄구호/NNP
한양대	한양대/NNP
교수	교수/NNG


# id : NWRW1800000030.101.3.1
"한국에 와서 공부하는 러시아 유학생들의 마음부터 열어야 한·러 관계가 발전할 수 있습니다."

"한국에	"/SS+한국/NNP+에/JKB
와서	오/VV+아서/EC
공부하는	공부/NNG+하/XSV+는/ETM
러시아	러시아/NNP
유학생들의	유학/NNG+생/XSN+들/XSN+의/JKG
마음부터	마음/NNG+부터/JX
열어야	열/VV+어야/EC
한·러	한·러/NNP
관계가	관계/NNG+가/JKS
발전할	발전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있습니다."	있/VA+습니다/EF+./SF+"/SS


# id : NWRW1800000030.101.4.1
20일 '한국-러시아 학생 포럼'을 출범시킨 한양대 국제학대학원 엄구호 교수(러시아학과)의 말이다.

20일	20/SN+일/NNB
'한국-러시아	'/SS+한국/NNP+-/SO+러시아/NNP
학생	학생/NNG
포럼'을	포럼/NNG+'/SS+을/JKO
출범시킨	출범/NNG+시키/XSV+ㄴ/ETM
한양대	한양대/NNP
국제학대학원	국제학/NNG+대학원/NNG
엄구호	엄구호/NNP
교수(러시아학과)의	교수/NNG+(/SS+러시아/NNP+학과/NNG+)/SS+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.101.4.2
엄 교수는 "1991년 양국이 수교한 지 올해로 20년이 됐지만 러시아는 아직 한국을 '먼 나라'로 생각하고 있다"면서 "지금까지 한국에서 살았던 러시아 유학생들이 한국·한국인을 제대로 이해하지 못했기 때문"이라고 했다.

엄	엄/NNP
교수는	교수/NNG+는/JX
"1991년	"/SS+1991/SN+년/NNB
양국이	양국/NNG+이/JKS
수교한	수교/NNG+하/XSV+ㄴ/ETM
지	지/NNB
올해로	올해/NNG+로/JKB
20년이	20/SN+년/NNB+이/JKC
됐지만	되/VV+었/EP+지만/EC
러시아는	러시아/NNP+는/JX
아직	아직/MAG
한국을	한국/NNP+을/JKO
'먼	'/SS+멀/VA+ㄴ/ETM
나라'로	나라/NNG+'/SS+로/JKB
생각하고	생각/NNG+하/XSV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"지금까지	"/SS+지금/NNG+까지/JX
한국에서	한국/NNP+에서/JKB
살았던	살/VV+았/EP+던/ETM
러시아	러시아/NNP
유학생들이	유학/NNG+생/XSN+들/XSN+이/JKS
한국·한국인을	한국/NNP+·/SP+한국인/NNG+을/JKO
제대로	제대로/MAG
이해하지	이해/NNG+하/XSV+지/EC
못했기	못하/VX+았/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.101.5.1
러시아 유학생들이 현재 러시아 사회의 엘리트로 성장했지만, 유학생 시절 한국에 대해 좋은 인상을 갖지 못해 결과적으로 러시아 정부가 한국 문제를 그다지 우선순위에 두지 않는다는 얘기다.

러시아	러시아/NNP
유학생들이	유학/NNG+생/XSN+들/XSN+이/JKS
현재	현재/MAG
사회의	사회/NNG+의/JKG
엘리트로	엘리트/NNG+로/JKB
성장했지만,	성장/NNG+하/XSV+았/EP+지만/EC+,/SP
유학생	유학/NNG+생/XSN
시절	시절/NNG
한국에	한국/NNP+에/JKB
대해	대하/VV+아/EC
좋은	좋/VA+은/ETM
인상을	인상/NNG+을/JKO
갖지	갖/VV+지/EC
못해	못하/VX+아/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
정부가	정부/NNG+가/JKS
한국	한국/NNP
문제를	문제/NNG+를/JKO
그다지	그다지/MAG
우선순위에	우선순위/NNG+에/JKB
두지	두/VV+지/EC
않는다는	않/VX+는다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.101.5.2
이 같은 인식은 1990년대 후반 국립모스크바대학교에서 러시아 학생들을 가르쳤던 자신의 경험에서 나왔다고 한다.

이	이/NP
같은	같/VA+은/ETM
인식은	인식/NNG+은/JX
1990년대	1990/SN+년대/NNB
후반	후반/NNG
국립모스크바대학교에서	국립모스크바대학교/NNP+에서/JKB
러시아	러시아/NNP
학생들을	학생/NNG+들/XSN+을/JKO
가르쳤던	가르치/VV+었/EP+던/ETM
자신의	자신/NNG+의/JKG
경험에서	경험/NNG+에서/JKB
나왔다고	나오/VV+았/EP+다고/EC
