# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.87
metadata : {}


# id : NWRW1800000037.87.1.1
[大入수시 필승전략]숭실대, SSU미래인재전형 중 20%는 서류종합평가로 우선선발

[大入수시	[/SS+大入/SH+수시/NNG
필승전략]숭실대,	필승/NNG+전략/NNG+]/SS+숭실대/NNP+,/SP
SSU미래인재전형	SSU/SL+미래/NNG+인재/NNG+전형/NNG
중	중/NNB
20%는	20/SN+%/SW+는/JX
서류종합평가로	서류/NNG+종합/NNG+평가/NNG+로/JKB
우선선발	우선/NNG+선발/NNG


# id : NWRW1800000037.87.2.1
숭실대는 2014학년도 수시모집에서 1779명(정원 외 포함)을 선발한다.

숭실대는	숭실대/NNP+는/JX
2014학년도	2014/SN+학년도/NNG
수시모집에서	수시/NNG+모집/NNG+에서/JKB
1779명(정원	1779/SN+명/NNB+(/SS+정원/NNG
외	외/NNB
포함)을	포함/NNG+)/SS+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.2.2
수시 1, 2차 원서 접수기간은 9월 6∼13일이며 수시 2차 일반전형 논술고사는 11월 9일 실시한다.

수시	수시/NNG
1,	1/SN+,/SP
2차	2/SN+차/NNB
원서	원서/NNG
접수기간은	접수/NNG+기간/NNG+은/JX
9월	9/SN+월/NNB
6∼13일이며	6/SN+∼/SO+13/SN+일/NNB+이/VCP+며/EC
일반전형	일반/NNG+전형/NNG
논술고사는	논술/NNG+고사/NNG+는/JX
11월	11/SN+월/NNB
9일	9/SN+일/NNB
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.3.1
올해 수시 모집인원은 1561명에서 1779명으로 늘렸고 SSU미래인재전형과 일반전형에서 우선선발을 실시한다.

올해	올해/NNG
수시	수시/NNG
모집인원은	모집/NNG+인원/NNG+은/JX
1561명에서	1561/SN+명/NNB+에서/JKB
1779명으로	1779/SN+명/NNB+으로/JKB
늘렸고	늘리/VV+었/EP+고/EC
SSU미래인재전형과	SSU/SL+미래/NNG+인재/NNG+전형/NNG+과/JC
일반전형에서	일반/NNG+전형/NNG+에서/JKB
우선선발을	우선/NNG+선발/NNG+을/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.4.1
또 전형을 간소화했고 수시 2차 대학수학능력시험 최저학력기준도 낮췄으며 SSU미래인재전형, 어학특기자전형, 일반전형, 학생부우수자전형에서 추가 합격자를 발표한다.

또	또/MAG
전형을	전형/NNG+을/JKO
간소화했고	간소/NNG+화/XSN+하/XSV+았/EP+고/EC
수시	수시/NNG
2차	2/SN+차/NNB
대학수학능력시험	대학/NNG+수학/NNG+능력/NNG+시험/NNG
최저학력기준도	최저/NNG+학력/NNG+기준/NNG+도/JX
낮췄으며	낮추/VV+었/EP+으며/EC
SSU미래인재전형,	SSU/SL+미래/NNG+인재/NNG+전형/NNG+,/SP
어학특기자전형,	어학/NNG+특기자/NNG+전형/NNG+,/SP
일반전형,	일반/NNG+전형/NNG+,/SP
학생부우수자전형에서	학생부/NNG+우수자/NNG+전형/NNG+에서/JKB
추가	추가/NNG
합격자를	합격자/NNG+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.5.1
수시 1차에서 SSU미래인재, 특기자, SSU참사랑인재전형을 통해 648명을 뽑는다.

수시	수시/NNG
1차에서	1/SN+차/NNB+에서/JKB
SSU미래인재,	SSU/SL+미래/NNG+인재/NNG+,/SP
