# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.353
metadata : {}


# id : NWRW1800000033.353.1.1
文, 호남 방문 앞 통합 강조… 속뜻은?

文,	文/SH+,/SP
호남	호남/NNP
방문	방문/NNG
앞	앞/NNG
통합	통합/NNG
강조…	강조/NNG+…/SE
속뜻은?	속뜻/NNG+은/JX+?/SF


# id : NWRW1800000033.353.2.1
열린우리당 창당때 상처 입은 전통적 지지층 다독이기 포석 윤여준 ‘내무반 수류탄’ 지적에 “난 폭발적 위력의 사람 아니다”

열린우리당	열린우리당/NNP
창당때	창당/NNG+때/NNG
상처	상처/NNG
입은	입/VV+은/ETM
전통적	전통/NNG+적/XSN
지지층	지지/NNG+층/XSN
다독이기	다독이/VV+기/ETN
포석	포석/NNG
윤여준	윤여준/NNP
‘내무반	‘/SS+내무반/NNG
수류탄’	수류탄/NNG+’/SS
지적에	지적/NNG+에/JKB
“난	“/SS+나/NP+ㄴ/JX
폭발적	폭발/NNG+적/XSN
위력의	위력/NNG+의/JKG
사람	사람/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000033.353.3.1
민주통합당 문재인 대선후보는 27일 “민주당의 대화합과 국민통합을 이룰 수 있는 선거대책위원회를 구성하려 한다”며 통합을 강조했다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
대선후보는	대선/NNG+후보/NNG+는/JX
27일	27/SN+일/NNB
“민주당의	“/SS+민주당/NNP+의/JKG
대화합과	대/XPN+화합/NNG+과/JC
국민통합을	국민/NNG+통합/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
선거대책위원회를	선거/NNG+대책/NNG+위원회/NNG+를/JKO
구성하려	구성/NNG+하/XSV+려/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
통합을	통합/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.353.4.1
문 후보는 1박 2일 일정의 호남 방문에 앞서 국회에서 캠프 회의를 열고 “참여정부 초기 민주당 분당으로 인한 상처 등을 씻어내야 한다”며 이같이 말했다.

문	문/NNP
후보는	후보/NNG+는/JX
1박	1/SN+박/NNB
2일	2/SN+일/NNB
일정의	일정/NNG+의/JKG
호남	호남/NNP
방문에	방문/NNG+에/JKB
앞서	앞서/VV+어/EC
국회에서	국회/NNG+에서/JKB
캠프	캠프/NNG
회의를	회의/NNG+를/JKO
열고	열/VV+고/EC
“참여정부	“/SS+참여/NNG+정부/NNG
초기	초기/NNG
민주당	민주당/NNP
분당으로	분당/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
상처	상처/NNG
등을	등/NNB+을/JKO
씻어내야	씻/VV+어/EC+내/VX+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.353.4.2
이어 “당내 호남-비호남, 친노(친노무현)-반노(반노무현)라는 분열의 프레임을 극복하고 치열했던 경선 과정을 단결로 승화시켜 나가야 한다”고 주문했다.

이어	이어/MAG
“당내	“/SS+당내/NNG
호남-비호남,	호남/NNP+-/SO+비/XPN+호남/NNP+,/SP
친노(친노무현)-반노(반노무현)라는	친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS+-/SO+반/XPN+노/NNP+(/SS+반/XPN+노무현/NNP+)/SS+이/VCP+라는/ETM
분열의	분열/NNG+의/JKG
프레임을	프레임/NNG+을/JKO
극복하고	극복/NNG+하/XSV+고/EC
치열했던	치열/NNG+하/XSA+았/EP+던/ETM
경선	경선/NNG
과정을	과정/NNG+을/JKO
단결로	단결/NNG+로/JKB
승화시켜	승화/NNG+시키/XSV+어/EC
나가야	나가/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.353.4.3
그동안 통합보다는 지지층 결속에 중점을 둔 행보를 보였던 문 후보가 뒤늦게 통합 행보에 나선 것은 호남에서 안철수 후보보다 낮게 나오는 자신의 지지율과 무관치 않다.

그동안	그동안/NNG
통합보다는	통합/NNG+보다/JKB+는/JX
지지층	지지/NNG+층/XSN
결속에	결속/NNG+에/JKB
중점을	중점/NNG+을/JKO
둔	두/VV+ㄴ/ETM
행보를	행보/NNG+를/JKO
보였던	보이/VV+었/EP+던/ETM
문	문/NNP
후보가	후보/NNG+가/JKS
뒤늦게	뒤늦/VA+게/EC
통합	통합/NNG
행보에	행보/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
호남에서	호남/NNP+에서/JKB
안철수	안철수/NNP
후보보다	후보/NNG+보다/JKB
낮게	낮/VA+게/EC
나오는	나오/VV+는/ETM
자신의	자신/NNG+의/JKG
지지율과	지지/NNG+율/XSN+과/JKB
무관치	무관하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000033.353.4.4
문 후보는 이날 광주 김대중컨벤션센터에서 열린 핵심 당직자 간담회에서 “광주·전남 시민께서 저를 민주당 후보로 선택해준 그 순간부터 저는 호남의 아들이 됐다”고 말했다.

문	문/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
광주	광주/NNP
김대중컨벤션센터에서	김대중컨벤션센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
핵심	핵심/NNG
당직자	당직자/NNG
간담회에서	간담회/NNG+에서/JKB
“광주·전남	“/SS+광주/NNP+·/SP+전남/NNP
시민께서	시민/NNG+께서/JKS
저를	저/NP+를/JKO
민주당	민주당/NNP
후보로	후보/NNG+로/JKB
선택해준	선택/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
그	그/MMD
순간부터	순간/NNG+부터/JX
저는	저/NP+는/JX
호남의	호남/NNP+의/JKG
아들이	아들/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.353.5.1
문 후보는 또 윤여준 캠프 국민통합추진위원장을 소개하며 “국민통합을 위해 합리적이고 건강한 보수세력까지 아우르는 노력이 필요하다.

문	문/NNP
후보는	후보/NNG+는/JX
또	또/MAG
윤여준	윤여준/NNP
캠프	캠프/NNG
국민통합추진위원장을	국민/NNG+통합/NNG+추진/NNG+위원장/NNG+을/JKO
소개하며	소개/NNG+하/XSV+며/EC
“국민통합을	“/SS+국민/NNG+통합/NNG+을/JKO
위해	위하/VV+아/EC
합리적이고	합리/NNG+적/XSN+이/VCP+고/EC
건강한	건강/NNG+하/XSA+ㄴ/ETM
보수세력까지	보수/NNG+세력/NNG+까지/JX
아우르는	아우르/VV+는/ETM
노력이	노력/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.353.5.2
위원회는 통합을 위한 특별한 노력을 보여주는 것”이라며 통합을 강조했다.

위원회는	위원회/NNG+는/JX
통합을	통합/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
노력을	노력/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
