# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.253
metadata : {}


# id : NWRW1800000052.253.1.1
일하는 여성 10명 중 4명 저임금 시달려

일하는	일/NNG+하/XSV+는/ETM
여성	여성/NNG
10명	10/SN+명/NNB
중	중/NNB
4명	4/SN+명/NNB
저임금	저/XPN+임금/NNG
시달려	시달리/VV+어/EF


# id : NWRW1800000052.253.2.1
OECD 회원국 내 압도적 1위…2위와도 큰 격차

OECD	OECD/SL
회원국	회원국/NNG
내	내/NNB
압도적	압도/NNG+적/XSN
1위…2위와도	1/SN+위/NNB+…/SE+2/SN+위/NNB+와/JKB+도/JX
큰	크/VA+ㄴ/ETM
격차	격차/NNG


# id : NWRW1800000052.253.3.1
“임신·출산 등 경력 단절 부작용 줄여야”

“임신·출산	“/SS+임신/NNG+·/SP+출산/NNG
등	등/NNB
경력	경력/NNG
단절	단절/NNG
부작용	부작용/NNG
줄여야”	줄이/VV+어야/EC+”/SS


# id : NWRW1800000052.253.4.1
여성 임금노동자 10명 중 4명가량이 저임금 노동에 시달리는 것으로 나타났다.

여성	여성/NNG
임금노동자	임금/NNG+노동자/NNG
10명	10/SN+명/NNB
중	중/NNB
4명가량이	4/SN+명/NNB+가량/XSN+이/JKS
저임금	저/XPN+임금/NNG
노동에	노동/NNG+에/JKB
시달리는	시달리/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.253.4.2
이런 비중은 경제협력개발기구(OECD) 회원국들 가운데 가장 높다.

이런	이런/MMD
비중은	비중/NNG+은/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국들	회원국/NNG+들/XSN
가운데	가운데/NNG
가장	가장/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000052.253.5.1
18일 오이시디 통계를 보면, 2014년 현재 여성 노동자 중 저임금 노동 비중은 37.8%다.

18일	18/SN+일/NNB
오이시디	오이시디/NNP
통계를	통계/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
2014년	2014/SN+년/NNB
현재	현재/MAG
여성	여성/NNG
노동자	노동자/NNG
중	중/NNB
저임금	저/XPN+임금/NNG
노동	노동/NNG
비중은	비중/NNG+은/JX
37.8%다.	37/SN+./SP+8/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000052.253.5.2
저임금 노동은 임금 수준이 중위임금의 3분의 2에 미치지 못하는 경우를 가리킨다.

저임금	저/XPN+임금/NNG
노동은	노동/NNG+은/JX
임금	임금/NNG
수준이	수준/NNG+이/JKS
중위임금의	중위/NNG+임금/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
2에	2/SN+에/JKB
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
경우를	경우/NNG+를/JKO
가리킨다.	가리키/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.253.5.3
이런 저임 여성 노동 비중은 비교 가능한 오이시디 회원국 22곳 중 가장 크다.

이런	이런/MMD
저임	저임/NNG
여성	여성/NNG
노동	노동/NNG
비중은	비중/NNG+은/JX
비교	비교/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
오이시디	오이시디/NNP
회원국	회원국/NNG
22곳	22/SN+곳/NNG
중	중/NNB
가장	가장/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000052.253.6.1
저임 여성 노동 비중은 꾸준히 낮아지고는 있다.

저임	저임/NNG
여성	여성/NNG
노동	노동/NNG
비중은	비중/NNG+은/JX
꾸준히	꾸준히/MAG
낮아지고는	낮/VA+아/EC+지/VX+고/EC+는/JX
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.253.6.2
2000년엔 45.8%였으나 이후 점차 줄어 2011년부터 30%대로 내려왔다.

2000년엔	2000/SN+년/NNB+에/JKB+ㄴ/JX
45.8%였으나	45/SN+./SP+8/SN+%/SW+이/VCP+었/EP+으나/EC
이후	이후/NNG
점차	점차/MAG
줄어	줄/VV+어/EC
2011년부터	2011/SN+년/NNB+부터/JX
30%대로	30/SN+%/SW+대/XSN+로/JKB
내려왔다.	내려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.253.7.1
그러나 여전히 한국의 저임 여성 비중은 매우 높다.

그러나	그러나/MAJ
여전히	여전히/MAG
한국의	한국/NNP+의/JKG
저임	저임/NNG
여성	여성/NNG
비중은	비중/NNG+은/JX
매우	매우/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000052.253.7.2
오이시디 회원국들 중 한국 다음으로 그 비중이 높은 아일랜드(31.0%)는 한국보다는 6.8%포인트 낮다.

오이시디	오이시디/NNP
회원국들	회원국/NNG+들/XSN
중	중/NNB
한국	한국/NNP
다음으로	다음/NNG+으로/JKB
그	그/MMD
비중이	비중/NNG+이/JKS
높은	높/VA+은/ETM
아일랜드(31.0%)는	아일랜드/NNP+(/SS+31/SN+./SP+0/SN+%/SW+)/SS+는/JX
한국보다는	한국/NNP+보다/JKB+는/JX
6.8%포인트	6/SN+./SP+8/SN+%포인트/NNG
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000052.253.7.3
2위와도 격차가 큰 압도적 1위인 셈이다.

2위와도	2/SN+위/NNB+와/JKB+도/JX
격차가	격차/NNG+가/JKS
큰	크/VA+ㄴ/ETM
압도적	압도/NNG+적/XSN
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.253.7.4
미국은 29.5%, 독일은 25.9%, 일본은 25.5%다.

미국은	미국/NNP+은/JX
29.5%,	29/SN+./SP+5/SN+%/SW+,/SP
독일은	독일/NNP+은/JX
25.9%,	25/SN+./SP+9/SN+%/SW+,/SP
일본은	일본/NNP+은/JX
25.5%다.	25/SN+./SP+5/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000052.253.7.5
오이시디 평균은 21.8%다.

오이시디	오이시디/NNP
평균은	평균/NNG+은/JX
21.8%다.	21/SN+./SP+8/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000052.253.8.1
높은 저임 여성 비중은 전체 저임 노동 비중을 높이는 핵심 요인이기도 하다.

높은	높/VA+은/ETM
저임	저임/NNG
여성	여성/NNG
비중은	비중/NNG+은/JX
전체	전체/NNG
노동	노동/NNG
비중을	비중/NNG+을/JKO
높이는	높이/VV+는/ETM
핵심	핵심/NNG
요인이기도	요인/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000052.253.8.2
한국의 남성 저임 노동 비중은 15.4%로 중간(11위) 정도이나, 남녀를 모두 포함한 저임 노동 비중(23.7%)은 아일랜드(25.1%)와 미국(24.9%)에 이어 세번째로 높다.

한국의	한국/NNP+의/JKG
남성	남성/NNG
저임	저임/NNG
노동	노동/NNG
비중은	비중/NNG+은/JX
15.4%로	15/SN+./SP+4/SN+%/SW+로/JKB
중간(11위)	중간/NNG+(/SS+11/SN+위/NNB+)/SS
정도이나,	정도/NNG+이/VCP+나/EC+,/SP
남녀를	남녀/NNG+를/JKO
모두	모두/MAG
포함한	포함/NNG+하/XSV+ㄴ/ETM
비중(23.7%)은	비중/NNG+(/SS+23/SN+./SP+7/SN+%/SW+)/SS+은/JX
아일랜드(25.1%)와	아일랜드/NNP+(/SS+25/SN+./SP+1/SN+%/SW+)/SS+와/JC
미국(24.9%)에	미국/NNP+(/SS+24/SN+./SP+9/SN+%/SW+)/SS+에/JKB
이어	잇/VV+어/EC
세번째로	세/MMN+번/NNB+째/XSN+로/JKB
높다.	높/VA+다/EF+./SF


# id : NWRW1800000052.253.9.1
이는 여성 노동자들 상당수가 일용직이나 단순노무직 등 질 나쁜 일자리에 종사하기 때문이며, 출산·육아로 경력이 단절된 여성들이 취약한 일자리를 주로 접하는 현실과도 관련이 깊다.

이는	이/NP+는/JX
여성	여성/NNG
노동자들	노동자/NNG+들/XSN
상당수가	상당수/NNG+가/JKS
일용직이나	일용직/NNG+이나/JC
단순노무직	단순/NNG+노무직/NNG
등	등/NNB
질	질/NNG
나쁜	나쁘/VA+ㄴ/ETM
일자리에	일자리/NNG+에/JKB
종사하기	종사/NNG+하/XSV+기/ETN
때문이며,	때문/NNB+이/VCP+며/EC+,/SP
