# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.299
metadata : {}


# id : NWRW1800000030.299.1.1
"이귀남 법무, 한화 수사 불법개입"

"이귀남	"/SS+이귀남/NNP
법무,	법무/NNG+,/SP
한화	한화/NNP
수사	수사/NNG
불법개입"	불법/NNG+개입/NNG+"/SS


# id : NWRW1800000030.299.2.1
•검찰총장 안거치고 "前재무책임자 불구속 수사하라" 지시

•검찰총장	•/SW+검찰/NNG+총장/NNG
안거치고	안/MAG+거치/VV+고/EC
"前재무책임자	"/SS+前/SH+재무/NNG+책임자/NNG
불구속	불/XPN+구속/NNG
수사하라"	수사/NNG+하/XSV+라/EF+"/SS
지시	지시/NNG


# id : NWRW1800000030.299.3.1
지난달 서울서부지검이 한화그룹 비자금 의혹 수사를 하는 도중에 이귀남 법무부장관이 법무부 간부를 통해 수사팀에 한화의 전 재무책임자를 불구속 수사하라는 내용의 '수사 지휘'를 한 것으로 알려졌다.

지난달	지난달/NNG
서울서부지검이	서울서부지검/NNP+이/JKS
한화그룹	한화그룹/NNP
비자금	비자금/NNG
의혹	의혹/NNG
수사를	수사/NNG+를/JKO
하는	하/VV+는/ETM
도중에	도중/NNG+에/JKB
이귀남	이귀남/NNP
법무부장관이	법무부/NNG+장관/NNG+이/JKS
법무부	법무부/NNG
간부를	간부/NNG+를/JKO
통해	통하/VV+아/EC
수사팀에	수사/NNG+팀/NNG+에/JKB
한화의	한화/NNP+의/JKG
전	전/MMD
재무책임자를	재무/NNG+책임자/NNG+를/JKO
불구속	불/XPN+구속/NNG
수사하라는	수사/NNG+하/XSV+라는/ETM
내용의	내용/NNG+의/JKG
'수사	'/SS+수사/NNG
지휘'를	지휘/NNG+'/SS+를/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.299.4.1
검찰청법(8조)에 따르면 법무부장관이 구체적 사건에 대해선 검찰총장을 통해서만 지휘·감독할 수 있게 돼 있다.

검찰청법(8조)에	검찰청법/NNG+(/SS+8/SN+조/NNB+)/SS+에/JKB
따르면	따르/VV+면/EC
법무부장관이	법무부/NNG+장관/NNG+이/JKS
구체적	구체/NNG+적/XSN
사건에	사건/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
검찰총장을	검찰/NNG+총장/NNG+을/JKO
통해서만	통하/VV+아서/EC+만/JX
지휘·감독할	지휘/NNG+·/SP+감독/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.299.4.2
검찰총장을 거치지 않고 개별 사건에 대해 구속·불구속 지시 같은 수사 지휘를 하는 것은 위법 행위이기 때문에 이 장관이 부당한 수사 지휘를 했다는 논란이 일 것으로 보인다.

