# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.192
metadata : {}


# id : NWRW1800000053.192.1.1
커피향 타고 흐르는 디자이너의 꿈

커피향	커피/NNG+향/NNG
타고	타/VV+고/EC
흐르는	흐르/VV+는/ETM
디자이너의	디자이너/NNG+의/JKG
꿈	꿈/NNG


# id : NWRW1800000053.192.2.1
[저소득 아이들 꿈에 날개를]<4> CG 기능사 준비 김현아씨

[저소득	[/SS+저/XPN+소득/NNG
아이들	아이/NNG+들/XSN
꿈에	꿈/NNG+에/JKB
날개를]<4>	날개/NNG+를/JKO+]/SS+</SS+4/SN+>/SS
CG	CG/SL
기능사	기능사/NNG
준비	준비/NNG
김현아씨	김현아/NNP+씨/NNB


# id : NWRW1800000053.192.3.1
9일 오후 서울 관악구 신림동의 한 카페에서 만난 김현아(가명·21·여) 씨는 ‘제일 맛있는 음료를 추천해 달라’는 기자의 요청에 자신 있는 목소리로 “다 맛있다”고 대답했다.

9일	9/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
관악구	관악구/NNP
신림동의	신림동/NNP+의/JKG
한	한/MMN
카페에서	카페/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
김현아(가명·21·여)	김현아/NNP+(/SS+가명/NNG+·/SP+21/SN+·/SP+여/NNG+)/SS
씨는	씨/NNB+는/JX
‘제일	‘/SS+제일/MAG
맛있는	맛있/VA+는/ETM
음료를	음료/NNG+를/JKO
추천해	추천/NNG+하/XSV+아/EC
달라’는	달/VX+라/EF+’/SS+는/ETM
기자의	기자/NNG+의/JKG
요청에	요청/NNG+에/JKB
자신	자신/NNG
있는	있/VA+는/ETM
목소리로	목소리/NNG+로/JKB
“다	“/SS+다/MAG
맛있다”고	맛있/VA+다/EF+”/SS+고/JKQ
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.192.3.2
기자가 메뉴 선택을 고민하자 김 씨는 메뉴판을 보여주며 “이 중에서도 ‘딸기망고스무디’가 가장 맛있다”고 귀띔했다.

기자가	기자/NNG+가/JKS
메뉴	메뉴/NNG
선택을	선택/NNG+을/JKO
고민하자	고민/NNG+하/XSV+자/EC
김	김/NNP
씨는	씨/NNB+는/JX
메뉴판을	메뉴판/NNG+을/JKO
보여주며	보이/VV+어/EC+주/VX+며/EC
“이	“/SS+이/MMD
중에서도	중/NNB+에서/JKB+도/JX
‘딸기망고스무디’가	‘/SS+딸기/NNG+망고/NNG+스무디/NNG+’/SS+가/JKS
가장	가장/MAG
맛있다”고	맛있/VA+다/EF+”/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.192.3.3
메뉴판 아래엔 그리스 산토리니의 풍경이 그려져 있었다.

메뉴판	메뉴판/NNG
아래엔	아래/NNG+에/JKB+ㄴ/JX
그리스	그리스/NNP
산토리니의	산토리니/NNP+의/JKG
풍경이	풍경/NNG+이/JKS
그려져	그리/VV+어/EC+지/VX+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.192.3.4
산토리니 사진을 참고해 김 씨가 컴퓨터로 직접 디자인했다고 한다.

산토리니	산토리니/NNP
사진을	사진/NNG+을/JKO
참고해	참고/NNG+하/XSV+아/EC
김	김/NNP
씨가	씨/NNB+가/JKS
컴퓨터로	컴퓨터/NNG+로/JKB
직접	직접/MAG
디자인했다고	디자인/NNG+하/XSV+았/EP+다고/EC
