# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.329
metadata : {}


# id : NWRW1800000022.329.1.1
롤러 세계선수권 우효숙 3연패 위업;'1만m EP' 종목

롤러	롤러/NNG
세계선수권	세계/NNG+선수/NNG+권/XSN
우효숙	우효숙/NNP
3연패	3/SN+연패/NNG
위업;'1만m	위업/NNG+;/SW+'/SS+1/SN+만/NR+m/SW
EP'	EP/SL+'/SS
종목	종목/NNG


# id : NWRW1800000022.329.2.1
'장거리 여왕' 우효숙(23·청주시청)이 2009 롤러스피드스케이팅 선수권에서 한국 선수로는 처음으로 종목 3연패(連覇)의 위업을 달성했다.

'장거리	'/SS+장거리/NNG
여왕'	여왕/NNG+'/SS
우효숙(23·청주시청)이	우효숙/NNP+(/SS+23/SN+·/SP+청주시청/NNP+)/SS+이/JKS
2009	2009/SN
롤러스피드스케이팅	롤러/NNG+스피드/NNG+스케이팅/NNG
선수권에서	선수/NNG+권/XSN+에서/JKB
한국	한국/NNP
선수로는	선수/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
종목	종목/NNG
3연패(連覇)의	3/SN+연패/NNG+(/SS+連覇/SH+)/SS+의/JKG
위업을	위업/NNG+을/JKO
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.329.3.1
우효숙은 18일 중국 하이닝(海寧)에서 열린 대회 첫날 여자 시니어(17세 이상) 1만m EP(Elimination + Point·가장 늦게 피니시라인을 통과하는 1~2명이 탈락하는 '제외'와 1위에 2점, 2위에 1점을 부여하는 '포인트' 바퀴를 번갈아 진행하는 방식) 결승에서 20점을 따내며 2위 시모나(이탈리아)를 4점 차로 제치고 정상에 올랐다.

우효숙은	우효숙/NNP+은/JX
18일	18/SN+일/NNB
중국	중국/NNP
하이닝(海寧)에서	하이닝/NNP+(/SS+海寧/SH+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
대회	대회/NNG
첫날	첫날/NNG
여자	여자/NNG
시니어(17세	시니어/NNG+(/SS+17/SN+세/NNB
이상)	이상/NNG+)/SS
1만m	1/SN+만/NR+m/SW
EP(Elimination	EP/SL+(/SS+Elimination/SL
+	+/SW
Point·가장	Point/SL+·/SP+가장/MAG
늦게	늦/VA+게/EC
피니시라인을	피니시라인/NNG+을/JKO
통과하는	통과/NNG+하/XSV+는/ETM
1~2명이	1/SN+~/SO+2/SN+명/NNB+이/JKS
탈락하는	탈락/NNG+하/XSV+는/ETM
'제외'와	'/SS+제외/NNG+'/SS+와/JKB
1위에	1/SN+위/NNB+에/JKB
2점,	2/SN+점/NNB+,/SP
2위에	2/SN+위/NNB+에/JKB
1점을	1/SN+점/NNB+을/JKO
부여하는	부여/NNG+하/XSV+는/ETM
'포인트'	'/SS+포인트/NNG+'/SS
바퀴를	바퀴/NNB+를/JKO
번갈아	번갈/VV+아/EC
진행하는	진행/NNG+하/XSV+는/ETM
방식)	방식/NNG+)/SS
결승에서	결승/NNG+에서/JKB
20점을	20/SN+점/NNB+을/JKO
따내며	따내/VV+며/EC
2위	2/SN+위/NNB
시모나(이탈리아)를	시모나/NNP+(/SS+이탈리아/NNP+)/SS+를/JKO
4점	4/SN+점/NNB
차로	차/NNG+로/JKB
제치고	제치/VV+고/EC
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.329.4.1
2003년 베네수엘라 세계선수권 1만m EP에서 시니어 사상 최초의 금메달을 한국에 안겼던 우효숙은 2007·2008 대회에 이어 3년 연속 이 종목에서 우승을 차지하며 한국 롤러스케이팅의 역사를 새로 썼다.

2003년	2003/SN+년/NNB
베네수엘라	베네수엘라/NNP
세계선수권	세계/NNG+선수/NNG+권/XSN
