# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.61
metadata : {}


# id : NWRW1800000053.61.1.1
[新에너지 이노베이션]태양광 모듈 효율, 세계 최고의 기술력

[新에너지	[/SS+新/SH+에너지/NNG
이노베이션]태양광	이노베이션/NNG+]/SS+태양광/NNG
모듈	모듈/NNG
효율,	효율/NNG+,/SP
세계	세계/NNG
최고의	최고/NNG+의/JKG
기술력	기술력/NNG


# id : NWRW1800000053.61.2.1
태양광 모듈의 효율이 높아질수록 동일한 태양광 설치 면적에서 생산하는 전력량이 늘어난다.

태양광	태양광/NNG
모듈의	모듈/NNG+의/JKG
효율이	효율/NNG+이/JKS
높아질수록	높아지/VV+ㄹ수록/EC
동일한	동일/NNG+하/XSA+ㄴ/ETM
설치	설치/NNG
면적에서	면적/NNG+에서/JKB
생산하는	생산/NNG+하/XSV+는/ETM
전력량이	전력량/NNG+이/JKS
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.61.2.2
현재 대부분의 태양광 기업들은 범용 기술(모듈 효율 약 16%)로 시장 문을 두드리고 있으나, 16%대 모듈 효율의 범용 시장은 시장 성장에 한계가 있다는 지적이 나오고 있다.

현재	현재/MAG
대부분의	대/XPN+부분/NNG+의/JKG
태양광	태양광/NNG
기업들은	기업/NNG+들/XSN+은/JX
범용	범용/NNG
기술(모듈	기술/NNG+(/SS+모듈/NNG
효율	효율/NNG
약	약/MMA
16%)로	16/SN+%/SW+)/SS+로/JKB
시장	시장/NNG
문을	문/NNG+을/JKO
두드리고	두드리/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
16%대	16/SN+%/SW+대/XSN
모듈	모듈/NNG
효율의	효율/NNG+의/JKG
시장은	시장/NNG+은/JX
성장에	성장/NNG+에/JKB
한계가	한계/NNG+가/JKS
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.61.3.1
LG전자는 이런 태양광 시장 변화에 가장 적극적으로 대응하는 기업이다.

LG전자는	LG전자/NNP+는/JX
이런	이런/MMD
태양광	태양광/NNG
시장	시장/NNG
변화에	변화/NNG+에/JKB
가장	가장/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
대응하는	대응/NNG+하/XSV+는/ETM
기업이다.	기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.61.3.2
2014년 60셀 모듈 기준 국내 최고 효율 18.3%를 구현한 ‘네온1(모노 엑스 네온)’을 선보였고, 2015년엔 60셀 기준 세계 최고 모듈 효율인 19.5%를 달성한 ‘네온2’를 출시했다.

2014년	2014/SN+년/NNB
60셀	60/SN+셀/NNG
모듈	모듈/NNG
기준	기준/NNG
국내	국내/NNG
최고	최고/NNG
효율	효율/NNG
18.3%를	18/SN+./SP+3/SN+%/SW+를/JKO
구현한	구현/NNG+하/XSV+ㄴ/ETM
‘네온1(모노	‘/SS+네온1/NNP+(/SS+모노/NNP
엑스	엑스/NNP
네온)’을	네온/NNP+)/SS+’/SS+을/JKO
선보였고,	선보이/VV+었/EP+고/EC+,/SP
2015년엔	2015/SN+년/NNB+에/JKB+ㄴ/JX
세계	세계/NNG
효율인	효율/NNG+이/VCP+ㄴ/ETM
19.5%를	19/SN+./SP+5/SN+%/SW+를/JKO
달성한	달성/NNG+하/XSV+ㄴ/ETM
‘네온2’를	‘/SS+네온2/NNP+’/SS+를/JKO
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.61.4.1
LG전자는 태양광 사업을 진행하기 위해 2008년부터 개발을 시작했다.

LG전자는	LG전자/NNP+는/JX
태양광	태양광/NNG
사업을	사업/NNG+을/JKO
진행하기	진행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2008년부터	2008/SN+년/NNB+부터/JX
개발을	개발/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.61.4.2
2010년 양산에 들어간 이후 LG전자 관계자들이 제품을 들고 해외 바이어들을 만날 때 가장 많이 들은 이야기는 “LG전자가 태양광 사업을 지속할 것이냐”는 질문이었다.

2010년	2010/SN+년/NNB
양산에	양산/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
이후	이후/NNG
LG전자	LG전자/NNP
관계자들이	관계자/NNG+들/XSN+이/JKS
제품을	제품/NNG+을/JKO
들고	들/VV+고/EC
해외	해외/NNG
바이어들을	바이어/NNG+들/XSN+을/JKO
만날	만나/VV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
많이	많이/MAG
들은	듣/VV+은/ETM
이야기는	이야기/NNG+는/JX
“LG전자가	“/SS+LG전자/NNP+가/JKS
태양광	태양광/NNG
사업을	사업/NNG+을/JKO
지속할	지속/NNG+하/XSV+ㄹ/ETM
것이냐”는	것/NNB+이/VCP+냐/EF+”/SS+는/ETM
질문이었다.	질문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.61.4.3
국내만 해도 초기에 태양광 사업에 의욕적으로 진출했던 많은 대기업이 사업 포기를 선언할 만큼 시장은 불안정했다.

국내만	국내/NNG+만/JX
해도	하/VV+아도/EC
초기에	초기/NNG+에/JKB
태양광	태양광/NNG
사업에	사업/NNG+에/JKB
의욕적으로	의욕/NNG+적/XSN+으로/JKB
진출했던	진출/NNG+하/XSV+았/EP+던/ETM
많은	많/VA+은/ETM
대기업이	대/XPN+기업/NNG+이/JKS
사업	사업/NNG
포기를	포기/NNG+를/JKO
선언할	선언/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
시장은	시장/NNG+은/JX
불안정했다.	불/XPN+안정/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000053.61.4.4
태양광 모듈은 20년 넘게 장기적으로 쓰는 제품인 만큼 제품 품질 외에도 AS 등 신뢰성이 확인되지 않으면 고객의 외면을 받을 수밖에 없다.

태양광	태양광/NNG
모듈은	모듈/NNG+은/JX
20년	20/SN+년/NNB
넘게	넘/VV+게/EC
장기적으로	장기/NNG+적/XSN+으로/JKB
쓰는	쓰/VV+는/ETM
제품인	제품/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
제품	제품/NNG
품질	품질/NNG
외에도	외/NNB+에/JKB+도/JX
AS	AS/SL
등	등/NNB
신뢰성이	신뢰/NNG+성/XSN+이/JKS
확인되지	확인/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
고객의	고객/NNG+의/JKG
외면을	외면/NNG+을/JKO
받을	받/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.61.4.5
이에 사업의 연속성 여부가 바이어들이 태양광 모듈을 구매할지 결정하는 요인이 된 셈이다.

이에	이/NP+에/JKB
사업의	사업/NNG+의/JKG
연속성	연속/NNG+성/XSN
여부가	여부/NNG+가/JKS
바이어들이	바이어/NNG+들/XSN+이/JKS
태양광	태양광/NNG
모듈을	모듈/NNG+을/JKO
구매할지	구매/NNG+하/XSV+ㄹ지/EF
결정하는	결정/NNG+하/XSV+는/ETM
요인이	요인/NNG+이/JKC
된	되/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.61.5.1
LG전자는 2013년 국제 무대인 ‘인터솔라어워드 2013’에서 태양광 부문 본상을 수상하면서 해외 바이어들에게 본격적으로 신뢰를 얻기 시작했다.

LG전자는	LG전자/NNP+는/JX
2013년	2013/SN+년/NNB
국제	국제/NNG
무대인	무대/NNG+이/VCP+ㄴ/ETM
‘인터솔라어워드	‘/SS+인터솔라어워드/NNG
2013’에서	2013/SN+’/SS+에서/JKB
태양광	태양광/NNG
부문	부문/NNG
본상을	본상/NNG+을/JKO
수상하면서	수상/NNG+하/XSV+면서/EC
해외	해외/NNG
바이어들에게	바이어/NNG+들/XSN+에게/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
신뢰를	신뢰/NNG+를/JKO
얻기	얻/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.61.5.2
2010년에 처음 태양광 시장에 진입한 LG전자가 3년 만에 고효율 제품으로 시장을 놀라게 했다는 평가를 받고 있다.

2010년에	2010/SN+년/NNB+에/JKB
처음	처음/NNG
태양광	태양광/NNG
시장에	시장/NNG+에/JKB
진입한	진입/NNG+하/XSV+ㄴ/ETM
LG전자가	LG전자/NNP+가/JKS
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
고효율	고/XPN+효율/NNG
제품으로	제품/NNG+으로/JKB
시장을	시장/NNG+을/JKO
놀라게	놀라/VV+게/EC
했다는	하/VX+았/EP+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.61.6.1
지난해 LG전자는 경북도, 구미시와 경북도청에서 ‘태양광 신규 생산라인 투자에 관한 투자양해각서(MOU) 체결식’을 열었다.

지난해	지난해/NNG
LG전자는	LG전자/NNP+는/JX
경북도,	경북도/NNP+,/SP
구미시와	구미시/NNP+와/JC
경북도청에서	경북도청/NNP+에서/JKB
‘태양광	‘/SS+태양광/NNG
신규	신규/NNG
생산라인	생산/NNG+라인/NNG
투자에	투자/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
투자양해각서(MOU)	투자/NNG+양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS
체결식’을	체결식/NNG+’/SS+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.61.6.2
LG전자는 현재 고효율 태양광 생산라인 8개를 보유한 구미 사업장에 2018년 상반기(1∼6월)까지 5272억 원을 투자해 생산라인 6개를 증설하겠다는 계획을 밝혔다.

LG전자는	LG전자/NNP+는/JX
현재	현재/MAG
고효율	고/XPN+효율/NNG
태양광	태양광/NNG
생산라인	생산/NNG+라인/NNG
8개를	8/SN+개/NNB+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
구미	구미/NNP
사업장에	사업장/NNG+에/JKB
2018년	2018/SN+년/NNB
상반기(1∼6월)까지	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+까지/JX
5272억	5272/SN+억/NR
원을	원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
6개를	6/SN+개/NNB+를/JKO
증설하겠다는	증설/NNG+하/XSV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.61.6.3
생산라인 증설로 현재 연간 1GW(기가와트)급의 생산능력을 2018년엔 약 1.8GW로 끌어올린다.

생산라인	생산/NNG+라인/NNG
증설로	증설/NNG+로/JKB
현재	현재/MAG
연간	연간/NNG
1GW(기가와트)급의	1/SN+GW/SW+(/SS+기가/NNB+와트/NNB+)/SS+급/NNG+의/JKG
생산능력을	생산/NNG+능력/NNG+을/JKO
2018년엔	2018/SN+년/NNB+에/JKB+ㄴ/JX
약	약/MMA
1.8GW로	1/SN+./SP+8/SN+GW/SW+로/JKB
끌어올린다.	끌어올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.61.6.4
2020년엔 연간 생산능력을 3GW까지 확대할 예정이다.

2020년엔	2020/SN+년/NNB+에/JKB+ㄴ/JX
연간	연간/NNG
생산능력을	생산/NNG+능력/NNG+을/JKO
3GW까지	3/SN+GW/SW+까지/JX
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.61.6.5
3GW는 100만 가구가 사용하는 연간 전력량과 맞먹는다.

3GW는	3/SN+GW/SW+는/JX
100만	100/SN+만/NR
가구가	가구/NNG+가/JKS
사용하는	사용/NNG+하/XSV+는/ETM
연간	연간/NNG
전력량과	전력량/NNG+과/JKB
맞먹는다.	맞먹/VV+는다/EF+./SF


