# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.232
metadata : {}


# id : NWRW1800000029.232.1.1
[휴지통]법원도 속이려다 끝내 징역형

[휴지통]법원도	[/SS+휴지통/NNG+]/SS+법원/NNG+도/JX
속이려다	속이/VV+려다/EC
끝내	끝내/MAG
징역형	징역형/NNG


# id : NWRW1800000029.232.2.1
채무자에게 돈 다 받은 60대… 예전 서류로 압류시도 들통

채무자에게	채무자/NNG+에게/JKB
돈	돈/NNG
다	다/MAG
받은	받/VV+은/ETM
60대…	60/SN+대/NNB+…/SE
예전	예전/NNG
서류로	서류/NNG+로/JKB
압류시도	압류/NNG+시도/NNG
들통	들통/NNG


# id : NWRW1800000029.232.3.1
이모 씨(68)는 2009년 1월 A피혁조합을 상대로 부산지법에 3억4000만 원의 ‘채권압류 및 추심명령’ 신청을 냈다.

이모	이/NNP+모/NP
씨(68)는	씨/NNB+(/SS+68/SN+)/SS+는/JX
2009년	2009/SN+년/NNB
1월	1/SN+월/NNB
A피혁조합을	A/SL+피혁/NNG+조합/NNG+을/JKO
상대로	상대/NNG+로/JKB
부산지법에	부산지법/NNP+에/JKB
3억4000만	3/SN+억/NR+4000/SN+만/NR
원의	원/NNB+의/JKG
‘채권압류	‘/SS+채권/NNG+압류/NNG
및	및/MAG
추심명령’	추심/NNG+명령/NNG+’/SS
신청을	신청/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.232.3.2
A조합이 빚을 갚지 않아 채무자가 제3자로부터 받을 채권을 압류한 뒤 채무를 변제받기 위한 것이었다.

A조합이	A/SL+조합/NNG+이/JKS
빚을	빚/NNG+을/JKO
갚지	갚/VV+지/EC
않아	않/VX+아/EC
채무자가	채무자/NNG+가/JKS
제3자로부터	제3자/NNG+로부터/JKB
받을	받/VV+을/ETM
채권을	채권/NNG+을/JKO
압류한	압류/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
채무를	채무/NNG+를/JKO
변제받기	변제/NNG+받/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.232.3.3
법원은 이 씨가 민사소송을 통해 승소한 판결문을 근거로 채권압류 및 추심명령 결정을 내렸다.

법원은	법원/NNG+은/JX
이	이/NNP
씨가	씨/NNB+가/JKS
민사소송을	민사/NNG+소송/NNG+을/JKO
통해	통하/VV+아/EC
승소한	승소/NNG+하/XSV+ㄴ/ETM
판결문을	판결문/NNG+을/JKO
근거로	근거/NNG+로/JKB
채권압류	채권/NNG+압류/NNG
및	및/MAG
추심명령	추심/NNG+명령/NNG
결정을	결정/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.232.4.1
이 씨는 이 결정을 토대로 지난해 1월 A조합의 계좌가 개설된 은행에 채무 이행을 요청해 A조합 계좌에서 40여만 원을 받아냈다.

이	이/MMD
씨는	씨/NNB+는/JX
결정을	결정/NNG+을/JKO
토대로	토대/NNG+로/JKB
지난해	지난해/NNG
1월	1/SN+월/NNB
A조합의	A/SL+조합/NNG+의/JKG
계좌가	계좌/NNG+가/JKS
개설된	개설/NNG+되/XSV+ㄴ/ETM
은행에	은행/NNG+에/JKB
채무	채무/NNG
이행을	이행/NNG+을/JKO
요청해	요청/NNG+하/XSV+아/EC
A조합	A/SL+조합/NNG
계좌에서	계좌/NNG+에서/JKB
40여만	40/SN+여/XSN+만/NR
원을	원/NNB+을/JKO
받아냈다.	받/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.232.4.2
이어 A조합 건물과 기계 등에 대해 법원으로부터 강제경매 결정까지 받아 돈을 챙기려고 했다.

이어	이어/MAG
A조합	A/SL+조합/NNG
건물과	건물/NNG+과/JC
기계	기계/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
법원으로부터	법원/NNG+으로부터/JKB
강제경매	강제/NNG+경매/NNG
결정까지	결정/NNG+까지/JX
받아	받/VV+아/EC
돈을	돈/NNG+을/JKO
챙기려고	챙기/VV+려고/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.232.5.1
하지만 A조합은 민사 판결 이후 이 씨에게 돈을 모두 갚아 합의를 본 상황이었다.

하지만	하지만/MAJ
A조합은	A/SL+조합/NNG+은/JX
민사	민사/NNG
판결	판결/NNG
이후	이후/NNG
이	이/NNP
씨에게	씨/NNB+에게/JKB
돈을	돈/NNG+을/JKO
모두	모두/MAG
갚아	갚/VV+아/EC
합의를	합의/NNG+를/JKO
본	보/VV+ㄴ/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.232.5.2
A조합은 법원에 “판결에 따라 이 씨에게 모든 빚을 갚았다”며 이의신청을 했다.

A조합은	A/SL+조합/NNG+은/JX
법원에	법원/NNG+에/JKB
“판결에	“/SS+판결/NNG+에/JKB
