# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.147
metadata : {}


# id : NWRW1800000022.147.1.1
[PIE Photo In Education] ① 국내 첫 PIE, 덕수초등학교를 가다;사진과 대화하는 아이들, 세상을 배우고 꿈을 키운다

[PIE	[/SS+PIE/SL
Photo	Photo/SL
In	In/SL
Education]	Education/SL+]/SS
①	①/SW
국내	국내/NNG
첫	첫/MMN
PIE,	PIE/SL+,/SP
덕수초등학교를	덕수초등학교/NNP+를/JKO
가다;사진과	가/VV+다/EF+;/SP+사진/NNG+과/JKB
대화하는	대화/NNG+하/XSV+는/ETM
아이들,	아이/NNG+들/XSN+,/SP
세상을	세상/NNG+을/JKO
배우고	배우/VV+고/EC
꿈을	꿈/NNG+을/JKO
키운다	키우/VV+ㄴ다/EF


# id : NWRW1800000022.147.2.1
저는 피아노를 좋아합니다.

저는	저/NP+는/JX
피아노를	피아노/NNG+를/JKO
좋아합니다.	좋아하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.147.2.2
손이 없으면 피아노를 칠 수 없습니다.

손이	손/NNG+이/JKS
없으면	없/VA+으면/EC
피아노를	피아노/NNG+를/JKO
칠	치/VV+ㄹ/ETM
수	수/NNB
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000022.147.2.3
그래서 피아노를 칠 수 있는 손이 제일 좋아 이 사진을 찍었어요.

그래서	그래서/MAJ
피아노를	피아노/NNG+를/JKO
칠	치/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
손이	손/NNG+이/JKS
제일	제일/MAG
좋아	좋/VA+아/EC
이	이/MMD
사진을	사진/NNG+을/JKO
찍었어요.	찍/VV+었/EP+어요/EF+./SF


# id : NWRW1800000022.147.3.1
22일 서울시 중구 정동 덕수초등학교 4층 도서관.

22일	22/SN+일/NNB
서울시	서울시/NNP
중구	중구/NNP
정동	정동/NNP
덕수초등학교	덕수초등학교/NNP
4층	4/SN+층/NNG
도서관.	도서관/NNG+./SF


# id : NWRW1800000022.147.3.2
3학년 하연희양이 똘똘한 목소리로 자기가 찍은 사진을 설명했다.

3학년	3/SN+학년/NNG
하연희양이	하연희/NNP+양/NNB+이/JKS
똘똘한	똘똘하/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
자기가	자기/NP+가/JKS
찍은	찍/VV+은/ETM
사진을	사진/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.147.3.3
연희는 피아노 건반 위에 자신의 왼손을 올려놓고 찍은 사진을 들고 있었다.

연희는	연희/NNP+는/JX
피아노	피아노/NNG
건반	건반/NNG
위에	위/NNG+에/JKB
자신의	자신/NNG+의/JKG
왼손을	왼손/NNG+을/JKO
올려놓고	올려놓/VV+고/EC
찍은	찍/VV+은/ETM
사진을	사진/NNG+을/JKO
들고	들/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.147.4.1
연희는 "피아노를 더 치고 싶은데 다른 학원들이 방해해서 딸랑 30분밖에 못 쳐요"라며 말한 뒤 도서관 뒤쪽에 앉은 엄마를 바라봤다.

연희는	연희/NNP+는/JX
"피아노를	"/SS+피아노/NNG+를/JKO
더	더/MAG
치고	치/VV+고/EC
싶은데	싶/VX+은데/EC
다른	다른/MMD
학원들이	학원/NNG+들/XSN+이/JKS
방해해서	방해/NNG+하/XSV+아서/EC
딸랑	딸랑/MAG
30분밖에	30/SN+분/NNB+밖에/JX
못	못/MAG
쳐요"라며	치/VV+어요/EF+"/SS+이/VCP+라며/EC
말한	말/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
도서관	도서관/NNG
뒤쪽에	뒤쪽/NNG+에/JKB
앉은	앉/VV+은/ETM
엄마를	엄마/NNG+를/JKO
바라봤다.	바라보/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.147.4.2
어머니인 이혜정씨가 미소를 짓자, 크게 숨을 들이쉰 연희는 말을 계속 이어나갔다.

어머니인	어머니/NNG+이/VCP+ㄴ/ETM
이혜정씨가	이혜정/NNP+씨/NNB+가/JKS
미소를	미소/NNG+를/JKO
짓자,	짓/VV+자/EC+,/SP
크게	크/VA+게/EC
숨을	숨/NNG+을/JKO
들이쉰	들이쉬/VV+ㄴ/ETM
연희는	연희/NNP+는/JX
말을	말/NNG+을/JKO
계속	계속/MAG
이어나갔다.	잇/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.147.4.3
"3학년이 되자 월·수·금 다니던 영어학원을 월·화·수·목·금 다니고, 주말에는 중간고사·기말고사 공부까지 해야 합니다.

"3학년이	"/SS+3/SN+학년/NNG+이/JKC
되자	되/VV+자/EC
월·수·금	월/NNG+·/SP+수/NNG+·/SP+금/NNG
다니던	다니/VV+던/ETM
영어학원을	영어/NNP+학원/NNG+을/JKO
월·화·수·목·금	월/NNG+·/SP+화/NNG+·/SP+수/NNG+·/SP+목/NNG+·/SP+금/NNG
다니고,	다니/VV+고/EC+,/SP
주말에는	주말/NNG+에/JKB+는/JX
중간고사·기말고사	중간고사/NNG+·/SP+기말고사/NNG
공부까지	공부/NNG+까지/JX
해야	하/VV+아야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000022.147.4.4
피아노를 칠 수 있게 쉬는 시간을 늘려주세요." 도서관 뒤쪽에 앉은 학부모들이 까르르 웃었다.

피아노를	피아노/NNG+를/JKO
칠	치/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
쉬는	쉬/VV+는/ETM
시간을	시간/NNG+을/JKO
늘려주세요."	늘리/VV+어/EC+주/VX+시/EP+어요/EF+./SF+"/SS
도서관	도서관/NNG
뒤쪽에	뒤쪽/NNG+에/JKB
앉은	앉/VV+은/ETM
학부모들이	학부모/NNG+들/XSN+이/JKS
까르르	까르르/MAG
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.147.5.1
이날은 덕수초 3학년 1반 아이들의 'PIE 수업'의 발표회.

이날은	이날/NNG+은/JX
덕수초	덕수초/NNP
3학년	3/SN+학년/NNG
1반	1/SN+반/NNG
아이들의	아이/NNG+들/XSN+의/JKG
'PIE	'/SS+PIE/SL
수업'의	수업/NNG+'/SS+의/JKG
발표회.	발표회/NNG+./SF


# id : NWRW1800000022.147.5.2
PIE(Photo In Education)는 학생들이 사진을 찍어와 발표하는 사진활용교육이다.

PIE(Photo	PIE/SL+(/SS+Photo/SL
In	In/SL
Education)는	Education/SL+)/SS+는/JX
학생들이	학생/NNG+들/XSN+이/JKS
사진을	사진/NNG+을/JKO
찍어와	찍/VV+어/EC+오/VX+아/EC
발표하는	발표/NNG+하/XSV+는/ETM
사진활용교육이다.	사진/NNG+활용/NNG+교육/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.147.5.3
아이들에게 "나는 누구인가?" "내가 사진기자라면" 등의 과제를 내주면, 각자 자유롭게 사진을 찍어온 뒤 글과 같이 제출하는 방식이다.

아이들에게	아이/NNG+들/XSN+에게/JKB
"나는	"/SS+나/NP+는/JX
누구인가?"	누구/NP+이/VCP+ㄴ가/EF+?/SF+"/SS
"내가	"/SS+내/NP+가/JKS
사진기자라면"	사진/NNG+기자/NNG+이/VCP+라면/EC+"/SS
등의	등/NNB+의/JKG
과제를	과제/NNG+를/JKO
내주면,	내주/VV+면/EC+,/SP
각자	각자/MAG
자유롭게	자유/NNG+롭/XSA+게/EC
사진을	사진/NNG+을/JKO
찍어온	찍/VV+어/EC+오/VX+ㄴ/ETM
뒤	뒤/NNG
글과	글/NNG+과/JKB
같이	같이/MAG
제출하는	제출/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.147.5.4
지난 6주간 매주 목요일 오후 조선일보 사진부와 ㈜올림푸스한국 강사들로부터 PIE 교육을 받은 아이들이, 각자의 대표작을 들고 나와 자신의 생각을 발표했다.

지난	지나/VV+ㄴ/ETM
6주간	6/SN+주간/NNB
매주	매주/MAG
목요일	목요일/NNG
오후	오후/NNG
조선일보	조선일보/NNP
사진부와	사진부/NNG+와/JC
㈜올림푸스한국	㈜/SW+올림푸스한국/NNP
강사들로부터	강사/NNG+들/XSN+로부터/JKB
PIE	PIE/SL
교육을	교육/NNG+을/JKO
받은	받/VV+은/ETM
아이들이,	아이/NNG+들/XSN+이/JKS+,/SP
각자의	각자/NNG+의/JKG
대표작을	대표작/NNG+을/JKO
들고	들/VV+고/EC
나와	나오/VV+아/EC
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.147.6.1
지난 3월 초 전학 온 임우택군은 아스팔트 위에 핀 민들레 꽃을 카메라에 담았다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
초	초/NNB
전학	전학/NNG
온	오/VV+ㄴ/ETM
임우택군은	임우택/NNP+군/NNB+은/JX
아스팔트	아스팔트/NNG
위에	위/NNG+에/JKB
핀	피/VV+ㄴ/ETM
민들레	민들레/NNG
꽃을	꽃/NNG+을/JKO
카메라에	카메라/NNG+에/JKB
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.147.6.2
2주 전 학교에서 집에 가던 길에 우연히 발견해 가방 속에 있던 디지털카메라를 꺼내 찍은 것이다.

2주	2/SN+주/NNB
전	전/NNG
학교에서	학교/NNG+에서/JKB
집에	집/NNG+에/JKB
가던	가/VV+던/ETM
길에	길/NNG+에/JKB
우연히	우연히/MAG
발견해	발견/NNG+하/XSV+아/EC
가방	가방/NNG
속에	속/NNG+에/JKB
있던	있/VA+던/ETM
디지털카메라를	디지털카메라/NNG+를/JKO
꺼내	꺼내/VV+어/EC
찍은	찍/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.147.6.3
우택이는 "민들레는 수레에 밟혀도 다시 자란다고 합니다"라며 "낯선 학교에 전학왔어도 씩씩하게 살자고 다짐했어요"라며 사진의 의미를 설명했다.

우택이는	우택이/NNP+는/JX
"민들레는	"/SS+민들레/NNG+는/JX
수레에	수레/NNG+에/JKB
밟혀도	밟히/VV+어도/EC
다시	다시/MAG
자란다고	자라/VV+ㄴ다고/EC
합니다"라며	하/VV+ㅂ니다/EF+"/SS+이/VCP+라며/EC
"낯선	"/SS+낯설/VA+ㄴ/ETM
학교에	학교/NNG+에/JKB
전학왔어도	전학/NNG+오/VV+았/EP+어도/EC
씩씩하게	씩씩하/VA+게/EC
살자고	살/VV+자고/EC
다짐했어요"라며	다짐/NNG+하/XSV+았/EP+어요/EF+"/SS+이/VCP+라며/EC
사진의	사진/NNG+의/JKG
의미를	의미/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.147.7.1
아파트 단지에 돋아난 새싹을 찍은 김규진군은 "숨을 쉬러 나온 새싹이 반가웠어요"라며 "다음에는 큰 나무로 변해 있는 새싹을 찍을 거예요"라고 말했다.

아파트	아파트/NNG
단지에	단지/NNG+에/JKB
돋아난	돋아나/VV+ㄴ/ETM
새싹을	새싹/NNG+을/JKO
찍은	찍/VV+은/ETM
김규진군은	김규진/NNP+군/NNB+은/JX
"숨을	"/SS+숨/NNG+을/JKO
쉬러	쉬/VV+러/EC
나온	나오/VV+ㄴ/ETM
