# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.202
metadata : {}


# id : NWRW1800000030.202.1.1
윤호영 웃자 동부 승리의 미소 짓다

윤호영	윤호영/NNP
웃자	웃/VV+자/EC
동부	동부/NNP
승리의	승리/NNG+의/JKG
미소	미소/NNG
짓다	짓/VV+다/EF


# id : NWRW1800000030.202.2.1
•무릎 등 성한 곳 없지만 16점 9리바운드 맹활약… KCC 54득점 챔프전 역대 최소

•무릎	•/SW+무릎/NNG
등	등/NNB
성한	성하/VA+ㄴ/ETM
곳	곳/NNG
없지만	없/VA+지만/EC
16점	16/SN+점/NNB
9리바운드	9/SN+리바운드/NNG
맹활약…	맹활약/NNG+…/SE
KCC	KCC/SL
54득점	54/SN+득점/NNG
챔프전	챔프전/NNG
역대	역대/NNG
최소	최소/NNG


# id : NWRW1800000030.202.3.1
프로농구 챔피언결정 3차전을 앞둔 강동희 원주 동부 감독은 포워드 윤호영(27)의 컨디션을 묻자 "원래의 50~60%나 되려나"라며 엄살을 떨었다.

프로농구	프로/NNG+농구/NNG
챔피언결정	챔피언/NNG+결정/NNG
3차전을	3/SN+차전/NNB+을/JKO
앞둔	앞두/VV+ㄴ/ETM
강동희	강동희/NNP
원주	원주/NNP
동부	동부/NNP
감독은	감독/NNG+은/JX
포워드	포워드/NNG
윤호영(27)의	윤호영/NNP+(/SS+27/SN+)/SS+의/JKG
컨디션을	컨디션/NNG+을/JKO
묻자	묻/VV+자/EC
"원래의	"/SS+원래/NNG+의/JKG
50~60%나	50/SN+~/SO+60/SN+%/SW+나/JX
되려나"라며	되/VV+려나/EC+"/SS+이/VCP+라며/EC
엄살을	엄살/NNG+을/JKO
떨었다.	떨/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.3.2
윤호영은 올 시즌 프로농구에서 가장 오랜 시간을 코트에 머문 선수다.

윤호영은	윤호영/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
프로농구에서	프로/NNG+농구/NNG+에서/JKB
가장	가장/MAG
오랜	오랜/MMA
시간을	시간/NNG+을/JKO
코트에	코트/NNG+에/JKB
머문	머물/VV+ㄴ/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.202.3.3
정규리그 54경기 중 53경기에 나와 평균 34분19초를 뛰었다.

정규리그	정규/NNG+리그/NNG
54경기	54/SN+경기/NNG
중	중/NNB
53경기에	53/SN+경기/NNG+에/JKB
나와	나오/VV+아/EC
평균	평균/NNG
34분19초를	34/SN+분/NNB+19/SN+초/NNB+를/JKO
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.3.4
포스트시즌에도 모든 경기에 출전해 평균 30분 이상 뛰고 있다.

포스트시즌에도	포스트시즌/NNG+에/JKB+도/JX
모든	모든/MMN
경기에	경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
평균	평균/NNG
30분	30/SN+분/NNB
이상	이상/NNG
뛰고	뛰/VV+고/EC
있다.	있/VX+다/EF+./SF


