# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.66
metadata : {}


# id : NWRW1800000048.66.1.1
AB인베브+사브밀러, 공룡 맥주회사 눈앞

AB인베브+사브밀러,	AB인베브/NNP++/SW+사브밀러/NNP+,/SP
공룡	공룡/NNG
맥주회사	맥주/NNG+회사/NNG
눈앞	눈앞/NNG


# id : NWRW1800000048.66.2.1
세계시장 점유율 30.5%로 올라

세계시장	세계/NNG+시장/NNG
점유율	점유/NNG+율/XSN
30.5%로	30/SN+./SP+5/SN+%/SW+로/JKB
올라	오르/VV+아/EF


# id : NWRW1800000048.66.3.1
세계 최대 맥주회사 에이비(AB)인베브가 2위 회사인 사브밀러와의 인수합병 협상을 사실상 타결해, 세계 시장 30% 이상을 장악하는 공룡 맥주회사가 탄생한다.

세계	세계/NNG
최대	최대/NNG
맥주회사	맥주/NNG+회사/NNG
에이비(AB)인베브가	에이비/NNP+(/SS+AB/SL+)/SS+인베브/NNP+가/JKS
2위	2/SN+위/NNB
회사인	회사/NNG+이/VCP+ㄴ/ETM
사브밀러와의	사브밀러/NNP+와/JKB+의/JKG
인수합병	인수/NNG+합병/NNG
협상을	협상/NNG+을/JKO
사실상	사실/NNG+상/XSN
타결해,	타결/NNG+하/XSV+아/EC+,/SP
시장	시장/NNG
30%	30/SN+%/SW
이상을	이상/NNG+을/JKO
장악하는	장악/NNG+하/XSV+는/ETM
공룡	공룡/NNG
맥주회사가	맥주/NNG+회사/NNG+가/JKS
탄생한다.	탄생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.66.4.1
사브밀러는 13일 에이비인베브가 자사를 679억파운드(119조748억원)에 인수합병하겠다는 제안을 “원칙적으로 받아들인다”고 발표했다.

사브밀러는	사브밀러/NNP+는/JX
13일	13/SN+일/NNB
에이비인베브가	에이비인베브/NNP+가/JKS
자사를	자사/NNG+를/JKO
679억파운드(119조748억원)에	679/SN+억/NR+파운드/NNB+(/SS+119/SN+조/NR+748/SN+억/NR+원/NNB+)/SS+에/JKB
인수합병하겠다는	인수/NNG+합병/NNG+하/XSV+겠/EP+다는/ETM
제안을	제안/NNG+을/JKO
“원칙적으로	“/SS+원칙/NNG+적/XSN+으로/JKB
받아들인다”고	받아들이/VV+ㄴ다/EF+”/SS+고/JKQ
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.66.4.2
공식 협상 타결 마감일은 오는 28일까지이며, 만약 인수합병이 최종 성공하면 사상 세번째 거래 규모라고 <파이낸셜 타임스>는 전했다.

공식	공식/NNG
협상	협상/NNG
타결	타결/NNG
마감일은	마감일/NNG+은/JX
오는	오/VV+는/ETM
28일까지이며,	28/SN+일/NNB+까지/JX+이/VCP+며/EC+,/SP
만약	만약/MAG
인수합병이	인수/NNG+합병/NNG+이/JKS
최종	최종/NNG
성공하면	성공/NNG+하/XSV+면/EC
사상	사상/NNG
세번째	세/MMN+번/NNB+째/XSN
거래	거래/NNG
규모라고	규모/NNG+이/VCP+라고/EC
<파이낸셜	</SS+파이낸셜/NNP
타임스>는	타임스/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.66.4.3
에이비인베브는 버드와이저와 호가든, 코로나, 벡스 같은 브랜드를 보유한 회사로 한국의 오비맥주도 소유하고 있으며 지난해 세계 시장 점유율 20.8%였다.

에이비인베브는	에이비인베브/NNP+는/JX
버드와이저와	버드와이저/NNP+와/JC
호가든,	호가든/NNG+,/SP
코로나,	코로나/NNG+,/SP
벡스	벡스/NNP
같은	같/VA+은/ETM
브랜드를	브랜드/NNG+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
회사로	회사/NNG+로/JKB
한국의	한국/NNP+의/JKG
오비맥주도	오비맥주/NNP+도/JX
소유하고	소유/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
지난해	지난해/NNG
세계	세계/NNG
시장	시장/NNG
점유율	점유/NNG+율/XSN
20.8%였다.	20/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.66.4.4
필스너 우르켈과 밀러 같은 브랜드를 보유한 사브밀러의 세계 시장 점유율은 지난해 9.7%였다.

필스너	필스너/NNP
우르켈과	우르켈/NNP+과/JC
밀러	밀러/NNP
같은	같/VA+은/ETM
브랜드를	브랜드/NNG+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
사브밀러의	사브밀러/NNP+의/JKG
세계	세계/NNG
시장	시장/NNG
점유율은	점유/NNG+율/XSN+은/JX
지난해	지난해/NNG
9.7%였다.	9/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.66.5.1
이번 거래의 배경에는 브라질 최고 부호 조르지 파울루 레망(75)이 있다.

이번	이번/NNG
거래의	거래/NNG+의/JKG
배경에는	배경/NNG+에/JKB+는/JX
브라질	브라질/NNP
최고	최고/NNG
부호	부호/NNG
조르지	조르지/NNP
파울루	파울루/NNP
레망(75)이	레망/NNP+(/SS+75/SN+)/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.66.5.2
그는 1989년 동료인 카를루스 아우베르투 시쿠피라, 마르세우 텔리스와 함께 1989년 브라질 맥주회사 브라마를 인수했다.

그는	그/NP+는/JX
1989년	1989/SN+년/NNB
동료인	동료/NNG+이/VCP+ㄴ/ETM
카를루스	카를루스/NNP
아우베르투	아우베르투/NNP
시쿠피라,	시쿠피라/NNP+,/SP
마르세우	마르세우/NNP
텔리스와	텔리스/NNP+와/JKB
함께	함께/MAG
브라질	브라질/NNP
맥주회사	맥주/NNG+회사/NNG
브라마를	브라마/NNP+를/JKO
인수했다.	인수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.66.5.3
2004년에 벨기에 대형 맥주회사 인터브루와 합병하고 2008년에는 버드와이저로 유명한 미국 회사 앤하이저부시와의 합병을 주도했으며, 이번에는 사브밀러와의 합병에도 성공했다.

2004년에	2004/SN+년/NNB+에/JKB
벨기에	벨기에/NNP
대형	대형/NNG
맥주회사	맥주/NNG+회사/NNG
인터브루와	인터브루/NNP+와/JKB
합병하고	합병/NNG+하/XSV+고/EC
2008년에는	2008/SN+년/NNB+에/JKB+는/JX
버드와이저로	버드와이저/NNP+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
미국	미국/NNP
회사	회사/NNG
앤하이저부시와의	앤하이저부시/NNP+와/JKB+의/JKG
합병을	합병/NNG+을/JKO
주도했으며,	주도/NNG+하/XSV+았/EP+으며/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
사브밀러와의	사브밀러/NNP+와/JKB+의/JKG
합병에도	합병/NNG+에/JKB+도/JX
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.66.6.1
