# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.184
metadata : {}


# id : NWRW1800000052.184.1.1
내년부터 지하철에서 초고속 와이파이

내년부터	내년/NNG+부터/JX
지하철에서	지하철/NNG+에서/JKB
초고속	초/XPN+고속/NNG
와이파이	와이파이/NNG


# id : NWRW1800000052.184.2.1
100배 빠른 망 구축 공짜 서비스

100배	100/SN+배/NNG
빠른	빠르/VA+ㄴ/ETM
망	망/NNG
구축	구축/NNG
공짜	공짜/NNG
서비스	서비스/NNG


# id : NWRW1800000052.184.3.1
역사 주변에도 무선중계기 설치

역사	역사/NNG
주변에도	주변/NNG+에/JKB+도/JX
무선중계기	무선/NNG+중계기/NNG
설치	설치/NNG


# id : NWRW1800000052.184.4.1
내년부터는 서울 지하철에서 초고속 인터넷을 무료로 이용할 수 있게 될 전망이다.

내년부터는	내년/NNG+부터/JX+는/JX
서울	서울/NNP
지하철에서	지하철/NNG+에서/JKB
초고속	초/XPN+고속/NNG
인터넷을	인터넷/NNG+을/JKO
무료로	무료/NNG+로/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.184.5.1
서울시는 내년 1월부터 4호선과 8호선에 ‘초고속 공공 와이파이(Wi-fi)’ 시범서비스를 시작하고, 10월부터는 1~9호선 전 노선에 제공한다고 7일 밝혔다.

서울시는	서울시/NNP+는/JX
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
4호선과	4/SN+호선/NNB+과/JC
8호선에	8/SN+호선/NNB+에/JKB
‘초고속	‘/SS+초/XPN+고속/NNG
공공	공공/NNG
와이파이(Wi-fi)’	와이파이/NNG+(/SS+Wi/SL+-/SO+fi/SL+)/SS+’/SS
시범서비스를	시범/NNG+서비스/NNG+를/JKO
시작하고,	시작/NNG+하/XSV+고/EC+,/SP
10월부터는	10/SN+월/NNB+부터/JX+는/JX
1~9호선	1/SN+~/SO+9/SN+호선/NNB
전	전/MMN
노선에	노선/NNG+에/JKB
제공한다고	제공/NNG+하/XSV+ㄴ다고/EC
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.184.6.1
현재 서울 지하철 역사에서는 속도 150메가비피에스(bps, 1초당 보내는 비트 수) 이상의 와이파이 서비스가 제공되지만, 달리는 열차 속 와이파이는 2011년 통신사업자가 구축한 휴대인터넷(와이브로)망으로 데이터 전송속도가 10메가bps에 불과해 접속자가 몰리면 끊기기 일쑤다.

현재	현재/MAG
서울	서울/NNP
지하철	지하철/NNG
역사에서는	역사/NNG+에서/JKB+는/JX
속도	속도/NNG
150메가비피에스(bps,	150/SN+메가/NNB+비피에스/NNG+(/SS+bps/SL+,/SP
1초당	1/SN+초/NNB+당/XSN
보내는	보내/VV+는/ETM
비트	비트/NNG
수)	수/NNG+)/SS
이상의	이상/NNG+의/JKG
와이파이	와이파이/NNG
서비스가	서비스/NNG+가/JKS
제공되지만,	제공/NNG+되/XSV+지만/EC+,/SP
달리는	달리/VV+는/ETM
열차	열차/NNG
속	속/NNG
와이파이는	와이파이/NNG+는/JX
2011년	2011/SN+년/NNB
통신사업자가	통신/NNG+사업자/NNG+가/JKS
구축한	구축/NNG+하/XSV+ㄴ/ETM
휴대인터넷(와이브로)망으로	휴대/NNG+인터넷/NNG+(/SS+와이브로/NNG+)/SS+망/NNG+으로/JKB
데이터	데이터/NNG
전송속도가	전송/NNG+속도/NNG+가/JKS
10메가bps에	10/SN+메가/NNB+bps/SL+에/JKB
불과해	불과/MAG+하/XSA+아/EC
접속자가	접속자/NNG+가/JKS
몰리면	몰리/VV+면/EC
끊기기	끊기/VV+기/ETN
일쑤다.	일쑤/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.184.7.1
시는 데이터 전송속도가 지금의 100배인 1기가bps 이상이 되도록 열차의 무선인터넷 장비를 전면 교체할 예정이다.

시는	시/NNG+는/JX
데이터	데이터/NNG
전송속도가	전송/NNG+속도/NNG+가/JKS
지금의	지금/NNG+의/JKG
100배인	100/SN+배/NNG+이/VCP+ㄴ/ETM
1기가bps	1/SN+기가/NNB+bps/SL
이상이	이상/NNG+이/JKC
되도록	되/VV+도록/EC
열차의	열차/NNG+의/JKG
무선인터넷	무선/NNG+인터넷/NNG
장비를	장비/NNG+를/JKO
전면	전면/NNG
교체할	교체/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.184.7.2
1기가bps는 300여명이 동시 접속하더라도 동영상 시청에 필요한 3메가bps 이상은 확보되는 속도다.

1기가bps는	1/SN+기가/NNB+bps/SL+는/JX
300여명이	300/SN+여/XSN+명/NNB+이/JKS
동시	동시/NNG
접속하더라도	접속/NNG+하/XSV+더라도/EC
동영상	동영상/NNG
시청에	시청/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
3메가bps	3/SN+메가/NNB+bps/SL
이상은	이상/NNG+은/JX
확보되는	확보/NNG+되/XSV+는/ETM
속도다.	속도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.184.8.1
시는 오는 3월 공개경쟁 방식으로 1~9호선에 걸쳐 단일 사업자를 선정한다.

시는	시/NNG+는/JX
오는	오/VV+는/ETM
3월	3/SN+월/NNB
공개경쟁	공개경쟁/NNG
방식으로	방식/NNG+으로/JKB
1~9호선에	1/SN+~/SO+9/SN+호선/NNB+에/JKB
걸쳐	걸치/VV+어/EC
단일	단일/NNG
사업자를	사업자/NNG+를/JKO
선정한다.	선정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.184.8.2
지하철 역사 주변에도 무선 중계기(AP)를 설치해 서울시내에 광범위한 통신 서비스를 제공할 수 있는 업체에 가산점을 부여할 계획이다.

지하철	지하철/NNG
역사	역사/NNG
주변에도	주변/NNG+에/JKB+도/JX
무선	무선/NNG
중계기(AP)를	중계기/NNG+(/SS+AP/SL+)/SS+를/JKO
설치해	설치/NNG+하/XSV+아/EC
서울시내에	서울/NNP+시내/NNG+에/JKB
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
통신	통신/NNG
서비스를	서비스/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
업체에	업체/NNG+에/JKB
가산점을	가산점/NNG+을/JKO
부여할	부여/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.184.8.3
민간투자 사업방식이라 사업자는 인터넷에 연결할 때 뜨는 광고 등으로 수익을 창출해야 한다.

민간투자	민간/NNG+투자/NNG
사업방식이라	사업/NNG+방식/NNG+이/VCP+라/EC
사업자는	사업자/NNG+는/JX
인터넷에	인터넷/NNG+에/JKB
연결할	연결/NNG+하/XSV+ㄹ/ETM
때	때/NNG
뜨는	뜨/VV+는/ETM
광고	광고/NNG
등으로	등/NNB+으로/JKB
수익을	수익/NNG+을/JKO
창출해야	창출/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.184.9.1
시 관계자는 “전문성과 기술력을 가진 업체 중에서 지하철의 공익적 측면을 고려해 수익보다는 지속가능성에 초점을 두는 곳을 가려내겠다”고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
“전문성과	“/SS+전문/NNG+성/XSN+과/JC
기술력을	기술력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
업체	업체/NNG
중에서	중/NNB+에서/JKB
지하철의	지하철/NNG+의/JKG
공익적	공익/NNG+적/XSN
측면을	측면/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
수익보다는	수익/NNG+보다/JKB+는/JX
지속가능성에	지속/NNG+가능/NNG+성/XSN+에/JKB
초점을	초점/NNG+을/JKO
두는	두/VV+는/ETM
곳을	곳/NNG+을/JKO
가려내겠다”고	가려내/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.184.10.1
지하철역 주변까지 통신망이 구축되면, 서울 전체 면적(605.2㎢)의 36%, 임야·하천·철도·전답 등을 제외하면 82%에 걸친 곳에서 무선 인터넷이 가능해진다.

지하철역	지하철역/NNG
주변까지	주변/NNG+까지/JX
통신망이	통신망/NNG+이/JKS
구축되면,	구축/NNG+되/XSV+면/EC+,/SP
서울	서울/NNP
전체	전체/NNG
면적(605.2㎢)의	면적/NNG+(/SS+605/SN+./SP+2/SN+㎢/SW+)/SS+의/JKG
36%,	36/SN+%/SW+,/SP
임야·하천·철도·전답	임야/NNG+·/SP+하천/NNG+·/SP+철도/NNG+·/SP+전답/NNG
등을	등/NNB+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
82%에	82/SN+%/SW+에/JKB
걸친	걸치/VV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
무선	무선/NNG
인터넷이	인터넷/NNG+이/JKS
가능해진다.	가능/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


