# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.359
metadata : {}


# id : NWRW1800000024.359.1.1
포스코 휩쓴 금연 바이러스

포스코	포스코/NNP
휩쓴	휩쓸/VV+ㄴ/ETM
금연	금연/NNG
바이러스	바이러스/NNG


# id : NWRW1800000024.359.2.1
올봄에 전사적인 금연운동에 나선 포스코가 6개월 만에 전 직원 금연달성 100%를 눈앞에 두고 있다고 29일 밝혔다.

올봄에	올봄/NNG+에/JKB
전사적인	전사적/NNG+이/VCP+ㄴ/ETM
금연운동에	금연/NNG+운동/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
포스코가	포스코/NNP+가/JKS
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
전	전/MMN
직원	직원/NNG
금연달성	금연/NNG+달성/NNG
100%를	100/SN+%/SW+를/JKO
눈앞에	눈앞/NNG+에/JKB
두고	두/VV+고/EC
있다고	있/VX+다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.359.2.2
지난 8월 포항·광양 제철소 직원들이 금연에 성공했고, 9월에는 서울사무소와 포스코건설, 포스코특수강 등 계열사들도 “100% 금연 달성”을 선포했다.

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
포항·광양	포항/NNP+·/SP+광양/NNP
제철소	제철소/NNG
직원들이	직원/NNG+들/XSN+이/JKS
금연에	금연/NNG+에/JKB
성공했고,	성공/NNG+하/XSV+았/EP+고/EC+,/SP
9월에는	9/SN+월/NNB+에/JKB+는/JX
서울사무소와	서울/NNP+사무소/NNG+와/JC
포스코건설,	포스코건설/NNP+,/SP
포스코특수강	포스코특수강/NNP
등	등/NNB
계열사들도	계열사/NNG+들/XSN+도/JX
“100%	“/SS+100/SN+%/SW
금연	금연/NNG
달성”을	달성/NNG+”/SS+을/JKO
선포했다.	선포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.359.2.3
협력업체들의 금연 캠페인 선포식도 잇따르고 있다.

협력업체들의	협력/NNG+업체/NNG+들/XSN+의/JKG
금연	금연/NNG
캠페인	캠페인/NNG
선포식도	선포식/NNG+도/JX
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.359.3.1
포스코의 금연 바람은 지난 2월 정준양 회장이 취임하면서 불기 시작했다.

포스코의	포스코/NNP+의/JKG
금연	금연/NNG
바람은	바람/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
정준양	정준양/NNP
회장이	회장/NNG+이/JKS
취임하면서	취임/NNG+하/XSV+면서/EC
불기	불/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.359.3.2
정 회장은 2월27일 취임했으며, 회사에 금연 메시지를 발표한 것은 3월10일이었다.

정	정/NNP
회장은	회장/NNG+은/JX
2월27일	2/SN+월/NNB+27/SN+일/NNB
취임했으며,	취임/NNG+하/XSV+았/EP+으며/EC+,/SP
회사에	회사/NNG+에/JKB
금연	금연/NNG
메시지를	메시지/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
3월10일이었다.	3/SN+월/NNB+10/SN+일/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.359.3.3
공식적으로 취임 뒤 첫 지시였던 셈이다.

공식적으로	공식/NNG+적/XSN+으로/JKB
취임	취임/NNG
뒤	뒤/NNG
첫	첫/MMN
지시였던	지시/NNG+이/VCP+었/EP+던/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.359.3.4
주변의 반발도 적지 않았다.

주변의	주변/NNG+의/JKG
반발도	반발/NNG+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.359.3.5
금연운동을 선포하고 나서도 한동안은 서울 대치동 포스코센터 주변에서 담배연기는 여전히 피어올랐다.

금연운동을	금연/NNG+운동/NNG+을/JKO
선포하고	선포/NNG+하/XSV+고/EC
나서도	나/VX+아서/EC+도/JX
한동안은	한/XPN+동안/NNG+은/JX
서울	서울/NNP
대치동	대치동/NNP
포스코센터	포스코센터/NNP
주변에서	주변/NNG+에서/JKB
담배연기는	담배/NNG+연기/NNG+는/JX
여전히	여전히/MAG
피어올랐다.	피어오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.359.4.1
연말에 혈액검사나 소변검사 등을 통해 흡연 여부를 인사고과에 반영한다는 오해까지 있었다.

연말에	연말/NNG+에/JKB
혈액검사나	혈액/NNG+검사/NNG+나/JC
소변검사	소변/NNG+검사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
흡연	흡연/NNG
여부를	여부/NNG+를/JKO
인사고과에	인사/NNG+고과/NNG+에/JKB
반영한다는	반영/NNG+하/XSV+ㄴ다는/ETM
오해까지	오해/NNG+까지/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.359.4.2
그만큼 정 회장의 금연 의지는 강해 보였다.

그만큼	그만큼/MAG
정	정/NNP
회장의	회장/NNG+의/JKG
금연	금연/NNG
의지는	의지/NNG+는/JX
강해	강하/VA+아/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.359.4.3
처음엔 간부들부터 담배를 끊기 시작하더니 차츰 전 직원들로 번졌다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
간부들부터	간부/NNG+들/XSN+부터/JX
담배를	담배/NNG+를/JKO
끊기	끊/VV+기/ETN
