# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.232
metadata : {}


# id : NWRW1800000022.232.1.1
[수도권] 상암동 노을공원, 대형 조각들로 '새단장'

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
상암동	상암동/NNP
노을공원,	노을공원/NNP+,/SP
대형	대형/NNG
조각들로	조각/NNG+들/XSN+로/JKB
'새단장'	'/SS+새/MMA+단장/NNG+'/SS


# id : NWRW1800000022.232.2.1
쓰레기매립지에서 골프장으로, 다시 공원으로 탈바꿈했던 난지도 제1매립지에 조각공원이 생겼다.

쓰레기매립지에서	쓰레기/NNG+매립지/NNG+에서/JKB
골프장으로,	골프장/NNG+으로/JKB+,/SP
다시	다시/MAG
공원으로	공원/NNG+으로/JKB
탈바꿈했던	탈바꿈/NNG+하/XSV+았/EP+던/ETM
난지도	난지도/NNP
제1매립지에	제/XPN+1/SN+매립지/NNG+에/JKB
조각공원이	조각/NNG+공원/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.232.3.1
서울시는 작년 11월 1일 개장한 마포구 상암동 노을공원 36만7329㎡에 국내 유명 조각가 10명의 대형 작품을 설치해 '노을 조각공원'으로 변신시켰다고 28일 밝혔다.

서울시는	서울시/NNP+는/JX
작년	작년/NNG
11월	11/SN+월/NNB
1일	1/SN+일/NNB
개장한	개장/NNG+하/XSV+ㄴ/ETM
마포구	마포구/NNP
상암동	상암동/NNP
노을공원	노을공원/NNP
36만7329㎡에	36/SN+만/NR+7329/SN+㎡/SW+에/JKB
국내	국내/NNG
유명	유명/NNG
조각가	조각가/NNG
10명의	10/SN+명/NNB+의/JKG
대형	대형/NNG
작품을	작품/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
'노을	'/SS+노을/NNG
조각공원'으로	조각/NNG+공원/NNG+'/SS+으로/JKB
변신시켰다고	변신/NNG+시키/XSV+었/EP+다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.232.3.2
설치된 조각품은 모두 10점으로 '재생: 인간과 자연의 재발견'이란 주제를 담고 있다.

설치된	설치/NNG+되/XSV+ㄴ/ETM
조각품은	조각품/NNG+은/JX
모두	모두/MAG
10점으로	10/SN+점/NNB+으로/JKB
'재생:	'/SS+재생/NNG+:/SP
인간과	인간/NNG+과/JC
자연의	자연/NNG+의/JKG
재발견'이란	재/XPN+발견/NNG+'/SS+이/VCP+란/ETM
주제를	주제/NNG+를/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.232.4.1
서울시는 노을공원에 예술조각품을 들이기 위해 작년 '조각작품 설치 운영위원회'(위원장 오광수 미술평론가)를 구성했고, 지난 1월 10명의 국내 유명작가를 선정해 작품을 맡겼다.

서울시는	서울시/NNP+는/JX
노을공원에	노을공원/NNP+에/JKB
예술조각품을	예술/NNG+조각품/NNG+을/JKO
들이기	들이/VV+기/ETN
위해	위하/VV+아/EC
작년	작년/NNG
'조각작품	'/SS+조각/NNG+작품/NNG
설치	설치/NNG
운영위원회'(위원장	운영/NNG+위원회/NNG+'/SS+(/SS+위원장/NNG
오광수	오광수/NNP
미술평론가)를	미술/NNG+평론가/NNG+)/SS+를/JKO
구성했고,	구성/NNG+하/XSV+았/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
10명의	10/SN+명/NNB+의/JKG
국내	국내/NNG
유명작가를	유명/NNG+작가/NNG+를/JKO
선정해	선정/NNG+하/XSV+아/EC
작품을	작품/NNG+을/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.232.5.1
3~5월 3개월간의 제작기간 끝에 '소멸 뒤에 오는 것'(강은엽), '약속의 땅'(강희덕), '자연+인간'(김광우), '그림자의 그림자'(김영원), '천·지·인'(김청정), '도전'(박종배), '積意 0902'(박석원), '제시'(심문섭), '확산공간'(이종각), '난지·오로라'(최만린) 10점의 작품이 탄생했고, 이 작품들은 지난 15일 모두 노을공원에 설치됐다.

