# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.238
metadata : {}


# id : NWRW1800000033.238.1.1
울산, 난적 알힐랄 격파… 넓어진 4강 길

울산,	울산/NNP+,/SP
난적	난적/NNG
알힐랄	알힐랄/NNP
격파…	격파/NNG+…/SE
넓어진	넓어지/VV+ㄴ/ETM
4강	4/SN+강/NNB
길	길/NNG


# id : NWRW1800000033.238.2.1
하피냐의 전반 결승골 잘지켜 亞 챔스리그 8강 1차전 승리 10월 3일 사우디 원정 2차전

하피냐의	하피냐/NNP+의/JKG
전반	전반/NNG
결승골	결승/NNG+골/NNG
잘지켜	잘/MAG+지키/VV+어/EC
亞	亞/SH
챔스리그	챔스리그/NNG
8강	8/SN+강/NNB
1차전	1/SN+차전/NNB
승리	승리/NNG
10월	10/SN+월/NNB
3일	3/SN+일/NNB
사우디	사우디/NNP
원정	원정/NNG
2차전	2/SN+차전/NNB


# id : NWRW1800000033.238.3.1
‘철퇴축구’ 울산이 아시아축구연맹(AFC) 챔피언스리그 4강 진출에 한 발 다가섰다.

‘철퇴축구’	‘/SS+철퇴/NNG+축구/NNG+’/SS
울산이	울산/NNP+이/JKS
아시아축구연맹(AFC)	아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
챔피언스리그	챔피언스리그/NNG
4강	4/SN+강/NNB
진출에	진출/NNG+에/JKB
한	한/MMN
발	발/NNG
다가섰다.	다가서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.238.4.1
울산은 19일 울산문수축구경기장에서 열린 알힐랄(사우디아라비아)과의 AFC 챔피언스리그 8강 1차전 안방경기에서 1-0으로 이겼다.

울산은	울산/NNP+은/JX
19일	19/SN+일/NNB
울산문수축구경기장에서	울산문수축구경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
알힐랄(사우디아라비아)과의	알힐랄/NNP+(/SS+사우디아라비아/NNP+)/SS+과/JKB+의/JKG
AFC	AFC/SL
챔피언스리그	챔피언스리그/NNG
8강	8/SN+강/NNB
1차전	1/SN+차전/NNB
안방경기에서	안방/NNG+경기/NNG+에서/JKB
1-0으로	1/SN+-/SO+0/SN+으로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.238.4.2
자국 리그에서 13번 정상에 오른 알힐랄은 아시안클럽 챔피언십(AFC 챔피언스리그의 전신)에서도 두 차례(1992년, 2000년) 우승한 ‘중동의 강호’.

자국	자국/NNG
리그에서	리그/NNG+에서/JKB
13번	13/SN+번/NNB
정상에	정상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
알힐랄은	알힐랄/NNP+은/JX
아시안클럽	아시안클럽/NNG
챔피언십(AFC	챔피언십/NNG+(/SS+AFC/SL
챔피언스리그의	챔피언스리그/NNG+의/JKG
전신)에서도	전신/NNG+)/SS+에서/JKB+도/JX
