# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.339
metadata : {}


# id : NWRW1800000022.339.1.1
재방송만 틀면서… MBC·SBS, 케이블 채널 각각 7개로 늘려;"뜨는 프로, 채널만 바꿔' 돌림 편성'하면 돈벌이 돼 "지상파 '채널 독과점' 심화 방송 콘텐츠 다양성도 훼손

재방송만	재/XPN+방송/NNG+만/JX
틀면서…	틀/VV+면서/EC+…/SE
MBC·SBS,	MBC/SL+·/SP+SBS/SL+,/SP
케이블	케이블/NNG
채널	채널/NNG
각각	각각/MAG
7개로	7/SN+개/NNB+로/JKB
늘려;"뜨는	늘리/VV+어/EC+;/SP+"/SS+뜨/VV+는/ETM
프로,	프로/NNG+,/SP
채널만	채널/NNG+만/JX
바꿔'	바꾸/VV+어/EC+'/SS
돌림	돌림/NNG
편성'하면	편성/NNG+'/SS+하/VV+면/EC
돈벌이	돈벌이/NNG
돼	되/VV+어/EC
"지상파	"/SS+지상파/NNG
'채널	'/SS+채널/NNG
독과점'	독과점/NNG+'/SS
심화	심화/NNG
방송	방송/NNG
콘텐츠	콘텐츠/NNG
다양성도	다양/NNG+성/XSN+도/JX
훼손	훼손/NNG


# id : NWRW1800000022.339.2.1
이강민(38·서울 마포구)씨는 최근 주말 저녁 케이블 TV를 보다가 한숨을 내쉬었다.

이강민(38·서울	이강민/NNP+(/SS+38/SN+·/SP+서울/NNP
마포구)씨는	마포구/NNP+)/SS+씨/NNB+는/JX
최근	최근/NNG
주말	주말/NNG
저녁	저녁/NNG
케이블	케이블/NNG
TV를	TV/SL+를/JKO
보다가	보/VV+다가/EC
한숨을	한/XPN+숨/NNG+을/JKO
내쉬었다.	내쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.339.2.2
MBC의 오락 프로그램인 '세바퀴(세상을 바꾸는 퀴즈)'가 저녁 무렵에는 MBC계열 케이블채널인 'MBC에브리원'에서 방송되더니 이어서 같은 MBC 계열 채널 'MBC드라마넷'에서 재방송이 나오고 다시 MBC 본 방송에서 '세바퀴'가 방송되더라는 것.

MBC의	MBC/SL+의/JKG
오락	오락/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
'세바퀴(세상을	'/SS+세/MMN+바퀴/NNG+(/SS+세상/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
퀴즈)'가	퀴즈/NNG+)/SS+'/SS+가/JKS
저녁	저녁/NNG
무렵에는	무렵/NNB+에/JKB+는/JX
MBC계열	MBC/SL+계열/NNG
케이블채널인	케이블/NNG+채널/NNG+이/VCP+ㄴ/ETM
'MBC에브리원'에서	'/SS+MBC에브리원/NNP+'/SS+에서/JKB
방송되더니	방송/NNG+되/XSV+더니/EC
이어서	이어서/MAG
같은	같/VA+은/ETM
MBC	MBC/SL
계열	계열/NNG
채널	채널/NNG
'MBC드라마넷'에서	'/SS+MBC드라마넷/NNP+'/SS+에서/JKB
재방송이	재/XPN+방송/NNG+이/JKS
나오고	나오/VV+고/EC
다시	다시/MAG
본	본/NA
방송에서	방송/NNG+에서/JKB
'세바퀴'가	'/SS+세/MMN+바퀴/NNG+'/SS+가/JKS
방송되더라는	방송/NNG+되/XSV+더라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.339.2.3
이날 저녁 무렵부터 3시간 넘게 '세바퀴' 본방·재방송이 채널을 바꿔가며 나온 것이다.

이날	이날/NNG
저녁	저녁/NNG
무렵부터	무렵/NNB+부터/JX
3시간	3/SN+시간/NNB
넘게	넘/VV+게/EC
'세바퀴'	'/SS+세/MMN+바퀴/NNG+'/SS
본방·재방송이	본방/NNG+·/SP+재/XPN+방송/NNG+이/JKS
채널을	채널/NNG+을/JKO
바꿔가며	바꾸/VV+어/EC+가/VX+며/EC
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.339.3.1
이처럼 주말 황금 시간에 MBC는 채널 11번과 계열 케이블·위성 채널 등에서 인기 프로그램 재방송을 집중 편성, 시청자들을 잡아 두고 있다.

이처럼	이/NP+처럼/JKB
주말	주말/NNG
황금	황금/NNG
시간에	시간/NNG+에/JKB
MBC는	MBC/SL+는/JX
채널	채널/NNG
11번과	11/SN+번/NNB+과/JC
계열	계열/NNG
케이블·위성	케이블/NNG+·/SP+위성/NNG
등에서	등/NNB+에서/JKB
인기	인기/NNG
프로그램	프로그램/NNG
재방송을	재/XPN+방송/NNG+을/JKO
집중	집중/NNG
편성,	편성/NNG+,/SP
시청자들을	시청자/NNG+들/XSN+을/JKO
잡아	잡/VV+아/EC
두고	두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.339.3.2
뿐만 아니라 지상파 KBS·SBS도 경쟁적으로 자사 계열의 케이블 채널 숫자를 늘려가고 있어, '지상파의 케이블 채널 독점' 현상은 심화되고 있다.

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
지상파	지상파/NNG
KBS·SBS도	KBS/SL+·/SP+SBS/SL+도/JX
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
자사	자사/NNG
계열의	계열/NNG+의/JKG
케이블	케이블/NNG
채널	채널/NNG
숫자를	숫자/NNG+를/JKO
늘려가고	늘리/VV+어/EC+가/VX+고/EC
있어,	있/VX+어/EC+,/SP
'지상파의	'/SS+지상파/NNG+의/JKG
독점'	독점/NNG+'/SS
현상은	현상/NNG+은/JX
심화되고	심화/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.339.3.3
시청자들은 "케이블 채널이 외견상 숫자는 많지만 실제로는 지상파 재방송 프로그램들로 채워지고 있는 느낌"이라고 불만을 터뜨리고 있다.

시청자들은	시청자/NNG+들/XSN+은/JX
"케이블	"/SS+케이블/NNG
채널이	채널/NNG+이/JKS
외견상	외견/NNG+상/XSN
숫자는	숫자/NNG+는/JX
많지만	많/VA+지만/EC
실제로는	실제로/MAG+는/JX
지상파	지상파/NNG
재방송	재/XPN+방송/NNG
프로그램들로	프로그램/NNG+들/XSN+로/JKB
채워지고	채우/VV+어/EC+지/VX+고/EC
있는	있/VX+는/ETM
느낌"이라고	느낌/NNG+"/SS+이라고/JKQ
불만을	불만/NNG+을/JKO
터뜨리고	터뜨리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.339.4.1
◆지상파 재방송 채널로 전락한 케이블TV

◆지상파	◆/SW+지상파/NNG
재방송	재/XPN+방송/NNG
채널로	채널/NNG+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
케이블TV	케이블/NNG+TV/SL


# id : NWRW1800000022.339.5.1
지상파의 케이블 계열 채널들은 지상파의 '재방송 채널'로 전락한 지 오래다.

지상파의	지상파/NNG+의/JKG
케이블	케이블/NNG
계열	계열/NNG
채널들은	채널/NNG+들/XSN+은/JX
'재방송	'/SS+재/XPN+방송/NNG
채널'로	채널/NNG+'/SS+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
지	지/NNB
오래다.	오래/VA+다/EF+./SF


# id : NWRW1800000022.339.5.2
이들 방송사의 편성표를 나란히 놓고 비교해보면 이런 사실을 쉽게 알 수 있다.

이들	이/NP+들/XSN
방송사의	방송사/NNG+의/JKG
편성표를	편성표/NNG+를/JKO
나란히	나란히/MAG
놓고	놓/VV+고/EC
비교해보면	비교/NNG+하/XSV+아/EC+보/VX+면/EC
이런	이런/MMD
사실을	사실/NNG+을/JKO
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.339.5.3
지난달 26일 MBC드라마넷과 MBC에브리원, MBC 3개 채널의 편성표에서 '세바퀴'를 찾아보면, '세바퀴'는 먼저 오후 5시5분부터 7시15분까지 MBC에브리원 채널에서 재방송 2회분이 방송된 것으로 나타났다.

지난달	지난달/NNG
26일	26/SN+일/NNB
MBC드라마넷과	MBC드라마넷/NNP+과/JC
MBC에브리원,	MBC에브리원/NNP+,/SP
MBC	MBC/SL
