# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.47
metadata : {}


# id : NWRW1800000041.47.1.1
[요동치는 세계경제]“맷집 좋은 한국, 큰 충격은 없을듯”

[요동치는	[/SS+요동치/VV+는/ETM
세계경제]“맷집	세계/NNG+경제/NNG+]/SS+“/SS+맷집/NNG
좋은	좋/VA+은/ETM
한국,	한국/NNP+,/SP
큰	크/VA+ㄴ/ETM
충격은	충격/NNG+은/JX
없을듯”	없/VA+을/ETM+듯/NNB+”/SS


# id : NWRW1800000041.47.2.1
英업체 56개 신흥국 취약성 분석… “멕시코-필리핀-체코 등엔 기회”

英업체	英/SH+업체/NNG
56개	56/SN+개/NNB
신흥국	신흥국/NNG
취약성	취약/NNG+성/XSN
분석…	분석/NNG+…/SE
“멕시코-필리핀-체코	“/SS+멕시코/NNP+-/SO+필리핀/NNP+-/SO+체코/NNP
등엔	등/NNB+에/JKB+ㄴ/JX
기회”	기회/NNG+”/SS


# id : NWRW1800000041.47.3.1
경제 전문가들은 신흥국 통화가 상당 기간 약세를 이어간다 해도 각국의 경제 기초체력(펀더멘털)에 따라 차별화가 있을 것으로 내다보고 있다.

경제	경제/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
신흥국	신흥국/NNG
통화가	통화/NNG+가/JKS
상당	상당/NNG
기간	기간/NNG
약세를	약세/NNG+를/JKO
이어간다	잇/VV+어/EC+가/VX+ㄴ다/EF
해도	하/VV+아도/EC
각국의	각국/NNG+의/JKG
기초체력(펀더멘털)에	기초/NNG+체력/NNG+(/SS+펀더멘털/NNG+)/SS+에/JKB
따라	따르/VV+아/EC
차별화가	차별/NNG+화/XSN+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
내다보고	내다보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.47.3.2
특히 한국처럼 외환보유액이 넉넉하고 경상수지 흑자가 이어지는 나라에선 약간의 혼란은 있겠지만 경제성장에 큰 악영향을 주지 않을 것이라는 분석이 많다.

특히	특히/MAG
한국처럼	한국/NNP+처럼/JKB
외환보유액이	외환/NNG+보유액/NNG+이/JKS
넉넉하고	넉넉하/VA+고/EC
경상수지	경상/NNG+수지/NNG
흑자가	흑자/NNG+가/JKS
이어지는	이어지/VV+는/ETM
나라에선	나라/NNG+에서/JKB+ㄴ/JX
약간의	약간/NNG+의/JKG
혼란은	혼란/NNG+은/JX
있겠지만	있/VA+겠/EP+지만/EC
경제성장에	경제/NNG+성장/NNG+에/JKB
큰	크/VA+ㄴ/ETM
악영향을	악영향/NNG+을/JKO
주지	주/VV+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.47.4.1
영국 시장조사업체 캐피털 이코노믹스는 24일 전 세계 56개 신흥국을 취약성 정도에 따라 5개 그룹으로 나눴다.

영국	영국/NNP
시장조사업체	시장/NNG+조사/NNG+업체/NNG
캐피털	캐피털/NNP
이코노믹스는	이코노믹스/NNP+는/JX
24일	24/SN+일/NNB
전	전/MMN
세계	세계/NNG
56개	56/SN+개/NNB
신흥국을	신흥국/NNG+을/JKO
취약성	취약/NNG+성/XSN
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
5개	5/SN+개/NNB
그룹으로	그룹/NNG+으로/JKB
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.47.4.2
가장 취약한 첫 번째 그룹은 아르헨티나 우크라이나 베네수엘라로 대중영합주의(포퓰리즘) 경제정책과 빈약한 외환보유액으로 경제위기를 자초한 나라들이다.

가장	가장/MAG
취약한	취약/NNG+하/XSA+ㄴ/ETM
첫	첫/MMN
번째	번/NNB+째/XSN
그룹은	그룹/NNG+은/JX
아르헨티나	아르헨티나/NNP
우크라이나	우크라이나/NNP
베네수엘라로	베네수엘라/NNP+로/JKB
대중영합주의(포퓰리즘)	대중/NNG+영합주의/NNG+(/SS+포퓰리즘/NNG+)/SS
경제정책과	경제/NNG+정책/NNG+과/JC
빈약한	빈약/NNG+하/XSA+ㄴ/ETM
외환보유액으로	외환/NNG+보유액/NNG+으로/JKB
경제위기를	경제/NNG+위기/NNG+를/JKO
자초한	자초/NNG+하/XSV+ㄴ/ETM
나라들이다.	나라/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.47.4.3
아르헨티나는 2000년대 초 원자재 시장 호황기에 콩 옥수수 등 주력 생산품의 수출이 급증하자 각종 정책에 정부 재정을 마구 투입했다.

아르헨티나는	아르헨티나/NNP+는/JX
2000년대	2000/SN+년대/NNB
초	초/NNB
원자재	원자재/NNG
시장	시장/NNG
호황기에	호황기/NNG+에/JKB
콩	콩/NNG
옥수수	옥수수/NNG
등	등/NNB
주력	주력/NNG
생산품의	생산품/NNG+의/JKG
수출이	수출/NNG+이/JKS
급증하자	급증/NNG+하/XSV+자/EC
각종	각종/NNG
정책에	정책/NNG+에/JKB
정부	정부/NNG
재정을	재정/NNG+을/JKO
마구	마구/MAG
투입했다.	투입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.47.4.4
하지만 세계 금융위기와 중국의 성장 둔화로 원자재 수요가 줄고 미국의 테이퍼링까지 겹치자 페소화 가치가 급락했다.

하지만	하지만/MAJ
세계	세계/NNG
금융위기와	금융/NNG+위기/NNG+와/JC
중국의	중국/NNP+의/JKG
성장	성장/NNG
둔화로	둔화/NNG+로/JKB
원자재	원자재/NNG
수요가	수요/NNG+가/JKS
줄고	줄/VV+고/EC
미국의	미국/NNP+의/JKG
테이퍼링까지	테이퍼링/NNG+까지/JX
겹치자	겹치/VV+자/EC
페소화	페소화/NNG
가치가	가치/NNG+가/JKS
급락했다.	급락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.47.5.1
두 번째 그룹은 신용 거품과 대규모 경상적자로 단기외채 상환 능력이 떨어져 테이퍼링 충격에 취약한 터키 남아공 인도네시아 태국 칠레 페루다.

두	두/MMN
번째	번/NNB+째/XSN
그룹은	그룹/NNG+은/JX
신용	신용/NNG
거품과	거품/NNG+과/JC
대규모	대/XPN+규모/NNG
경상적자로	경상/NNG+적자/NNG+로/JKB
단기외채	단기/NNG+외채/NNG
상환	상환/NNG
능력이	능력/NNG+이/JKS
떨어져	떨어지/VV+어/EC
테이퍼링	테이퍼링/NNG
충격에	충격/NNG+에/JKB
취약한	취약/NNG+하/XSA+ㄴ/ETM
터키	터키/NNP
남아공	남아공/NNP
인도네시아	인도네시아/NNP
태국	태국/NNP
칠레	칠레/NNP
페루다.	페루/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000041.47.5.2
미국 투자은행 모건스탠리가 꼽은 테이퍼링의 ‘5대 취약국(Fragile Five·터키 남아공 인도네시아 브라질 인도)’, 영국 파이낸셜타임스와 자산운용사 슈로더가 지목한 ‘안절부절못하는 8개국(Edgy Eight·5대 취약국+헝가리 폴란드 칠레)’에도 일부 속해 있다.

미국	미국/NNP
투자은행	투자/NNG+은행/NNG
모건스탠리가	모건스탠리/NNP+가/JKS
꼽은	꼽/VV+은/ETM
테이퍼링의	테이퍼링/NNG+의/JKG
‘5대	‘/SS+5/SN+대/NNG
취약국(Fragile	취약국/NNG+(/SS+Fragile/SL
Five·터키	Five/SL+·/SP+터키/NNP
남아공	남아공/NNP
인도네시아	인도네시아/NNP
브라질	브라질/NNP
인도)’,	인도/NNP+)/SS+’/SS+,/SP
영국	영국/NNP
파이낸셜타임스와	파이낸셜타임스/NNP+와/JC
