# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.377
metadata : {}


# id : NWRW1800000026.377.1.1
[광저우 아시안게임] '태권 소년'도 金 호령;첫 고교생 대표 이대훈 63㎏급서 泰선수 물리쳐

[광저우	[/SS+광저우/NNP
아시안게임]	아시안/NNP+게임/NNG+]/SS
'태권	'/SS+태권/NNG
소년'도	소년/NNG+'/SS+도/JX
金	金/SH
호령;첫	호령/NNG+;/SW+첫/MMN
고교생	고교/NNG+생/XSN
대표	대표/NNG
이대훈	이대훈/NNP
63㎏급서	63/SN+㎏/SW+급/NNG+서/JKB
泰선수	泰/SH+선수/NNG
물리쳐	물리치/VV+어/EF


# id : NWRW1800000026.377.2.1
한국 남자 태권도 사상 올림픽과 아시안게임을 통틀어 첫 고교생 국가 대표가 된 이대훈(18·한성고)이 태권도 남자 63㎏급에서 금메달을 따냈다.

한국	한국/NNP
남자	남자/NNG
태권도	태권도/NNG
사상	사상/NNG
올림픽과	올림픽/NNG+과/JC
아시안게임을	아시안/NNP+게임/NNG+을/JKO
통틀어	통틀어/MAG
첫	첫/MMN
고교생	고교/NNG+생/XSN
국가	국가/NNG
대표가	대표/NNG+가/JKC
된	되/VV+ㄴ/ETM
이대훈(18·한성고)이	이대훈/NNP+(/SS+18/SN+·/SP+한성고/NNP+)/SS+이/JKS
63㎏급에서	63/SN+㎏/SW+급/NNG+에서/JKB
금메달을	금메달/NNG+을/JKO
따냈다.	따/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.377.2.2
여자 62㎏급의 노은실(21·경희대)도 시상대 맨 위에 올랐다.

여자	여자/NNG
62㎏급의	62/SN+㎏/SW+급/NNG+의/JKG
노은실(21·경희대)도	노은실/NNP+(/SS+21/SN+·/SP+경희대/NNP+)/SS+도/JX
시상대	시상대/NNG
맨	맨/MMA
위에	위/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.3.1
이대훈은 아시안게임 개막 전 곱상한 꽃미남 외모에 나이에 걸맞지 않은 실력으로 주목받았다.

이대훈은	이대훈/NNP+은/JX
아시안게임	아시안/NNP+게임/NNG
개막	개막/NNG
전	전/NNG
곱상한	곱상/NNG+하/XSA+ㄴ/ETM
꽃미남	꽃미남/NNG
외모에	외모/NNG+에/JKB
나이에	나이/NNG+에/JKB
걸맞지	걸맞/VA+지/EC
않은	않/VX+은/ETM
실력으로	실력/NNG+으로/JKB
주목받았다.	주목/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.3.2
4월 국가 대표 선발전에서 경기당 13.7점을 올리는 화끈한 고득점 행진으로 6명의 대학·실업 선배들을 모두 물리쳤다.

4월	4/SN+월/NNB
국가	국가/NNG
대표	대표/NNG
선발전에서	선발전/NNG+에서/JKB
경기당	경기/NNG+당/XSN
13.7점을	13/SN+./SP+7/SN+점/NNB+을/JKO
올리는	올리/VV+는/ETM
화끈한	화끈/MAG+하/XSA+ㄴ/ETM
고득점	고/XPN+득점/NNG
행진으로	행진/NNG+으로/JKB
6명의	6/SN+명/NNB+의/JKG
대학·실업	대학/NNG+·/SP+실업/NNG
선배들을	선배/NNG+들/XSN+을/JKO
모두	모두/MAG
물리쳤다.	물리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.377.4.1
이대훈은 '태권도 집안'에서 자랐다.

이대훈은	이대훈/NNP+은/JX
'태권도	'/SS+태권도/NNG
집안'에서	집안/NNG+'/SS+에서/JKB
자랐다.	자라/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.4.2
고교 때까지 태권도 선수로 활약한 아버지(이주열·40)의 영향을 받아 다섯 살 때부터 태권도를 시작했다.

고교	고교/NNG
때까지	때/NNG+까지/JX
태권도	태권도/NNG
선수로	선수/NNG+로/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
아버지(이주열·40)의	아버지/NNG+(/SS+이주열/NNP+·/SP+40/SN+)/SS+의/JKG
영향을	영향/NNG+을/JKO
받아	받/VV+아/EC
다섯	다섯/NR
살	살/NNB
때부터	때/NNG+부터/JX
태권도를	태권도/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.4.3
친형인 정훈(21)도 경원대에서 선수생활을 하고 있다.

친형인	친형/NNG+이/VCP+ㄴ/ETM
정훈(21)도	정훈/NNP+(/SS+21/SN+)/SS+도/JX
경원대에서	경원대/NNP+에서/JKB
선수생활을	선수/NNG+생활/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.377.5.1
어릴 때는 단신이었지만 고1 때 지금의 키(180㎝)가 되자 국내 무대를 휩쓸기 시작했다.

어릴	어리/VA+ㄹ/ETM
때는	때/NNG+는/JX
단신이었지만	단신/NNG+이/VCP+었/EP+지만/EC
고1	고/NNG+1/SN
때	때/NNG
지금의	지금/NNG+의/JKG
키(180㎝)가	키/NNG+(/SS+180/SN+㎝/SW+)/SS+가/JKC
되자	되/VV+자/EC
국내	국내/NNG
무대를	무대/NNG+를/JKO
휩쓸기	휩쓸/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.5.2
패배를 모르던 그에게 작년 11월 아시아청소년선수권의 좌절이 약이 됐다.

패배를	패배/NNG+를/JKO
모르던	모르/VV+던/ETM
그에게	그/NP+에게/JKB
작년	작년/NNG
11월	11/SN+월/NNB
아시아청소년선수권의	아시아/NNP+청소년/NNG+선수/NNG+권/XSN+의/JKG
좌절이	좌절/NNG+이/JKS
약이	약/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.377.5.3
한국의 출전자 10명 중 유일하게 그만 빈손으로 돌아온 것이다.

한국의	한국/NNP+의/JKG
출전자	출전자/NNG
10명	10/SN+명/NNB
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
그만	그/NP+만/JX
빈손으로	빈손/NNG+으로/JKB
돌아온	돌아오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.377.6.1
그때부터 칼을 간 이대훈은 결국 아시안게임의 주역이 됐다.

그때부터	그때/NNG+부터/JX
칼을	칼/NNG+을/JKO
간	가/VV+ㄴ/ETM
이대훈은	이대훈/NNP+은/JX
결국	결국/MAG
아시안게임의	아시안/NNP+게임/NNG+의/JKG
주역이	주역/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.377.6.2
특기는 안면 공격이다.

특기는	특기/NNG+는/JX
안면	안면/NNG
공격이다.	공격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.377.6.3
태권도는 몸통을 차면 1점, 회전 기술로 몸통을 때리면 2점을 준다.

태권도는	태권도/NNG+는/JX
몸통을	몸통/NNG+을/JKO
차면	차/VV+면/EC
1점,	1/SN+점/NNB+,/SP
회전	회전/NNG
기술로	기술/NNG+로/JKB
때리면	때리/VV+면/EC
2점을	2/SN+점/NNB+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.377.6.4
얼굴 공격이 3점으로 배점이 가장 높다.

얼굴	얼굴/NNG
공격이	공격/NNG+이/JKS
3점으로	3/SN+점/NNB+으로/JKB
배점이	배점/NNG+이/JKS
가장	가장/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000026.377.7.1
하체가 긴 이대훈은 주로 상대 얼굴을 겨냥해 다득점을 노린다.

하체가	하체/NNG+가/JKS
긴	길/VA+ㄴ/ETM
이대훈은	이대훈/NNP+은/JX
주로	주로/MAG
상대	상대/NNG
얼굴을	얼굴/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
다득점을	다득점/NNG+을/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.377.7.2
이날 결승전에서도 이대훈의 진가가 드러났다.

이날	이날/NNG
결승전에서도	결승전/NNG+에서/JKB+도/JX
이대훈의	이대훈/NNP+의/JKG
진가가	진가/NNG+가/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.7.3
이대훈은 태국의 나차푼통을 맞아 안면 공격을 연이어 적중시키며 10대9로 승리했다.

이대훈은	이대훈/NNP+은/JX
태국의	태국/NNP+의/JKG
나차푼통을	나차푼통/NNP+을/JKO
맞아	맞/VV+아/EC
안면	안면/NNG
공격을	공격/NNG+을/JKO
연이어	연잇/VV+어/EC
적중시키며	적중/NNG+시키/XSV+며/EC
10대9로	10/SN+대/NNB+9/SN+로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.8.1
62㎏급의 노은실은 앞서 열린 결승에서 라헤레 아세마니(이란)를 14대2로 압도했다.

62㎏급의	62/SN+㎏/SW+급/NNG+의/JKG
노은실은	노은실/NNP+은/JX
앞서	앞서/MAG
열린	열리/VV+ㄴ/ETM
결승에서	결승/NNG+에서/JKB
라헤레	라헤레/NNP
아세마니(이란)를	아세마니/NNP+(/SS+이란/NNP+)/SS+를/JKO
14대2로	14/SN+대/NNB+2/SN+로/JKB
압도했다.	압도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.377.8.2
라이벌 장치웅팡(대만)과의 준결승에서 무릎을 다쳤지만 4대3 역전승을 거두며 고비를 넘겼다.

라이벌	라이벌/NNG
장치웅팡(대만)과의	장치웅팡/NNP+(/SS+대만/NNP+)/SS+과/JKB+의/JKG
준결승에서	준/XPN+결승/NNG+에서/JKB
무릎을	무릎/NNG+을/JKO
다쳤지만	다치/VV+었/EP+지만/EC
4대3	4/SN+대/NNB+3/SN
역전승을	역전승/NNG+을/JKO
거두며	거두/VV+며/EC
고비를	고비/NNG+를/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.377.8.3
남자 68㎏급의 장세욱은 세계 랭킹 1위 이란의 바게리에 4대6으로 패해 은메달에 만족해야 했다.

남자	남자/NNG
68㎏급의	68/SN+㎏/SW+급/NNG+의/JKG
장세욱은	장세욱/NNP+은/JX
세계	세계/NNG
랭킹	랭킹/NNG
1위	1/SN+위/NNB
이란의	이란/NNP+의/JKG
바게리에	바게리/NNP+에/JKB
4대6으로	4/SN+대/NNB+6/SN+으로/JKB
패해	패/NNG+하/XSV+아/EC
은메달에	은메달/NNG+에/JKB
만족해야	만족/NNG+하/XSA+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


