# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.21
metadata : {}


# id : NWRW1800000038.21.1.1
中 리커창 "지방정부, 공무원들 접대費 공개하라"

中	中/SH
리커창	리커창/NNP
"지방정부,	"/SS+지방/NNG+정부/NNG+,/SP
공무원들	공무원/NNG+들/XSN
접대費	접대/NNG+費/SH
공개하라"	공개/NNG+하/XSV+라/EF+"/SS


# id : NWRW1800000038.21.2.1
反부패 드라이브 시동

反부패	反/SH+부패/NNG
드라이브	드라이브/NNG
시동	시동/NNG


# id : NWRW1800000038.21.3.1
리커창(李克强·사진) 중국 총리가 취임 이후 '반부패 드라이브'를 강하게 걸고 있다.

리커창(李克强·사진)	리커창/NNP+(/SS+李克强/SH+·/SP+사진/NNG+)/SS
중국	중국/NNP
총리가	총리/NNG+가/JKS
취임	취임/NNG
이후	이후/NNG
'반부패	'/SS+반/XPN+부패/NNG
드라이브'를	드라이브/NNG+'/SS+를/JKO
강하게	강하/VA+게/EC
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.21.4.1
리 총리는 26일 국무원 구성 이후 첫 '청렴 업무'회의에서 "권력에 방부제(반부패 제도)를 바르는 건 (삼장법사가) 손오공 머리에 금속 테를 씌우는 것과 같다"며 "부패 사전 차단을 위한 제도를 만들자"고 말했다고 신화통신이 27일 보도했다.

리	리/NNP
총리는	총리/NNG+는/JX
26일	26/SN+일/NNB
국무원	국무원/NNG
구성	구성/NNG
이후	이후/NNG
첫	첫/MMN
'청렴	'/SS+청렴/NNG
업무'회의에서	업무/NNG+'/SS+회의/NNG+에서/JKB
"권력에	"/SS+권력/NNG+에/JKB
방부제(반부패	방부제/NNG+(/SS+반/XPN+부패/NNG
제도)를	제도/NNG+)/SS+를/JKO
바르는	바르/VV+는/ETM
건	거/NNB+ㄴ/JX
(삼장법사가)	(/SS+삼장/NNP+법사/NNG+가/JKS+)/SS
손오공	손오공/NNP
머리에	머리/NNG+에/JKB
금속	금속/NNG
테를	테/NNG+를/JKO
씌우는	씌우/VV+는/ETM
것과	것/NNB+과/JKB
같다"며	같/VA+다/EF+"/SS+며/EC
"부패	"/SS+부패/NNG
사전	사전/NNG
차단을	차단/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제도를	제도/NNG+를/JKO
만들자"고	만들/VV+자/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
신화통신이	신화통신/NNP+이/JKS
27일	27/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.4.2
지금처럼 문제가 적발된 관리를 처벌하는 것만으로는 부패를 막는 데 한계가 있는 만큼 '반부패 시스템' 구축이 필요하다는 의미다.

지금처럼	지금/NNG+처럼/JKB
문제가	문제/NNG+가/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
관리를	관리/NNG+를/JKO
처벌하는	처벌/NNG+하/XSV+는/ETM
것만으로는	것/NNB+만/JX+으로/JKB+는/JX
부패를	부패/NNG+를/JKO
막는	막/VV+는/ETM
데	데/NNB
한계가	한계/NNG+가/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
'반부패	'/SS+반/XPN+부패/NNG
시스템'	시스템/NNG+'/SS
구축이	구축/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.21.5.1
리 총리는 그 방법으로 '공개'와 '투명'을 강조했다.

리	리/NNP
