# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.336
metadata : {}


# id : NWRW1800000046.336.1.1
새정치聯 '光州 지키기'… 文, 열흘새 2번 방문

새정치聯	새정치聯/NNP
'光州	'/SS+光州/SH
지키기'…	지키/VV+기/ETN+'/SS+…/SE
文,	文/SH+,/SP
열흘새	열흘/NNG+새/NNG
2번	2/SN+번/NNB
방문	방문/NNG


# id : NWRW1800000046.336.2.1
野·野 분열에 광주西乙 보선 위기감… 텃밭 사수 총력전

野·野	野/SH+·/SP+野/SH
분열에	분열/NNG+에/JKB
광주西乙	광주/NNP+西乙/SH
보선	보선/NNG
위기감…	위기감/NNG+…/SE
텃밭	텃밭/NNG
사수	사수/NNG
총력전	총력전/NNG


# id : NWRW1800000046.336.3.1
야당이 후보만 내면 거의 당선되던 광주(光州)였지만 이번 4·29 재·보선에선 상황이 다르다.

야당이	야당/NNG+이/JKS
후보만	후보/NNG+만/JX
내면	내/VV+면/EC
거의	거의/MAG
당선되던	당선/NNG+되/XSV+던/ETM
광주(光州)였지만	광주/NNP+(/SS+光州/SH+)/SS+이/VCP+었/EP+지만/EC
이번	이번/NNG
4·29	4/SN+·/SP+29/SN
재·보선에선	재·보선/NNG+에서/JKB+ㄴ/JX
상황이	상황/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000046.336.3.2
광주 서을 보궐선거는 천정배 전 의원이 새정치연합을 탈당하고 무소속으로 출마하면서 복잡한 양상을 보이고 있다.

광주	광주/NNP
서을	서을/NNP
보궐선거는	보궐/NNG+선거/NNG+는/JX
천정배	천정배/NNP
전	전/MMD
의원이	의원/NNG+이/JKS
새정치연합을	새정치연합/NNP+을/JKO
탈당하고	탈당/NNG+하/XSV+고/EC
무소속으로	무/XPN+소속/NNG+으로/JKB
출마하면서	출마/NNG+하/XSV+면서/EC
복잡한	복잡하/VA+ㄴ/ETM
양상을	양상/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.336.3.3
야권 후보가 갈라지자 새누리당도 '제2의 이정현 효과'를 기대하고 있다.

야권	야권/NNG
후보가	후보/NNG+가/JKS
갈라지자	갈라지/VV+자/EC
새누리당도	새누리당/NNP+도/JX
'제2의	'/SS+제/XPN+2/SN+의/JKG
이정현	이정현/NNP
효과'를	효과/NNG+'/SS+를/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.336.4.1
1일에는 호남선 KTX 개통식을 계기로 여야 대표가 모두 광주를 찾았다.

1일에는	1/SN+일/NNB+에/JKB+는/JX
호남선	호남선/NNP
KTX	KTX/SL
개통식을	개통식/NNG+을/JKO
계기로	계기/NNG+로/JKB
여야	여야/NNG
대표가	대표/NNG+가/JKS
모두	모두/MAG
광주를	광주/NNP+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.4.2
문재인 대표 등 새정치연합 지도부는 지난 22일에 이어 두 번째 방문이다.

문재인	문재인/NNP
대표	대표/NNG
등	등/NNB
새정치연합	새정치연합/NNP
지도부는	지도부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
22일에	22/SN+일/NNB+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째	번/NNB+째/XSN
방문이다.	방문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.336.4.3
새정치연합 관계자들은 "그만큼 광주 선거의 승리가 절실하다는 뜻"이라고 했다.

새정치연합	새정치연합/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
"그만큼	"/SS+그만큼/MAG
광주	광주/NNP
선거의	선거/NNG+의/JKG
승리가	승리/NNG+가/JKS
절실하다는	절실하/VA+다는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.4.4
호남의 심장인 광주를 뺏기면 문 대표는 리더십에 타격을 입을 수밖에 없다.

호남의	호남/NNP+의/JKG
심장인	심장/NNG+이/VCP+ㄴ/ETM
광주를	광주/NNP+를/JKO
뺏기면	뺏기/VV+면/EC
문	문/NNP
대표는	대표/NNG+는/JX
리더십에	리더십/NNG+에/JKB
타격을	타격/NNG+을/JKO
입을	입/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.336.4.5
문 대표는 이날 광주에서 최고위원회를 열어 조영택 후보를 지원했고, 이후에는 노인들을 상대로 한 점심 배식 봉사, 농수산물시장 방문 등으로 바쁘게 뛰었다.

문	문/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
광주에서	광주/NNP+에서/JKB
최고위원회를	최고/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
조영택	조영택/NNP
후보를	후보/NNG+를/JKO
지원했고,	지원/NNG+하/XSV+았/EP+고/EC+,/SP
이후에는	이후/NNG+에/JKB+는/JX
노인들을	노인/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
점심	점심/NNG
배식	배식/NNG
봉사,	봉사/NNG+,/SP
농수산물시장	농수산물/NNG+시장/NNG
방문	방문/NNG
등으로	등/NNB+으로/JKB
바쁘게	바쁘/VA+게/EC
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.336.5.1
