# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.155
metadata : {}


# id : NWRW1800000025.155.1.1
[6·2 국민의 선택/화제의 당선자]대전시장 염홍철 당선자 外

[6·2	[/SS+6/SN+·/SP+2/SN
국민의	국민/NNG+의/JKG
선택/화제의	선택/NNG+//SP+화제/NNG+의/JKG
당선자]대전시장	당선자/NNG+]/SS+대전시장/NNG
염홍철	염홍철/NNP
당선자	당선자/NNG
外	外/SH


# id : NWRW1800000025.155.2.1
■ 대전시장 염홍철 당선자, ‘세종시 반발’ 한나라 탈당후 좌절의 4년… 선진당 달고 컴백

■	■/SW
대전시장	대전시장/NNG
염홍철	염홍철/NNP
당선자,	당선자/NNG+,/SP
‘세종시	‘/SS+세종시/NNP
반발’	반발/NNG+’/SS
한나라	한나라/NNP
탈당후	탈당/NNG+후/NNG
좌절의	좌절/NNG+의/JKG
4년…	4/SN+년/NNB+…/SE
선진당	선진당/NNP
달고	달/VV+고/EC
컴백	컴백/NNG


# id : NWRW1800000025.155.3.1
“지난 4년은 좌절과 고통의 연속이었습니다.

“지난	“/SS+지나/VV+ㄴ/ETM
4년은	4/SN+년/NNB+은/JX
좌절과	좌절/NNG+과/JC
고통의	고통/NNG+의/JKG
연속이었습니다.	연속/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000025.155.3.2
대전시민의 따스한 사랑과 격려 때문에 오늘을 맞이할 수 있었다고 생각합니다.”

대전시민의	대전/NNP+시민/NNG+의/JKG
따스한	따스하/VA+ㄴ/ETM
사랑과	사랑/NNG+과/JC
격려	격려/NNG
때문에	때문/NNB+에/JKB
오늘을	오늘/NNG+을/JKO
맞이할	맞이하/VV+ㄹ/ETM
수	수/NNB
있었다고	있/VA+었/EP+다고/EC
생각합니다.”	생각/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.155.4.1
대전시장 선거는 전국 광역자치단체장 선거 중 유일하게 ‘리턴매치’여서 더욱 관심을 끌었다.

대전시장	대전시장/NNG
선거는	선거/NNG+는/JX
전국	전국/NNG
광역자치단체장	광역/NNG+자치/NNG+단체장/NNG
선거	선거/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
‘리턴매치’여서	‘/SS+리턴/NNG+매치/NNG+’/SS+이/VCP+어서/EC
더욱	더욱/MAG
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.155.4.2
염홍철 당선자(65)는 2일 오후 11시경 개표율 50%를 넘어서면서 2위인 박성효 대전시장(한나라당)과의 격차가 더욱 벌어지자 그제서야 인터뷰에 응했다.

염홍철	염홍철/NNP
당선자(65)는	당선자/NNG+(/SS+65/SN+)/SS+는/JX
2일	2/SN+일/NNB
오후	오후/NNG
11시경	11/SN+시/NNB+경/XSN
개표율	개표/NNG+율/XSN
50%를	50/SN+%/SW+를/JKO
넘어서면서	넘어서/VV+면서/EC
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
박성효	박성효/NNP
대전시장(한나라당)과의	대전시장/NNG+(/SS+한나라당/NNP+)/SS+과/JKB+의/JKG
격차가	격차/NNG+가/JKS
더욱	더욱/MAG
벌어지자	벌어지/VV+자/EC
그제서야	그제서야/MAG
인터뷰에	인터뷰/NNG+에/JKB
응했다.	응하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.155.5.1
2006년 5·31지방선거 때 각종 여론조사에서 압승했는데도 막판에 역전당한 ‘악몽’ 때문이었다.

2006년	2006/SN+년/NNB
5·31지방선거	5/SN+·/SP+31/SN+지방/NNG+선거/NNG
때	때/NNG
각종	각종/NNG
