# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.146
metadata : {}


# id : NWRW1800000022.146.1.1
"OB맥주 매각 땐 1인당 위로금 1600만원 지급";인베브사, 노조와 합의

"OB맥주	"/SS+OB맥주/NNP
매각	매각/NNG
땐	때/NNG+ㄴ/JX
1인당	1/SN+인/NNG+당/XSN
위로금	위로금/NNG
1600만원	1600/SN+만/NR+원/NNB
지급";인베브사,	지급/NNG+"/SS+;/SW+인베브사/NNP+,/SP
노조와	노조/NNG+와/JKB
합의	합의/NNG


# id : NWRW1800000022.146.2.1
OB맥주 매각 입찰을 진행 중인 벨기에 인베브사가 총파업을 벌이는 등 압박을 가한 노조의 요구를 수용, 위로금 성격의 분배금 250억원어치를 조합원에 지급하기로 합의했다고 노조측이 22일 밝혔다.

OB맥주	OB맥주/NNP
매각	매각/NNG
입찰을	입찰/NNG+을/JKO
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
벨기에	벨기에/NNP
인베브사가	인베브사/NNP+가/JKS
총파업을	총파업/NNG+을/JKO
벌이는	벌이/VV+는/ETM
등	등/NNB
압박을	압박/NNG+을/JKO
가한	가하/VV+ㄴ/ETM
노조의	노조/NNG+의/JKG
요구를	요구/NNG+를/JKO
수용,	수용/NNG+,/SP
위로금	위로금/NNG
성격의	성격/NNG+의/JKG
분배금	분배금/NNG
250억원어치를	250/SN+억/NR+원/NNB+어치/XSN+를/JKO
조합원에	조합원/NNG+에/JKB
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
합의했다고	합의/NNG+하/XSV+았/EP+다고/EC
노조측이	노조/NNG+측/NNB+이/JKS
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.146.3.1
OB맥주 진경섭 노조위원장은 "회사측이 매각계약이 최종 타결되는 시점에 전 직원에게 1인당 공정분배금 1000만원, 특별상여금 600만원 등 1600만원씩을 지급하기로 약속했다"며 "지난 20일부터 벌여온 파업은 22일 오후부터 중단했다"고 말했다.

OB맥주	OB맥주/NNP
진경섭	진경섭/NNP
노조위원장은	노조/NNG+위원장/NNG+은/JX
"회사측이	"/SS+회사/NNG+측/NNB+이/JKS
매각계약이	매각/NNG+계약/NNG+이/JKS
최종	최종/NNG
타결되는	타결/NNG+되/XSV+는/ETM
시점에	시점/NNG+에/JKB
전	전/MMN
직원에게	직원/NNG+에게/JKB
1인당	1/SN+인/NNG+당/XSN
공정분배금	공정/NNG+분배금/NNG
1000만원,	1000/SN+만/NR+원/NNB+,/SP
특별상여금	특별/NNG+상여금/NNG
600만원	600/SN+만/NR+원/NNB
등	등/NNB
1600만원씩을	1600/SN+만/NR+원/NNB+씩/XSN+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
약속했다"며	약속/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"지난	"/SS+지나/VV+ㄴ/ETM
20일부터	20/SN+일/NNB+부터/JX
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
파업은	파업/NNG+은/JX
22일	22/SN+일/NNB
오후부터	오후/NNG+부터/JX
중단했다"고	중단/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.146.4.1
OB맥주의 전 직원은 1560명이며, 이에 따라 인베브사가 매각과 함께 직원들에게 나눠줄 공정분배금은 모두 250억원 정도가 된다.

OB맥주의	OB맥주/NNP+의/JKG
전	전/MMN
직원은	직원/NNG+은/JX
1560명이며,	1560/SN+명/NNB+이/VCP+며/EC+,/SP
이에	이/NP+에/JKB
따라	따르/VV+아/EC
인베브사가	인베브사/NNP+가/JKS
매각과	매각/NNG+과/JKB
함께	함께/MAG
직원들에게	직원/NNG+들/XSN+에게/JKB
나눠줄	나누/VV+어/EC+주/VX+ㄹ/ETM
공정분배금은	공정/NNG+분배금/NNG+은/JX
모두	모두/MAG
250억원	250/SN+억/NR+원/NNB
정도가	정도/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.146.5.1
OB맥주 노조는 올 2월 16일 시작된 임금교섭에서 ▲임금 15% 인상 ▲매각 관련 고용승계 ▲노동조합 및 단체협약 승계 ▲매각 이익금 일부 재투자 및 위로금 지급 등을 요구하며 사측과 협상을 벌여 왔다.

OB맥주	OB맥주/NNP
노조는	노조/NNG+는/JX
올	올/NNG
2월	2/SN+월/NNB
16일	16/SN+일/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
임금교섭에서	임금/NNG+교섭/NNG+에서/JKB
▲임금	▲/SW+임금/NNG
15%	15/SN+%/SW
인상	인상/NNG
▲매각	▲/SW+매각/NNG
관련	관련/NNG
고용승계	고용/NNG+승계/NNG
▲노동조합	▲/SW+노동조합/NNG
및	및/MAG
단체협약	단체/NNG+협약/NNG
승계	승계/NNG
이익금	이익금/NNG
일부	일부/NNG
재투자	재/XPN+투자/NNG
위로금	위로금/NNG
지급	지급/NNG
등을	등/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
사측과	사측/NNG+과/JKB
협상을	협상/NNG+을/JKO
벌여	벌이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


