# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.55
metadata : {}


# id : NWRW1800000048.55.1.1
‘서민 세금감면’이라더니…수혜자에 고소득층 ‘수두룩’

‘서민	‘/SS+서민/NNG
세금감면’이라더니…수혜자에	세금/NNG+감면/NNG+’/SS+이/VCP+라더니/EC+…/SE+수혜자/NNG+에/JKB
고소득층	고/XPN+소득/NNG+층/XSN
‘수두룩’	‘/SS+수두룩/XR+’/SS


# id : NWRW1800000048.55.2.1
현장에서

현장에서	현장/NNG+에서/JKB


# id : NWRW1800000048.55.3.1
해마다 정부는 세제 개편안을 발표하면서 개편에 따른 소득계층별 세부담 변화에 대한 추정치를 내놓는다.

해마다	해마다/MAG
정부는	정부/NNG+는/JX
세제	세제/NNG
개편안을	개편안/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
개편에	개편/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
소득계층별	소득/NNG+계층/NNG+별/XSN
세부담	세/NNG+부담/NNG
변화에	변화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추정치를	추정/NNG+치/XSN+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000048.55.3.2
소득 양극화가 갈수록 심화되면서 조세를 통한 재분배에 관심이 높아지고 있는 현실을 고려한 조처다.

소득	소득/NNG
양극화가	양극/NNG+화/XSN+가/JKS
갈수록	갈수록/MAG
심화되면서	심화/NNG+되/XSV+면서/EC
조세를	조세/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
재분배에	재/XPN+분배/NNG+에/JKB
관심이	관심/NNG+이/JKS
높아지고	높아지/VV+고/EC
있는	있/VX+는/ETM
현실을	현실/NNG+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
조처다.	조처/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.55.4.1
