# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.403
metadata : {}


# id : NWRW1800000038.403.1.1
朴대통령, FIU법 후퇴해 세금 추가 확보 걱정된다는데… 국세청 "年6조 稅收 예상했지만 절반으로 줄 듯"

朴대통령,	朴/SH+대통령/NNG+,/SP
FIU법	FIU/SL+법/NNG
후퇴해	후퇴/NNG+하/XSV+아/EC
세금	세금/NNG
추가	추가/NNG
확보	확보/NNG
걱정된다는데…	걱정/NNG+되/XSV+ㄴ다는데/EC+…/SE
국세청	국세청/NNG
"年6조	"/SS+年/SH+6/SN+조/NR
稅收	稅收/SH
예상했지만	예상/NNG+하/XSV+았/EP+지만/EC
절반으로	절반/NNG+으로/JKB
줄	줄/VV+ㄹ/ETM
듯"	듯/NNB+"/SS


# id : NWRW1800000038.403.2.1
금융 거래 정보 국세청에 제공, 범위 축소하고 심의 거치게 해… 지하경제 양성화에 차질 예상

금융	금융/NNG
거래	거래/NNG
정보	정보/NNG
국세청에	국세청/NNG+에/JKB
제공,	제공/NNG+,/SP
범위	범위/NNG
축소하고	축소/NNG+하/XSV+고/EC
심의	심의/NNG
거치게	거치/VV+게/EC
해…	하/VX+아/EC+…/SE
지하경제	지하/NNG+경제/NNG
양성화에	양성/NNG+화/XSN+에/JKB
차질	차질/NNG
예상	예상/NNG


# id : NWRW1800000038.403.3.1
박근혜 대통령이 금융정보분석원(FIU)법 개정안이 후퇴하면서 당초 예상보다 세수 확대 효과가 줄어들 것으로 언급한 것에 대해 세무 당국은 같은 우려를 표시하고 있다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
금융정보분석원(FIU)법	금융/NNG+정보/NNG+분석원/NNG+(/SS+FIU/SL+)/SS+법/NNG
개정안이	개정안/NNG+이/JKS
후퇴하면서	후퇴/NNG+하/XSV+면서/EC
당초	당초/NNG
예상보다	예상/NNG+보다/JKB
세수	세수/NNG
확대	확대/NNG
효과가	효과/NNG+가/JKS
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
세무	세무/NNG
당국은	당국/NNG+은/JX
같은	같/VA+은/ETM
우려를	우려/NNG+를/JKO
표시하고	표시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.403.4.1
국세청에 따르면, 원안대로 금융정보분석원 자료를 활용할 경우 연간 6조원 정도의 세수를 추가로 걷을 수 있다고 예상됐지만, 지난달 2일 국회를 통과한 개정안으로는 세수 확대가 당초보다 크게 줄 것으로 전망된다.

국세청에	국세청/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
원안대로	원안/NNG+대로/JX
금융정보분석원	금융/NNG+정보/NNG+분석원/NNG
자료를	자료/NNG+를/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
연간	연간/NNG
6조원	6/SN+조/NR+원/NNB
정도의	정도/NNG+의/JKG
세수를	세수/NNG+를/JKO
추가로	추가/NNG+로/JKB
걷을	걷/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
예상됐지만,	예상/NNG+되/XSV+었/EP+지만/EC+,/SP
지난달	지난달/NNG
2일	2/SN+일/NNB
국회를	국회/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
개정안으로는	개정안/NNG+으로/JKB+는/JX
세수	세수/NNG
확대가	확대/NNG+가/JKS
당초보다	당초/NNG+보다/JKB
크게	크/VA+게/EC
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.403.4.2
금융정보분석원 정보를 제한 없이 이용하게 되면 세무조사에 활용해 4조5000억원을 더 걷고, 세금 체납자의 현금 거래를 확인해 1조5000억원 정도의 체납 세금을 걷을 수 있다고 추산했지만, 세무당국은 세무조사와 체납 분야에서 각각 1조원 이상 줄어들게 된다고 파악하고 있는 것으로 알려졌다.

금융정보분석원	금융/NNG+정보/NNG+분석원/NNG
정보를	정보/NNG+를/JKO
제한	제한/NNG
없이	없이/MAG
이용하게	이용/NNG+하/XSV+게/EC
되면	되/VV+면/EC
세무조사에	세무/NNG+조사/NNG+에/JKB
활용해	활용/NNG+하/XSV+아/EC
4조5000억원을	4/SN+조/NR+5000/SN+억/NR+원/NNB+을/JKO
더	더/MAG
걷고,	걷/VV+고/EC+,/SP
세금	세금/NNG
체납자의	체납자/NNG+의/JKG
