# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.445
metadata : {}


# id : NWRW1800000022.445.1.1
北 경제조치 잇단 실패… 市場이 김정일 이기나;화폐개혁 후퇴 조짐

北	北/SH
경제조치	경제/NNG+조치/NNG
잇단	잇달/VV+ㄴ/ETM
실패…	실패/NNG+…/SE
市場이	市場/SH+이/JKS
김정일	김정일/NNP
이기나;화폐개혁	이기/VV+나/EF+;/SP+화폐/NNG+개혁/NNG
후퇴	후퇴/NNG
조짐	조짐/NNG


# id : NWRW1800000022.445.2.1
북한 정권이 또다시 시장(市場)에 밀리는 듯하다.

북한	북한/NNP
정권이	정권/NNG+이/JKS
또다시	또다시/MAG
시장(市場)에	시장/NNG+(/SS+市場/SH+)/SS+에/JKB
밀리는	밀리/VV+는/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000022.445.3.1
북한이 '시장 세력'(시장 상거래로 부를 축적한 사람들)을 억누르기 위해 전격 단행한 화폐개혁이 후퇴 조짐을 보이고 있다는 소식에 우리 정보 당국자가 한 얘기다.

북한이	북한/NNP+이/JKS
'시장	'/SS+시장/NNG
세력'(시장	세력/NNG+'/SS+(/SS+시장/NNG
상거래로	상거래/NNG+로/JKB
부를	부/NNG+를/JKO
축적한	축적/NNG+하/XSV+ㄴ/ETM
사람들)을	사람/NNG+들/XSN+)/SS+을/JKO
억누르기	억누르/VV+기/ETN
위해	위하/VV+아/EC
전격	전격/NNG
단행한	단행/NNG+하/XSV+ㄴ/ETM
화폐개혁이	화폐/NNG+개혁/NNG+이/JKS
후퇴	후퇴/NNG
조짐을	조짐/NNG+을/JKO
보이고	보이/VV+고/EC
있다는	있/VX+다는/ETM
소식에	소식/NNG+에/JKB
우리	우리/NP
정보	정보/NNG
당국자가	당국자/NNG+가/JKS
한	하/VV+ㄴ/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.445.3.2
정보 관계자들은 북한 내부에서 전해오는 이 같은 첩보들이 신빙성이 있어 보인다는 1차 평가를 하고 있는 상태다.

정보	정보/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
북한	북한/NNP
내부에서	내부/NNG+에서/JKB
전해오는	전하/VV+아/EC+오/VX+는/ETM
이	이/NP
같은	같/VA+은/ETM
첩보들이	첩보/NNG+들/XSN+이/JKS
신빙성이	신빙/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
보인다는	보이/VV+ㄴ다는/ETM
1차	1/SN+차/NNB
평가를	평가/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.445.4.1
실제 북한은 2000년대 들어 숱한 시장 통제 조치를 내놓았지만 번번이 실패로 끝났다.

실제	실제/MAG
북한은	북한/NNP+은/JX
2000년대	2000/SN+년대/NNB
들어	들/VV+어/EC
숱한	숱하/VA+ㄴ/ETM
시장	시장/NNG
통제	통제/NNG
조치를	조치/NNG+를/JKO
내놓았지만	내놓/VV+았/EP+지만/EC
번번이	번번이/MAG
실패로	실패/NNG+로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.445.4.2
