# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.262
metadata : {}


# id : NWRW1800000037.262.1.1
[지금 SNS에서는]같은 ‘곰신’인데… 김태희와 나는 천지차이

[지금	[/SS+지금/MAG
SNS에서는]같은	SNS/SL+에서/JKB+는/JX+]/SS+같/VA+은/ETM
‘곰신’인데…	‘/SS+곰신/NNG+’/SS+이/VCP+ㄴ데/EF+…/SE
김태희와	김태희/NNP+와/JC
나는	나/NP+는/JX
천지차이	천지/NNG+차이/NNG


# id : NWRW1800000037.262.2.1
요즘 SNS를 달군 가장 뜨거운 이슈는 가수 ‘비’, 정지훈 상병의 과도한 휴가 문제였다.

요즘	요즘/NNG
SNS를	SNS/SL+를/JKO
달군	달구/VV+ㄴ/ETM
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
이슈는	이슈/NNG+는/JX
가수	가수/NNG
‘비’,	‘/SS+비/NNP+’/SS+,/SP
정지훈	정지훈/NNP
상병의	상병/NNG+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
휴가	휴가/NNG
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.262.2.2
이슈에 대해 보통 찬반이 갈리지만 이번 사안에 대한 누리꾼들의 반응은 대부분이 ‘분노’였다.

이슈에	이슈/NNG+에/JKB
대해	대하/VV+아/EC
보통	보통/MAG
찬반이	찬반/NNG+이/JKS
갈리지만	갈리/VV+지만/EC
이번	이번/NNG
사안에	사안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
누리꾼들의	누리/NNG+꾼/XSN+들/XSN+의/JKG
반응은	반응/NNG+은/JX
대부분이	대/XPN+부분/NNG+이/JKS
‘분노’였다.	‘/SS+분노/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.262.2.3
특히 평범한 군 생활을 한 예비역들의 분노는 말 그대로 하늘을 찔렀다.

특히	특히/MAG
평범한	평범하/VA+ㄴ/ETM
군	군/NNG
생활을	생활/NNG+을/JKO
한	하/VV+ㄴ/ETM
예비역들의	예비역/NNG+들/XSN+의/JKG
분노는	분노/NNG+는/JX
말	말/NNG
그대로	그대로/MAG
하늘을	하늘/NNG+을/JKO
찔렀다.	찌르/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.262.3.1
“당직 서고 다음 날 아침에 교대했는데 작업 끌려간 나는 뭐꼬?”

“당직	“/SS+당직/NNG
서고	서/VV+고/EC
다음	다음/NNG
날	날/NNG
아침에	아침/NNG+에/JKB
교대했는데	교대/NNG+하/XSV+았/EP+는데/EC
작업	작업/NNG
끌려간	끌려가/VV+ㄴ/ETM
나는	나/NP+는/JX
뭐꼬?”	뭐/NP+이/VCP+꼬/EF+?/SF+”/SS


# id : NWRW1800000037.262.3.2
“이등병 때부터 상황근무(밤샘)만 80번을 했는데 겨우 포상휴가 한 번 받았다” “연예인들이 군인들의 사기를 올린다고 하는데 군인들 사기는 걸그룹이 올린다.

“이등병	“/SS+이등병/NNG
때부터	때/NNG+부터/JX
상황근무(밤샘)만	상황/NNG+근무/NNG+(/SS+밤샘/NNG+)/SS+만/JX
80번을	80/SN+번/NNB+을/JKO
했는데	하/VV+았/EP+는데/EC
겨우	겨우/MAG
포상휴가	포상/NNG+휴가/NNG
한	한/MMN
번	번/NNB
받았다”	받/VV+았/EP+다/EF+”/SS
“연예인들이	“/SS+연예인/NNG+들/XSN+이/JKS
군인들의	군인/NNG+들/XSN+의/JKG
사기를	사기/NNG+를/JKO
올린다고	올리/VV+ㄴ다고/EC
하는데	하/VV+는데/EC
군인들	군인/NNG+들/XSN
사기는	사기/NNG+는/JX
걸그룹이	걸그룹/NNG+이/JKS
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.262.3.3
남자 연예인보고 열광하는 병사가 어디 있느냐”라는 댓글에서부터 “연예병사가 아닌 연애병사”, “(비가) 공연 중에 간첩이라도 잡은 모양” 등 촌철살인(寸鐵殺人) 트위터도 줄을 이었다.

남자	남자/NNG
연예인보고	연예인/NNG+보고/JKB
열광하는	열광/NNG+하/XSV+는/ETM
병사가	병사/NNG+가/JKS
어디	어디/NP
있느냐”라는	있/VA+느냐/EF+”/SS+이/VCP+라는/ETM
댓글에서부터	댓글/NNG+에서부터/JKB
“연예병사가	“/SS+연예/NNG+병사/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
연애병사”,	연애/NNG+병사/NNG+”/SS+,/SP
“(비가)	“/SS+(/SS+비/NNP+가/JKS+)/SS
공연	공연/NNG
중에	중/NNB+에/JKB
간첩이라도	간첩/NNG+이/VCP+라도/EC
잡은	잡/VV+은/ETM
모양”	모양/NNB+”/SS
등	등/NNB
촌철살인(寸鐵殺人)	촌철살인/NNG+(/SS+寸鐵殺人/SH+)/SS
트위터도	트위터/NNP+도/JX
줄을	줄/NNG+을/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.262.4.1
