# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.355
metadata : {}


# id : NWRW1800000041.355.1.1
美 국가정보국 간부… 10월 셋째주에 비공개 방한

美	美/SH
국가정보국	국가/NNG+정보국/NNG
간부…	간부/NNG+…/SE
10월	10/SN+월/NNB
셋째주에	셋째/NR+주/NNG+에/JKB
비공개	비/XPN+공개/NNG
방한	방한/NNG


# id : NWRW1800000041.355.2.1
[南-北-美 경색 기류 바뀌나]靑-안보라인 만나 北동향 논의

[南-北-美	[/SS+南/SH+-/SO+北/SH+-/SO+美/SH
경색	경색/NNG
기류	기류/NNG
바뀌나]靑-안보라인	바뀌/VV+나/EF+]/SS+靑/SH+-/SO+안보/NNG+라인/NNG
만나	만나/VV+아/EC
北동향	北/SH+동향/NNG
논의	논의/NNG


# id : NWRW1800000041.355.3.1
미국 국가정보국(DNI) 인사가 지난 주말 비공개로 방한해 청와대 등 외교안보 라인 관계자들과 만나 안보 현안에 대해 집중 협의한 것으로 22일 알려졌다.

미국	미국/NNP
국가정보국(DNI)	국가/NNG+정보국/NNG+(/SS+DNI/SL+)/SS
인사가	인사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
비공개로	비/XPN+공개/NNG+로/JKB
방한해	방한/NNG+하/XSV+아/EC
청와대	청와대/NNP
등	등/NNB
외교안보	외교/NNG+안보/NNG
라인	라인/NNG
관계자들과	관계자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
안보	안보/NNG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
집중	집중/NNG
협의한	협의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
22일	22/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.355.4.1
외교 소식통에 따르면 국가정보국의 부소장급인 이 인사는 나흘 일정으로 한국을 찾아 청와대 관계자 등을 만난 뒤 미국으로 돌아갔다.

외교	외교/NNG
소식통에	소식통/NNG+에/JKB
따르면	따르/VV+면/EC
국가정보국의	국가/NNG+정보국/NNG+의/JKG
부소장급인	부소장/NNG+급/NNG+이/VCP+ㄴ/ETM
이	이/MMD
인사는	인사/NNG+는/JX
나흘	나흘/NNG
일정으로	일정/NNG+으로/JKB
한국을	한국/NNP+을/JKO
찾아	찾/VV+아/EC
청와대	청와대/NNP
관계자	관계자/NNG
등을	등/NNB+을/JKO
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
미국으로	미국/NNP+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.355.4.2
이 인사는 오산 미 공군기지를 찾아 북한 동향도 청취한 것으로 알려졌다.

이	이/MMD
인사는	인사/NNG+는/JX
오산	오산/NNP
미	미/NNP
공군기지를	공군/NNG+기지/NNG+를/JKO
찾아	찾/VV+아/EC
북한	북한/NNP
동향도	동향/NNG+도/JX
청취한	청취/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.355.5.1
이 인사가 방문한 시점은 북한의 서해 북방한계선(NLL) 침범에 따른 교전(7일), 대북 전단(삐라)에 대한 고사총 발사(10일), 군사분계선(MLD) 교전(19일) 등 도발이 이어지고 있던 때였다.

이	이/MMD
인사가	인사/NNG+가/JKS
방문한	방문/NNG+하/XSV+ㄴ/ETM
시점은	시점/NNG+은/JX
북한의	북한/NNP+의/JKG
서해	서해/NNP
북방한계선(NLL)	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
침범에	침범/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
교전(7일),	교전/NNG+(/SS+7/SN+일/NNB+)/SS+,/SP
대북	대북/NNG
전단(삐라)에	전단/NNG+(/SS+삐라/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
고사총	고사총/NNG
발사(10일),	발사/NNG+(/SS+10/SN+일/NNB+)/SS+,/SP
군사분계선(MLD)	군사/NNG+분계선/NNG+(/SS+MLD/SL+)/SS
교전(19일)	교전/NNG+(/SS+19/SN+일/NNB+)/SS
등	등/NNB
도발이	도발/NNG+이/JKS
이어지고	이어지/VV+고/EC
있던	있/VX+던/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.355.5.2
15일에는 남북 군사 당국자 간 회담이 열렸다.

15일에는	15/SN+일/NNB+에/JKB+는/JX
남북	남북/NNP
군사	군사/NNG
당국자	당국자/NNG
간	간/NNB
회담이	회담/NNG+이/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.355.6.1
