# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.385
metadata : {}


# id : NWRW1800000048.385.1.1
[유레카] 국가 기밀 / 정남구

[유레카]	[/SS+유레카/NNG+]/SS
국가	국가/NNG
기밀	기밀/NNG
/	//SP
정남구	정남구/NNP


# id : NWRW1800000048.385.2.1
헬무트 콜 전 독일 총리는 190㎝가 넘는 키에 살이 많이 쪄서, 빌 클린턴 전 미국 대통령한테 “스모 선수 같다”는 농담을 들을 정도였다.

헬무트	헬무트/NNP
콜	콜/NNP
전	전/MMD
독일	독일/NNP
총리는	총리/NNG+는/JX
190㎝가	190/SN+㎝/SW+가/JKS
넘는	넘/VV+는/ETM
키에	키/NNG+에/JKB
살이	살/NNG+이/JKS
많이	많이/MAG
쪄서,	찌/VV+어서/EC+,/SP
빌	빌/NNP
클린턴	클린턴/NNP
미국	미국/NNP
대통령한테	대통령/NNG+한테/JKB
“스모	“/SS+스모/NNG
선수	선수/NNG
같다”는	같/VA+다/EF+”/SS+는/ETM
농담을	농담/NNG+을/JKO
들을	듣/VV+을/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.385.2.2
그가 얼마나 무거웠는지, 1995년 중국 방문 때는 공장을 시찰하던 중 타고 있던 엘리베이터가 멈춰선 일도 있다.

그가	그/NP+가/JKS
얼마나	얼마나/MAG
무거웠는지,	무겁/VA+었/EP+는지/EC+,/SP
1995년	1995/SN+년/NNB
중국	중국/NNP
방문	방문/NNG
때는	때/NNG+는/JX
공장을	공장/NNG+을/JKO
시찰하던	시찰/NNG+하/XSV+던/ETM
중	중/NNB
타고	타/VV+고/EC
있던	있/VX+던/ETM
엘리베이터가	엘리베이터/NNG+가/JKS
멈춰선	멈추/VV+어/EC+서/VV+ㄴ/ETM
일도	일/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.385.2.3
1998년 <슈테른>은 “체중 160㎏인 콜 총리의 구두끈이 공식석상에서 풀어질 경우 어떻게 될 것인가, 다시 매려고 할 경우 생체역학적인 문제가 발생할 것”이라고 보도하기도 했다.

1998년	1998/SN+년/NNB
<슈테른>은	</SS+슈테른/NNP+>/SS+은/JX
“체중	“/SS+체중/NNG
160㎏인	160/SN+㎏/SW+이/VCP+ㄴ/ETM
콜	콜/NNP
총리의	총리/NNG+의/JKG
구두끈이	구두끈/NNG+이/JKS
공식석상에서	공식/NNG+석상/NNG+에서/JKB
풀어질	풀어지/VV+ㄹ/ETM
경우	경우/NNG
어떻게	어떻/VA+게/EC
될	되/VV+ㄹ/ETM
것인가,	것/NNB+이/VCP+ㄴ가/EF+,/SP
다시	다시/MAG
매려고	매/VV+려고/EC
할	하/VX+ㄹ/ETM
생체역학적인	생체/NNG+역학/NNG+적/XSN+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
