# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.137
metadata : {}


# id : NWRW1800000024.137.1.1
“사이 안좋을수록 만나야” /DJ, 남북 정상회담 권유

“사이	“/SS+사이/NNG
안좋을수록	안/MAG+좋/VA+을수록/EC
만나야”	만나/VV+아야/EC+”/SS
/DJ,	//SP+DJ/SL+,/SP
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
권유	권유/NNG


# id : NWRW1800000024.137.2.1
김대중 전 대통령은 22일 일본 <아사히신문>과의 인터뷰에서 “(이명박 대통령이) 김정일 국방위원장과 만나면 좋겠다.

김대중	김대중/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
22일	22/SN+일/NNB
일본	일본/NNP
<아사히신문>과의	</SS+아사히신문/NNP+>/SS+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“(이명박	“/SS+(/SS+이명박/NNP
대통령이)	대통령/NNG+이/JKS+)/SS
김정일	김정일/NNP
국방위원장과	국방/NNG+위원장/NNG+과/JKB
만나면	만나/VV+면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000024.137.2.2
사이가 좋지 않은 상대일수록 만나야 한다”며 남북 정상회담을 권유했다.

사이가	사이/NNG+가/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
상대일수록	상대/NNG+이/VCP+ㄹ수록/EC
만나야	만나/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
남북	남북/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
권유했다.	권유/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.137.3.1
김 전 대통령은 금강산 관광 중단, 개성공단 사업 차질 등 남북관계가 교착상태에 빠진 데 대해 “근본적으론 이명박 정권의 강경 자세에 대한 북한의 불만이 있지만, 이 대통령의 발언에도 변화가 보이고 있다”며 “오바마 정권이 북한과 대화하고 6자회담이 재개되면 이번 미사일 발사가 오히려 전환점이 될 수 있다”고 말했다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
금강산	금강산/NNP
관광	관광/NNG
중단,	중단/NNG+,/SP
개성공단	개성공단/NNP
사업	사업/NNG
차질	차질/NNG
등	등/NNB
남북관계가	남북/NNP+관계/NNG+가/JKS
교착상태에	교착/NNG+상태/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
“근본적으론	“/SS+근본/NNG+적/XSN+으로/JKB+ㄴ/JX
이명박	이명박/NNP
정권의	정권/NNG+의/JKG
강경	강경/NNG
자세에	자세/NNG+에/JKB
