# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.167
metadata : {}


# id : NWRW1800000026.167.1.1
[6·2 지방선거] 與 텃밭 경남, 예상 밖 접전;김두관 '두각', 한나라 '두통'

[6·2	[/SS+6/SN+·/SP+2/SN
지방선거]	지방/NNG+선거/NNG+]/SS
與	與/SH
텃밭	텃밭/NNG
경남,	경남/NNP+,/SP
예상	예상/NNG
밖	밖/NNG
접전;김두관	접전/NNG+;/SP+김두관/NNP
'두각',	'/SS+두각/NNG+'/SS+,/SP
한나라	한나라/NNP
'두통'	'/SS+두통/NNG+'/SS


# id : NWRW1800000026.167.2.1
김두관이 말은 잘 하대.

김두관이	김두관/NNP+이/JKS
말은	말/NNG+은/JX
잘	잘/MAG
하대.	하/VV+대/EF+./SF


# id : NWRW1800000026.167.2.2
한나라당 후보?

한나라당	한나라당/NNP
후보?	후보/NNG+?/SF


# id : NWRW1800000026.167.2.3
이 뭐라 카던데….

이	이/NNP
뭐라	뭐/NP+이/VCP+라/EC
카던데….	카/VV+던데/EC+…/SE+./SF


# id : NWRW1800000026.167.3.1
18일 경남 밀양역 앞 백반집에서 우동 한 그릇을 놓고 술잔을 기울이던 50대 남성 3명은 6·2 지방선거 경남지사 후보로 나온 한나라당 이달곤 전 행정안전부 장관의 이름을 몰랐다.

18일	18/SN+일/NNB
경남	경남/NNP
밀양역	밀양역/NNP
앞	앞/NNG
백반집에서	백반집/NNG+에서/JKB
우동	우동/NNG
한	한/MMN
그릇을	그릇/NNG+을/JKO
놓고	놓/VV+고/EC
술잔을	술잔/NNG+을/JKO
기울이던	기울이/VV+던/ETM
50대	50/SN+대/NNB
남성	남성/NNG
3명은	3/SN+명/NNB+은/JX
6·2	6/SN+·/SP+2/SN
지방선거	지방/NNG+선거/NNG
경남지사	경남/NNP+지사/NNG
후보로	후보/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
한나라당	한나라당/NNP
이달곤	이달곤/NNP
전	전/MMD
행정안전부	행정/NNG+안전부/NNG
장관의	장관/NNG+의/JKG
이름을	이름/NNG+을/JKO
몰랐다.	모르/VV+았/EP+다/EF+./SF


