# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.290
metadata : {}


# id : NWRW1800000049.290.1.1
[허문명의 프리킥]2017년 대선의 ‘핵심 변수’ 김정은

[허문명의	[/SS+허문명/NNP+의/JKG
프리킥]2017년	프리킥/NNG+]/SS+2017/SN+년/NNB
대선의	대선/NNG+의/JKG
‘핵심	‘/SS+핵심/NNG
변수’	변수/NNG+’/SS
김정은	김정은/NNP


# id : NWRW1800000049.290.2.1
한반도는 역사상 대륙세력과 해양세력의 팽창 관문이자 쟁탈의 요지(要地)였다.

한반도는	한반도/NNP+는/JX
역사상	역사/NNG+상/XSN
대륙세력과	대륙/NNG+세력/NNG+과/JC
해양세력의	해양/NNG+세력/NNG+의/JKG
팽창	팽창/NNG
관문이자	관문/NNG+이/VCP+자/EC
쟁탈의	쟁탈/NNG+의/JKG
요지(要地)였다.	요지/NNG+(/SS+要地/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.290.2.2
고대는 물론 근현대를 거치는 동안 미국 중국 일본 소련 등 강대국이 각축하면서 전란(戰亂)이 몰아쳤고 갈등과 대립이 격화됐다.

고대는	고대/NNG+는/JX
물론	물론/MAG
근현대를	근현대/NNG+를/JKO
거치는	거치/VV+는/ETM
동안	동안/NNG
미국	미국/NNP
중국	중국/NNP
일본	일본/NNP
소련	소련/NNP
등	등/NNB
강대국이	강대국/NNG+이/JKS
각축하면서	각축/NNG+하/XSV+면서/EC
전란(戰亂)이	전란/NNG+(/SS+戰亂/SH+)/SS+이/JKS
몰아쳤고	몰아치/VV+었/EP+고/EC
갈등과	갈등/NNG+과/JC
대립이	대립/NNG+이/JKS
격화됐다.	격화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.290.2.3
지금도 한미일이 북중러와 대결하는 신냉전 전선이 형성돼 있다.

지금도	지금/NNG+도/JX
한미일이	한미일/NNP+이/JKS
북중러와	북중/NNP+러/NNP+와/JKB
대결하는	대결/NNG+하/XSV+는/ETM
신냉전	신/XPN+냉전/NNG
전선이	전선/NNG+이/JKS
형성돼	형성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.290.2.4
여기에 북이 ‘절대무기’인 핵무기의 실전 배치를 완성해 가면서 동북아시아에 전운이 감돌고 있다.

여기에	여기/NP+에/JKB
북이	북/NNP+이/JKS
