# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.185
metadata : {}


# id : NWRW1800000022.185.1.1
[모두가 피곤한 '고비용' 결혼식] (9) 허례없는 홍콩;'부자나라 홍콩' 커플 두쌍중 한쌍 17만원짜리 '정부 예식장'서 결혼

[모두가	[/SS+모두/NNG+가/JKS
피곤한	피곤/NNG+하/XSA+ㄴ/ETM
'고비용'	'/SS+고/XPN+비용/NNG+'/SS
결혼식]	결혼식/NNG+]/SS
(9)	(/SS+9/SN+)/SS
허례없는	허례/NNG+없/VA+는/ETM
홍콩;'부자나라	홍콩/NNP+;/SP+'/SS+부자/NNG+나라/NNG
홍콩'	홍콩/NNP+'/SS
커플	커플/NNG
두쌍중	두/MMN+쌍/NNG+중/NNB
한쌍	한/MMN+쌍/NNG
17만원짜리	17/SN+만/NR+원/NNB+짜리/XSN
'정부	'/SS+정부/NNG
예식장'서	예식장/NNG+'/SS+서/JKB
결혼	결혼/NNG


# id : NWRW1800000022.185.2.1
지난 15일 홍콩의 유명 관광지인 '스타의 거리' 입구에 있는 홍콩 문화센터 지하 1층의 '침사추이 결혼 등록소' 부설 예식장.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
홍콩의	홍콩/NNP+의/JKG
유명	유명/NNG
관광지인	관광지/NNG+이/VCP+ㄴ/ETM
'스타의	'/SS+스타/NNG+의/JKG
거리'	거리/NNG+'/SS
입구에	입구/NNG+에/JKB
있는	있/VA+는/ETM
홍콩	홍콩/NNP
문화센터	문화/NNG+센터/NNG
지하	지하/NNG
1층의	1/SN+층/NNG+의/JKG
'침사추이	'/SS+침사추이/NNP
결혼	결혼/NNG
등록소'	등록소/NNG+'/SS
부설	부설/NNG
예식장.	예식장/NNG+./SF


# id : NWRW1800000022.185.2.2
약 66㎡(20평)의 예식장에 하객은 43명뿐이었다.

약	약/MMA
66㎡(20평)의	66/SN+㎡/SW+(/SS+20/SN+평/NNB+)/SS+의/JKG
예식장에	예식장/NNG+에/JKB
하객은	하객/NNG+은/JX
43명뿐이었다.	43/SN+명/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.185.2.3
의자가 40개인 까닭에 3명은 뒤쪽에 섰다.

의자가	의자/NNG+가/JKS
40개인	40/SN+개/NNB+이/VCP+ㄴ/ETM
까닭에	까닭/NNG+에/JKB
3명은	3/SN+명/NNB+은/JX
뒤쪽에	뒤쪽/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.3.1
낮 12시15분이 되자 '결혼 등록관' 찬윙청(Chan Wing Cheong)씨가 "신랑 신부 입장"을 선언했다.

낮	낮/NNG
12시15분이	12/SN+시/NNB+15/SN+분/NNB+이/JKC
되자	되/VV+자/EC
'결혼	'/SS+결혼/NNG
등록관'	등록관/NNG+'/SS
찬윙청(Chan	찬윙청/NNP+(/SS+Chan/SL
Wing	Wing/SL
Cheong)씨가	Cheong/SL+)/SS+씨/NNB+가/JKS
"신랑	"/SS+신랑/NNG
신부	신부/NNG
입장"을	입장/NNG+"/SS+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.185.3.2
10평 남짓한 신부 대기실에서 기다리던 신랑 라이츠위안(29·회사원)씨와 신부 룽만츠(30·교사)씨가 손을 흔들며 들어와 찬 등록관의 오른편에 앉았다.

10평	10/SN+평/NNB
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
신부	신부/NNG
대기실에서	대기실/NNG+에서/JKB
기다리던	기다리/VV+던/ETM
신랑	신랑/NNG
라이츠위안(29·회사원)씨와	라이츠위안/NNP+(/SS+29/SN+·/SP+회사원/NNG+)/SS+씨/NNB+와/JC
룽만츠(30·교사)씨가	룽만츠/NNP+(/SS+30/SN+·/SP+교사/NNG+)/SS+씨/NNB+가/JKS
손을	손/NNG+을/JKO
흔들며	흔들/VV+며/EC
들어와	들어오/VV+아/EC
찬	찬/NNP
등록관의	등록관/NNG+의/JKG
오른편에	오른편/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.185.4.1
주례이자 등록관인 찬씨가 두 사람의 신분과 사랑을 확인하고 반지를 교환하자, 양쪽에 각 1장씩 '결혼증서(Certificate of Marriage)' 양식이 든 붉은 케이스를 펼쳐 신부 룽씨에게 건넸다.

주례이자	주례/NNG+이/VCP+자/EC
등록관인	등록관/NNG+이/VCP+ㄴ/ETM
찬씨가	찬/NNP+씨/NNB+가/JKS
두	두/MMN
사람의	사람/NNG+의/JKG
신분과	신분/NNG+과/JKB
사랑을	사랑/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
반지를	반지/NNG+를/JKO
교환하자,	교환/NNG+하/XSV+자/EC+,/SP
양쪽에	양쪽/NNG+에/JKB
각	각/MMD
1장씩	1/SN+장/NNB+씩/XSN
'결혼증서(Certificate	'/SS+결혼/NNG+증서/NNG+(/SS+Certificate/SL
of	of/SL
Marriage)'	Marriage/SL+)/SS+'/SS
양식이	양식/NNG+이/JKS
든	들/VV+ㄴ/ETM
붉은	붉/VA+은/ETM
케이스를	케이스/NNG+를/JKO
펼쳐	펼치/VV+어/EC
신부	신부/NNG
룽씨에게	룽/NNP+씨/NNB+에게/JKB
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.4.2
신부가 양쪽 증서에 자신의 한자 이름을 썼다.

신부가	신부/NNG+가/JKS
양쪽	양쪽/NNG
증서에	증서/NNG+에/JKB
자신의	자신/NNG+의/JKG
한자	한자/NNG
이름을	이름/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.5.1
이어 신랑과 양가 어머니가 자신들의 이름을 두번씩 썼다.

이어	이어/MAG
신랑과	신랑/NNG+과/JC
양가	양가/NNG
어머니가	어머니/NNG+가/JKS
자신들의	자신/NNG+들/XSN+의/JKG
이름을	이름/NNG+을/JKO
두번씩	두/MMN+번/NNB+씩/XSN
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.5.2
등록관은 결혼 증서 2장을 케이스에서 꺼내 자신의 이름을 새겨 넣은 뒤 테이블 바로 뒤에 있는 기계를 돌려 '공증된 서류'라는 날인을 찍었다.

등록관은	등록관/NNG+은/JX
결혼	결혼/NNG
증서	증서/NNG
2장을	2/SN+장/NNB+을/JKO
케이스에서	케이스/NNG+에서/JKB
꺼내	꺼내/VV+어/EC
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
새겨	새기/VV+어/EC
넣은	넣/VV+은/ETM
뒤	뒤/NNG
테이블	테이블/NNG
바로	바로/MAG
뒤에	뒤/NNG+에/JKB
있는	있/VA+는/ETM
기계를	기계/NNG+를/JKO
돌려	돌리/VV+어/EC
'공증된	'/SS+공증/NNG+되/XSV+ㄴ/ETM
서류'라는	서류/NNG+'/SS+이/VCP+라는/ETM
날인을	날인/NNG+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.5.3
날인된 결혼증서를 건네받은 신랑과 신부는 43명의 하객에게 흔들어 보였다.

날인된	날인/NNG+되/XSV+ㄴ/ETM
결혼증서를	결혼/NNG+증서/NNG+를/JKO
건네받은	건네받/VV+은/ETM
신랑과	신랑/NNG+과/JC
신부는	신부/NNG+는/JX
43명의	43/SN+명/NNB+의/JKG
하객에게	하객/NNG+에게/JKB
흔들어	흔들/VV+어/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.5.4
환성과 박수, 카메라 플래시가 터졌다.

환성과	환성/NNG+과/JC
박수,	박수/NNG+,/SP
카메라	카메라/NNG
플래시가	플래시/NNG+가/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.5.5
결혼식은 약 20분 만에 끝났다.

결혼식은	결혼식/NNG+은/JX
약	약/MMA
20분	20/SN+분/NNB
만에	만/NNB+에/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.185.6.1
◆결혼식은 검소하게 피로연은 성대하게

◆결혼식은	◆/SW+결혼식/NNG+은/JX
검소하게	검소/NNG+하/XSA+게/EC
피로연은	피로연/NNG+은/JX
성대하게	성대하/VA+게/EC


# id : NWRW1800000022.185.7.1
침사추이 결혼 등록소에는 이곳 지하 1층과 3층의 예식장 등 2곳이 있다.

침사추이	침사추이/NNP
결혼	결혼/NNG
등록소에는	등록소/NNG+에/JKB+는/JX
이곳	이곳/NP
지하	지하/NNG
1층과	1/SN+층/NNG+과/JC
3층의	3/SN+층/NNG+의/JKG
예식장	예식장/NNG
등	등/NNB
2곳이	2/SN+곳/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.185.7.2
3층은 더 좁아 좌석이 20개밖에 안 된다.

3층은	3/SN+층/NNG+은/JX
더	더/MAG
좁아	좁/VA+아/EC
좌석이	좌석/NNG+이/JKS
20개밖에	20/SN+개/NNB+밖에/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.185.7.3
홍콩 전체에는 5개의 결혼 등록소가 있고, 여기에 딸린 예식장은 합해서 10여개가 있다.

홍콩	홍콩/NNP
전체에는	전체/NNG+에/JKB+는/JX
5개의	5/SN+개/NNB+의/JKG
결혼	결혼/NNG
등록소가	등록소/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
여기에	여기/NP+에/JKB
딸린	딸리/VV+ㄴ/ETM
예식장은	예식장/NNG+은/JX
합해서	합/NNG+하/XSV+아서/EC
10여개가	10/SN+여/XSN+개/NNB+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.185.7.4
매일 오전 9시30분~오후 4시30분까지 30분 간격으로 결혼식이 열리고 금·토요일에는 빈 시간이 거의 없다.

매일	매일/MAG
오전	오전/NNG
9시30분~오후	9/SN+시/NNB+30/SN+분/NNB+~/SO+오후/NNG
4시30분까지	4/SN+시/NNB+30/SN+분/NNB+까지/JX
30분	30/SN+분/NNB
간격으로	간격/NNG+으로/JKB
결혼식이	결혼식/NNG+이/JKS
열리고	열리/VV+고/EC
금·토요일에는	금/NNG+·/SP+토요일/NNG+에/JKB+는/JX
빈	비/VV+ㄴ/ETM
시간이	시간/NNG+이/JKS
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.185.8.1
이날 라이·룽 부부가 결혼식 직전에 등록소에 낸 비용은 등록비 305홍콩달러, 예식장 사용료 715홍콩달러를 합해 1020홍콩달러(약 17만원)였다.

이날	이날/NNG
라이·룽	라이/NNP+·/SP+룽/NNP
부부가	부부/NNG+가/JKS
결혼식	결혼식/NNG
직전에	직전/NNG+에/JKB
등록소에	등록소/NNG+에/JKB
낸	내/VV+ㄴ/ETM
비용은	비용/NNG+은/JX
등록비	등록비/NNG
305홍콩달러,	305/SN+홍콩/NNP+달러/NNG+,/SP
예식장	예식장/NNG
사용료	사용료/NNG
715홍콩달러를	715/SN+홍콩/NNP+달러/NNG+를/JKO
합해	합/NNG+하/XSV+아/EC
1020홍콩달러(약	1020/SN+홍콩/NNP+달러/NNG+(/SS+약/MMA
17만원)였다.	17/SN+만/NR+원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.185.8.2
토·일요일에는 사용료가 평일보다 비싸 2240홍콩달러(약 37만원)다.

토·일요일에는	토/NNG+·/SP+일요일/NNG+에/JKB+는/JX
사용료가	사용료/NNG+가/JKS
