# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.368
metadata : {}


# id : NWRW1800000036.368.1.1
‘문화유산 보호’ 매개로…정부, 북에 대화 제안

‘문화유산	‘/SS+문화유산/NNG
보호’	보호/NNG+’/SS
매개로…정부,	매개/NNG+로/JKB+…/SE+정부/NNG+,/SP
북에	북/NNP+에/JKB
대화	대화/NNG
제안	제안/NNG


# id : NWRW1800000036.368.2.1
[한겨레] “고구려 고분 방제 협의하자”

[한겨레]	[/SS+한겨레/NNP+]/SS
“고구려	“/SS+고구려/NNP
고분	고분/NNG
방제	방제/NNG
협의하자”	협의/NNG+하/XSV+자/EF+”/SS


# id : NWRW1800000036.368.3.1
정부가 유네스코 세계문화유산인 고구려 고분군 일대의 산림 병충해 방제를 위한 정부간 실무접촉을 북한에 제안했다.

정부가	정부/NNG+가/JKS
유네스코	유네스코/NNP
세계문화유산인	세계/NNG+문화유산/NNG+이/VCP+ㄴ/ETM
고구려	고구려/NNP
고분군	고분군/NNP
일대의	일대/NNG+의/JKG
산림	산림/NNG
병충해	병충해/NNG
방제를	방제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
정부간	정부/NNG+간/NNB
실무접촉을	실무/NNG+접촉/NNG+을/JKO
북한에	북한/NNP+에/JKB
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.368.3.2
이는 형식적으로 문화유산 보호를 위한 제안이지만, 실질적으로는 남북 정부간 공식 대화 재개를 위한 제안이다.

이는	이/NP+는/JX
형식적으로	형식/NNG+적/XSN+으로/JKB
문화유산	문화유산/NNG
보호를	보호/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
제안이지만,	제안/NNG+이/VCP+지만/EC+,/SP
실질적으로는	실질/NNG+적/XSN+으로/JKB+는/JX
남북	남북/NNP
정부간	정부/NNG+간/NNB
공식	공식/NNG
대화	대화/NNG
재개를	재개/NNG+를/JKO
제안이다.	제안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.368.4.1
통일부는 “지난 7일 산림청 명의로 판문점의 남북연락사무소를 통해 북한의 국토환경보호성에 고구려 고분군 병충해 방제 지원 문제를 협의할 실무접촉을 제안하는 통지문을 보내겠다는 뜻을 전달했다”고 8일 밝혔다.

통일부는	통일부/NNG+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
산림청	산림청/NNG
명의로	명의/NNG+로/JKB
판문점의	판문점/NNP+의/JKG
남북연락사무소를	남북/NNP+연락/NNG+사무소/NNG+를/JKO
통해	통하/VV+아/EC
북한의	북한/NNP+의/JKG
국토환경보호성에	국토/NNG+환경/NNG+보호성/NNG+에/JKB
고구려	고구려/NNP
고분군	고분군/NNP
병충해	병충해/NNG
방제	방제/NNG
지원	지원/NNG
문제를	문제/NNG+를/JKO
협의할	협의/NNG+하/XSV+ㄹ/ETM
실무접촉을	실무/NNG+접촉/NNG+을/JKO
제안하는	제안/NNG+하/XSV+는/ETM
통지문을	통지문/NNG+을/JKO
보내겠다는	보내/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
전달했다”고	전달/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.368.4.2
통일부는 “북한은 지난해 초부터 우리 시민단체에 고구려 고분군 일대의 산림 병충해를 막기 위한 방제 약품을 지원해달라고 요청해왔다”며 “고분군의 규모나 비용, 전문성 등을 고려할 때 시민단체가 감당하기 어렵다고 보고 정부가 나선 것”이라고 밝혔다.

통일부는	통일부/NNG+는/JX
“북한은	“/SS+북한/NNP+은/JX
지난해	지난해/NNG
초부터	초/NNB+부터/JX
우리	우리/NP
시민단체에	시민/NNG+단체/NNG+에/JKB
고구려	고구려/NNP
고분군	고분군/NNP
일대의	일대/NNG+의/JKG
산림	산림/NNG
병충해를	병충해/NNG+를/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방제	방제/NNG
약품을	약품/NNG+을/JKO
지원해달라고	지원/NNG+하/XSV+아/EC+달/VX+라고/EC
요청해왔다”며	요청/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“고분군의	“/SS+고분군/NNP+의/JKG
규모나	규모/NNG+나/JC
비용,	비용/NNG+,/SP
전문성	전문/NNG+성/XSN
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
시민단체가	시민/NNG+단체/NNG+가/JKS
감당하기	감당/NNG+하/XSV+기/ETN
어렵다고	어렵/VA+다고/EC
보고	보/VV+고/EC
정부가	정부/NNG+가/JKS
나선	나서/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.368.5.1
동시에 이번 실무접촉 제안은 사실상 남쪽 정부의 북에 대한 공식 대화 제의라고 통일부는 밝혔다.

동시에	동시/NNG+에/JKB
이번	이번/NNG
실무접촉	실무/NNG+접촉/NNG
제안은	제안/NNG+은/JX
사실상	사실/NNG+상/XSN
남쪽	남쪽/NNG
정부의	정부/NNG+의/JKG
북에	북/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
공식	공식/NNG
대화	대화/NNG
제의라고	제의/NNG+이/VCP+라고/EC
통일부는	통일부/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.368.5.2
통일부의 한 관리는 “우리가 연초에 주요 의제들을 포괄적으로 논의하기 위한 남북 고위급 회담을 제안했고, 앞으로 그런 목표로 가기 위해 저쪽에서 필요로 하고 양자에게 큰 부담이 없는 의제를 선택한 것”이라고 설명했다.

통일부의	통일부/NNG+의/JKG
한	한/MMN
관리는	관리/NNG+는/JX
“우리가	“/SS+우리/NP+가/JKS
연초에	연초/NNG+에/JKB
주요	주요/NNG
의제들을	의제/NNG+들/XSN+을/JKO
포괄적으로	포괄/NNG+적/XSN+으로/JKB
논의하기	논의/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
남북	남북/NNP
고위급	고위급/NNG
회담을	회담/NNG+을/JKO
제안했고,	제안/NNG+하/XSV+았/EP+고/EC+,/SP
앞으로	앞/NNG+으로/JKB
그런	그런/MMD
목표로	목표/NNG+로/JKB
가기	가/VV+기/ETN
위해	위하/VV+아/EC
저쪽에서	저쪽/NP+에서/JKB
필요로	필요/NNG+로/JKB
하고	하/VV+고/EC
양자에게	양자/NNG+에게/JKB
큰	크/VA+ㄴ/ETM
부담이	부담/NNG+이/JKS
없는	없/VA+는/ETM
의제를	의제/NNG+를/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.368.6.1
이 제안에 대해 북은 아직까지 답변을 보내오지는 않았다.

이	이/MMD
제안에	제안/NNG+에/JKB
대해	대하/VV+아/EC
북은	북/NNP+은/JX
아직까지	아직/MAG+까지/JX
답변을	답변/NNG+을/JKO
보내오지는	보내오/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.368.6.2
북쪽은 이 통지문의 수령 여부와 관련해 “관계기관에 문의해보겠다”고만 답변한 상태다.

북쪽은	북쪽/NNG+은/JX
이	이/MMD
통지문의	통지문/NNG+의/JKG
수령	수령/NNG
여부와	여부/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“관계기관에	“/SS+관계/NNG+기관/NNG+에/JKB
문의해보겠다”고만	문의/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+”/SS+고/JKQ+만/JX
답변한	답변/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.368.7.1
이번 실무접촉이 성사되면 김정은 체제가 들어선 뒤 처음으로 이뤄지는 남북 정부간 공식 대화가 된다.

이번	이번/NNG
실무접촉이	실무/NNG+접촉/NNG+이/JKS
성사되면	성사/NNG+되/XSV+면/EC
김정은	김정은/NNP
체제가	체제/NNG+가/JKS
들어선	들어서/VV+ㄴ/ETM
뒤	뒤/NNG
처음으로	처음/NNG+으로/JKB
이뤄지는	이뤄지/VV+는/ETM
남북	남북/NNP
정부간	정부/NNG+간/NNB
공식	공식/NNG
대화가	대화/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.368.7.2
북한에 있는 고구려 고분군은 2004년 7월 유네스코 세계문화유산으로 등재됐으며, 모두 5개 지역에 63기의 고분으로 이뤄져 있다.

북한에	북한/NNP+에/JKB
있는	있/VV+는/ETM
고구려	고구려/NNP
고분군은	고분군/NNP+은/JX
2004년	2004/SN+년/NNB
7월	7/SN+월/NNB
유네스코	유네스코/NNP
세계문화유산으로	세계/NNG+문화유산/NNG+으로/JKB
등재됐으며,	등재/NNG+되/XSV+었/EP+으며/EC+,/SP
모두	모두/MAG
5개	5/SN+개/NNB
지역에	지역/NNG+에/JKB
63기의	63/SN+기/NNB+의/JKG
고분으로	고분/NNG+으로/JKB
이뤄져	이뤄지/VV+어/EC
있다.	있/VX+다/EF+./SF


