# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.222
metadata : {}


# id : NWRW1800000038.222.1.1
이석기 RO 경호팀, 戰爭상황 가정해 산악훈련

이석기	이석기/NNP
RO	RO/SL
경호팀,	경호/NNG+팀/NNG+,/SP
戰爭상황	戰爭/SH+상황/NNG
가정해	가정/NNG+하/XSV+아/EC
산악훈련	산악/NNG+훈련/NNG


# id : NWRW1800000038.222.2.1
20여명 지난 4월 설악산서 "V님 육탄 보위" 12.6㎞ 행군

20여명	20/SN+여/XSN+명/NNB
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
설악산서	설악산/NNP+서/JKB
"V님	"/SS+V/SL+님/XSN
육탄	육탄/NNG
보위"	보위/NNG+"/SS
12.6㎞	12/SN+./SP+6/SN+㎞/SW
행군	행군/NNG


# id : NWRW1800000038.222.3.1
비밀 혁명 조직 'RO(Revolutionary Organization)'의 총책인 이석기(51) 통합진보당 의원의 경호를 맡은 RO 조직원 20여명이 올봄 설악산에서 전쟁 상황을 가정한 혹한기 산악훈련을 한 것으로 조사됐다.

비밀	비밀/NNG
혁명	혁명/NNG
조직	조직/NNG
'RO(Revolutionary	'/SS+RO/SL+(/SS+Revolutionary/SL
Organization)'의	Organization/SL+)/SS+'/SS+의/JKG
총책인	총책/NNG+이/VCP+ㄴ/ETM
이석기(51)	이석기/NNP+(/SS+51/SN+)/SS
통합진보당	통합진보당/NNP
의원의	의원/NNG+의/JKG
경호를	경호/NNG+를/JKO
맡은	맡/VV+은/ETM
RO	RO/SL
조직원	조직원/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
올봄	올봄/NNG
설악산에서	설악산/NNP+에서/JKB
전쟁	전쟁/NNG
상황을	상황/NNG+을/JKO
가정한	가정/NNG+하/XSV+ㄴ/ETM
혹한기	혹한기/NNG
산악훈련을	산악/NNG+훈련/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.222.4.1
공안 당국에 따르면 '이석기 경호팀'은 4월 초 조직돼 4월 5일부터 이틀간 설악산 대승령에서 한계령으로 이어지는 12.6㎞ 구간을 행군하며 혹한기 훈련을 했다.

공안	공안/NNG
당국에	당국/NNG+에/JKB
따르면	따르/VV+면/EC
'이석기	'/SS+이석기/NNP
경호팀'은	경호/NNG+팀/NNG+'/SS+은/JX
4월	4/SN+월/NNB
초	초/NNB
조직돼	조직/NNG+되/XSV+어/EC
5일부터	5/SN+일/NNB+부터/JX
이틀간	이틀/NNG+간/XSN
설악산	설악산/NNP
대승령에서	대승령/NNP+에서/JKB
한계령으로	한계령/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
12.6㎞	12/SN+./SP+6/SN+㎞/SW
구간을	구간/NNG+을/JKO
행군하며	행군/NNG+하/XSV+며/EC
혹한기	혹한기/NNG
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.222.4.2
지난 3월 북한 조선인민군 최고사령부에서 정전협정 폐기를 선언한 직후 한반도에 전쟁의 위기감이 고조될 때였다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
북한	북한/NNP
조선인민군	조선/NNP+인민군/NNG
최고사령부에서	최고/NNG+사령부/NNG+에서/JKB
정전협정	정전/NNG+협정/NNG
폐기를	폐기/NNG+를/JKO
