# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.166
metadata : {}


# id : NWRW1800000054.166.1.1
'이건희 동영상' 연루 의혹, CJ 계열사 임원 3명 압수수색

'이건희	'/SS+이건희/NNP
동영상'	동영상/NNG+'/SS
연루	연루/NNG
의혹,	의혹/NNG+,/SP
CJ	CJ/SL
계열사	계열사/NNG
임원	임원/NNG
3명	3/SN+명/NNB
압수수색	압수/NNG+수색/NNG


# id : NWRW1800000054.166.2.1
촬영 사주한 직원과 본사 근무… 동영상 관련 이메일 주고받아

촬영	촬영/NNG
사주한	사주/NNG+하/XSV+ㄴ/ETM
직원과	직원/NNG+과/JKB
본사	본사/NNG
근무…	근무/NNG+…/SE
동영상	동영상/NNG
관련	관련/NNG
이메일	이메일/NNG
주고받아	주고받/VV+아/EF


# id : NWRW1800000054.166.3.1
서울중앙지검 여성아동범죄조사부(부장 이정현)는 13일 이건희(75) 삼성그룹 회장의 '성매매 의혹'이 담긴 동영상 수사와 관련해 CJ그룹 계열사인 헬로비전과 대한통운 임원 3명의 사무실과 자택 등을 압수 수색했다.

서울중앙지검	서울중앙지검/NNP
여성아동범죄조사부(부장	여성/NNG+아동/NNG+범죄/NNG+조사부/NNG+(/SS+부장/NNG
이정현)는	이정현/NNP+)/SS+는/JX
13일	13/SN+일/NNB
이건희(75)	이건희/NNP+(/SS+75/SN+)/SS
삼성그룹	삼성그룹/NNP
회장의	회장/NNG+의/JKG
'성매매	'/SS+성매매/NNG
의혹'이	의혹/NNG+'/SS+이/JKS
담긴	담기/VV+ㄴ/ETM
동영상	동영상/NNG
수사와	수사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
CJ그룹	CJ그룹/NNP
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
헬로비전과	헬로비전/NNP+과/JKB
대한통운	대한통운/NNP
임원	임원/NNG
3명의	3/SN+명/NNB+의/JKG
사무실과	사무실/NNG+과/JC
자택	자택/NNG
등을	등/NNB+을/JKO
압수	압수/NNG
수색했다.	수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.166.4.1
검찰은 앞서 지난달 25일 이 동영상을 촬영하라고 시킨 혐의로 CJ제일제당 부장 S씨를 구속했다.

검찰은	검찰/NNG+은/JX
앞서	앞서/MAG
지난달	지난달/NNG
25일	25/SN+일/NNB
이	이/MMD
동영상을	동영상/NNG+을/JKO
촬영하라고	촬영/NNG+하/XSV+라고/EC
시킨	시키/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
CJ제일제당	CJ제일제당/NNP
부장	부장/NNG
