# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.86
metadata : {}


# id : NWRW1800000045.86.1.1
[스마트 컨슈머]보령 ‘장쾌장’ 배속을 시원하게… ‘쾌변’ 합시다

[스마트	[/SS+스마트/NNG
컨슈머]보령	컨슈머/NNG+]/SS+보령/NNP
‘장쾌장’	‘/SS+장쾌장/NNP+’/SS
배속을	배/NNG+속/NNG+을/JKO
시원하게…	시원하/VA+게/EC+…/SE
‘쾌변’	‘/SS+쾌변/NNG+’/SS
합시다	하/VV+ㅂ시다/EF


# id : NWRW1800000045.86.2.1
배변 문제는 한국인 5명 중 1명꼴로 겪고 있는 고민이다.

배변	배변/NNG
문제는	문제/NNG+는/JX
한국인	한국인/NNG
5명	5/SN+명/NNB
중	중/NNB
1명꼴로	1/SN+명/NNB+꼴/XSN+로/JKB
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
고민이다.	고민/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.86.2.2
배 속에 가스가 차고 아랫배가 묵직하다, 배변을 했더라도 잔변감이 남아 있다, 술만 먹으면 다음 날 설사부터 시작된다, 마지막으로 화장실 간 지가 며칠이나 지났다는 등 배변 문제는 기분을 떠나 건강한 삶을 무너뜨리는 중요한 문제다.

배	배/NNG
속에	속/NNG+에/JKB
가스가	가스/NNG+가/JKS
차고	차/VV+고/EC
아랫배가	아랫배/NNG+가/JKS
묵직하다,	묵직하/VA+다/EF+,/SP
배변을	배변/NNG+을/JKO
했더라도	하/VV+았/EP+더라도/EC
잔변감이	잔변감/NNG+이/JKS
남아	남/VV+아/EC
있다,	있/VX+다/EF+,/SP
술만	술/NNG+만/JX
먹으면	먹/VV+으면/EC
다음	다음/NNG
날	날/NNG
설사부터	설사/NNG+부터/JX
시작된다,	시작/NNG+되/XSV+ㄴ다/EF+,/SP
마지막으로	마지막/NNG+으로/JKB
화장실	화장실/NNG
간	가/VV+ㄴ/ETM
지가	지/NNB+가/JKS
며칠이나	며칠/NNG+이나/JX
지났다는	지나/VV+았/EP+다는/ETM
등	등/NNB
배변	배변/NNG
문제는	문제/NNG+는/JX
기분을	기분/NNG+을/JKO
떠나	떠나/VV+아/EC
건강한	건강/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
무너뜨리는	무너뜨리/VV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.86.2.3
배변을 원활히 하기 위해 식이섬유가 풍부한 음식과 충분한 수분을 섭취해야 하지만 이 또한 쉽지 않다.

배변을	배변/NNG+을/JKO
원활히	원활히/MAG
하기	하/VV+기/ETN
위해	위하/VV+아/EC
식이섬유가	식이/NNG+섬유/NNG+가/JKS
풍부한	풍부하/VA+ㄴ/ETM
음식과	음식/NNG+과/JC
충분한	충분하/VA+ㄴ/ETM
수분을	수분/NNG+을/JKO
섭취해야	섭취/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
이	이/NP
또한	또한/MAG
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.86.2.4
그래서 건강기능식품을 섭취하는 것이 필요하다.

그래서	그래서/MAJ
건강기능식품을	건강/NNG+기능/NNG+식품/NNG+을/JKO
섭취하는	섭취/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.86.3.1
식품의약품안전처가 기능성을 인정한 ‘알로에 아보레센스’는 배변 활동과 관련해 오랫동안 사랑받아 왔다.

식품의약품안전처가	식품/NNG+의약품/NNG+안전처/NNG+가/JKS
기능성을	기능/NNG+성/XSN+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
‘알로에	‘/SS+알로에/NNG
아보레센스’는	아보레센스/NNG+’/SS+는/JX
배변	배변/NNG
활동과	활동/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
오랫동안	오랫동안/NNG
사랑받아	사랑/NNG+받/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.86.3.2
이제는 배변 활동뿐만 아니라 장 건강을 위해서라도 ‘알로에 아보레센스’ 제품을 권한다.

이제는	이제/NNG+는/JX
배변	배변/NNG
활동뿐만	활동/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
장	장/NNG
건강을	건강/NNG+을/JKO
위해서라도	위하/VV+아서라도/EC
‘알로에	‘/SS+알로에/NNG
아보레센스’	아보레센스/NNG+’/SS
제품을	제품/NNG+을/JKO
권한다.	권/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.86.4.1
50년 전통의 보령에서는 최근 ‘알로에 아보레센스’를 주원료로 하는 건강기능식품인 ‘장쾌장’을 출시하였다.

50년	50/SN+년/NNB
전통의	전통/NNG+의/JKG
보령에서는	보령/NNP+에서/JKB+는/JX
최근	최근/MAG
‘알로에	‘/SS+알로에/NNG
아보레센스’를	아보레센스/NNG+’/SS+를/JKO
주원료로	주원료/NNG+로/JKB
하는	하/VV+는/ETM
건강기능식품인	건강/NNG+기능/NNG+식품/NNG+이/VCP+ㄴ/ETM
‘장쾌장’을	‘/SS+장쾌장/NNP+’/SS+을/JKO
출시하였다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.86.4.2
‘장쾌장’은 식품의약품안전처에서 인정한 ‘배변 활동 원활’ 기능성을 만족할 뿐 아니라 ‘우수 건강기능식품 제조기준’인 GMP 시설에서 생산된 믿을 수 있는 제품.

‘장쾌장’은	‘/SS+장쾌장/NNP+’/SS+은/JX
식품의약품안전처에서	식품/NNG+의약품/NNG+안전처/NNG+에서/JKB
인정한	인정/NNG+하/XSV+ㄴ/ETM
‘배변	‘/SS+배변/NNG
활동	활동/NNG
원활’	원활/NNG+’/SS
기능성을	기능/NNG+성/XSN+을/JKO
만족할	만족/NNG+하/XSA+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
‘우수	‘/SS+우수/NNG
건강기능식품	건강/NNG+기능/NNG+식품/NNG
제조기준’인	제조/NNG+기준/NNG+’/SS+이/VCP+ㄴ/ETM
GMP	GMP/SL
시설에서	시설/NNG+에서/JKB
생산된	생산/NNG+되/XSV+ㄴ/ETM
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
제품.	제품/NNG+./SF


# id : NWRW1800000045.86.5.1
‘장쾌장’은 특히 장시간 근무와 스트레스로 인해 배변 활동이 원활하지 않은 직장인 또는 수험생과 배변 후에도 잔변감이 있는 사람, 장 기능이 약하거나 활동량이 적어 장의 연동운동이 부족한 경우에 좋다.

‘장쾌장’은	‘/SS+장쾌장/NNP+’/SS+은/JX
특히	특히/MAG
장시간	장시간/NNG
근무와	근무/NNG+와/JC
스트레스로	스트레스/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
배변	배변/NNG
활동이	활동/NNG+이/JKS
원활하지	원활/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
직장인	직장인/NNG
또는	또는/MAG
수험생과	수험/NNG+생/XSN+과/JC
후에도	후/NNG+에/JKB+도/JX
잔변감이	잔변감/NNG+이/JKS
있는	있/VA+는/ETM
사람,	사람/NNG+,/SP
장	장/NNG
기능이	기능/NNG+이/JKS
약하거나	약하/VA+거나/EC
활동량이	활동량/NNG+이/JKS
적어	적/VA+어/EC
장의	장/NNG+의/JKG
연동운동이	연동/NNG+운동/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
경우에	경우/NNG+에/JKB
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000045.86.6.1
신제품 출시를 기념하여 선착순 300세트에 한하여 특별 할인행사도 진행하고 있다.

신제품	신/XPN+제품/NNG
