# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.381
metadata : {}


# id : NWRW1800000049.381.1.1
“머리 굴리지 말라, 직원에 탄핵 당해”

“머리	“/SS+머리/NNG
굴리지	굴리/VV+지/EC
말라,	말/VX+라/EC+,/SP
직원에	직원/NNG+에/JKB
탄핵	탄핵/NNG
당해”	당하/VV+아/EF+”/SS


# id : NWRW1800000049.381.1.2
대기업 총수들 불러놓고 면박-호통

대기업	대/XPN+기업/NNG
총수들	총수/NNG+들/XSN
불러놓고	부르/VV+어/EC+놓/VX+고/EC
면박-호통	면박/NNG+-/SO+호통/NNG


# id : NWRW1800000049.381.2.1
[대기업 총수 청문회]‘송곳 질문’ 스타 없는 청문회

[대기업	[/SS+대/XPN+기업/NNG
총수	총수/NNG
청문회]‘송곳	청문회/NNG+]/SS+‘/SS+송곳/NNG
질문’	질문/NNG+’/SS
스타	스타/NNG
없는	없/VA+는/ETM
청문회	청문회/NNG


# id : NWRW1800000049.381.3.1
6일 ‘최순실 국정 농단 의혹 국정조사특별위원회’ 청문회에 출석한 증인들이 모르쇠로 일관한 데에는 국조특위 위원들의 새로운 사실에 근거한 ‘송곳’ 질문이 부족했던 탓이 컸다는 지적이 나온다.

6일	6/SN+일/NNB
‘최순실	‘/SS+최순실/NNP
국정	국정/NNG
농단	농단/NNG
의혹	의혹/NNG
국정조사특별위원회’	국정/NNG+조사/NNG+특별/NNG+위원회/NNG+’/SS
청문회에	청문회/NNG+에/JKB
출석한	출석/NNG+하/XSV+ㄴ/ETM
증인들이	증인/NNG+들/XSN+이/JKS
모르쇠로	모르쇠/NNG+로/JKB
일관한	일관/NNG+하/XSV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
국조특위	국조/NNG+특위/NNG
위원들의	위원/NNG+들/XSN+의/JKG
새로운	새롭/VA+ㄴ/ETM
사실에	사실/NNG+에/JKB
근거한	근거/NNG+하/XSV+ㄴ/ETM
‘송곳’	‘/SS+송곳/NNG+’/SS
질문이	질문/NNG+이/JKS
부족했던	부족/NNG+하/XSA+았/EP+던/ETM
탓이	탓/NNG+이/JKS
컸다는	크/VA+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.381.3.2
1988년 국회 5공 비리 청문회 이후 28년 만에 대기업 총수들이 모인 슈퍼 청문회였지만 ‘호통’과 ‘낯 뜨거운 면박’이 이어졌다.

1988년	1988/SN+년/NNB
국회	국회/NNG
5공	5/SN+공/NNG
비리	비리/NNG
청문회	청문회/NNG
이후	이후/NNG
28년	28/SN+년/NNB
만에	만/NNB+에/JKB
대기업	대/XPN+기업/NNG
총수들이	총수/NNG+들/XSN+이/JKS
모인	모이/VV+ㄴ/ETM
슈퍼	슈퍼/NNG
