# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.83
metadata : {}


# id : NWRW1800000041.83.1.1
[CEO&]63년 물류 외길 ‘경제의 핏줄’ 책임진다

[CEO&]63년	[/SS+CEO/SL+&/SW+]/SS+63/SN+년/NNB
물류	물류/NNG
외길	외길/NNG
‘경제의	‘/SS+경제/NNG+의/JKG
핏줄’	핏줄/NNG+’/SS
책임진다	책임지/VV+ㄴ다/EF


# id : NWRW1800000041.83.2.1
공성운수㈜

공성운수㈜	공성운수/NNP+㈜/SW


# id : NWRW1800000041.83.3.1
“물류는 국가경제를 지탱하는 산업의 핏줄입니다.

“물류는	“/SS+물류/NNG+는/JX
국가경제를	국가/NNG+경제/NNG+를/JKO
지탱하는	지탱/NNG+하/XSV+는/ETM
산업의	산업/NNG+의/JKG
핏줄입니다.	핏줄/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000041.83.3.2
우리 경제의 동맥을 잇고 있는 물류산업의 경쟁력 강화를 위해 헌신하겠습니다.”

우리	우리/NP
경제의	경제/NNG+의/JKG
동맥을	동맥/NNG+을/JKO
잇고	잇/VV+고/EC
있는	있/VX+는/ETM
물류산업의	물류/NNG+산업/NNG+의/JKG
경쟁력	경쟁력/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
헌신하겠습니다.”	헌신/NNG+하/XSV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000041.83.4.1
공성운수㈜(www.gongsung.co.kr) 심재선 대표는 국가를 생명체로 보면 물류는 심장과 핏줄의 순환계통이라고 강조했다.

공성운수㈜(www.gongsung.co.kr)	공성운수/NNP+㈜/SW+(/SS+www/SL+./SP+gongsung/SL+./SP+co/SL+./SP+kr/SL+)/SS
심재선	심재선/NNP
대표는	대표/NNG+는/JX
국가를	국가/NNG+를/JKO
생명체로	생명체/NNG+로/JKB
보면	보/VV+면/EC
물류는	물류/NNG+는/JX
심장과	심장/NNG+과/JC
핏줄의	핏줄/NNG+의/JKG
순환계통이라고	순환/NNG+계통/NNG+이/VCP+라고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.83.4.2
인천화물자동차운송사업협회 이사장을 맡고 있는 심 대표는 최근 현대글로비스가 출연해 설립한 ‘물류산업진흥재단(이하 물류재단)’의 초대 이사장을 맡았다.

인천화물자동차운송사업협회	인천화물자동차운송사업협회/NNP
