# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.376
metadata : {}


# id : NWRW1800000032.376.1.1
“체제 인정하고, 권력승계는 비판 견해 존중” / 북한 문구 ‘어정쩡 봉합’

“체제	“/SS+체제/NNG
인정하고,	인정/NNG+하/XSV+고/EC+,/SP
권력승계는	권력/NNG+승계/NNG+는/JX
비판	비판/NNG
견해	견해/NNG
존중”	존중/NNG+”/SS
/	//SP
북한	북한/NNP
문구	문구/NNG
‘어정쩡	‘/SS+어정쩡/MAG
봉합’	봉합/NNG+’/SS


# id : NWRW1800000032.376.2.1
“새로운 진보정당은 6·15 정신에 따라 북의 체제를 인정하고, ‘북의 권력 승계 문제는 국민 정서에서 이해하기 어려우며 비판적 입장을 밝혀야 한다’는 견해를 존중한다.”

“새로운	“/SS+새롭/VA+ㄴ/ETM
진보정당은	진보/NNG+정당/NNG+은/JX
6·15	6/SN+·/SP+15/SN
정신에	정신/NNG+에/JKB
따라	따르/VV+아/EC
북의	북/NNP+의/JKG
체제를	체제/NNG+를/JKO
인정하고,	인정/NNG+하/XSV+고/EC+,/SP
‘북의	‘/SS+북/NNP+의/JKG
권력	권력/NNG
승계	승계/NNG
문제는	문제/NNG+는/JX
국민	국민/NNG
정서에서	정서/NNG+에서/JKB
이해하기	이해/NNG+하/XSV+기/ETN
어려우며	어렵/VA+으며/EC
비판적	비판/NNG+적/XSN
입장을	입장/NNG+을/JKO
밝혀야	밝히/VV+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
견해를	견해/NNG+를/JKO
존중한다.”	존중/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000032.376.3.1
민주노동당과 진보신당이 1일 새벽 내놓은 최종 합의문 3-2항의 일부이다.

민주노동당과	민주노동당/NNP+과/JC
진보신당이	진보신당/NNP+이/JKS
1일	1/SN+일/NNB
새벽	새벽/NNG
내놓은	내놓/VV+은/ETM
최종	최종/NNG
합의문	합의문/NNG
3-2항의	3/SN+-/SO+2/SN+항/NNG+의/JKG
일부이다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.376.3.2
문장을 복잡하게 꼬아놓아 언뜻 무슨 뜻인지 쉽게 이해가 되지 않는다.

문장을	문장/NNG+을/JKO
복잡하게	복잡하/VA+게/EC
꼬아놓아	꼬/VV+아/EC+놓/VX+아/EC
언뜻	언뜻/MAG
무슨	무슨/MMD
뜻인지	뜻/NNG+이/VCP+ㄴ지/EF
쉽게	쉽/VA+게/EC
이해가	이해/NNG+가/JKC
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000032.376.3.3
앞부분은 민노당, 뒷부분은 진보신당의 견해를 반영해 숱한 우여곡절 끝에 나온 문구다.

앞부분은	앞부분/NNG+은/JX
민노당,	민노당/NNP+,/SP
뒷부분은	뒷부분/NNG+은/JX
진보신당의	진보신당/NNP+의/JKG
견해를	견해/NNG+를/JKO
반영해	반영/NNG+하/XSV+아/EC
숱한	숱하/VA+ㄴ/ETM
우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
문구다.	문구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.376.3.4
이 문장은 전체 합의문의 극히 일부이지만, 지금껏 두 당이 지루하게 벌여온 신경전의 핵심이었다.

이	이/MMD
문장은	문장/NNG+은/JX
전체	전체/NNG
합의문의	합의문/NNG+의/JKG
극히	극히/MAG
일부이지만,	일부/NNG+이/VCP+지만/EC+,/SP
지금껏	지금껏/MAG
두	두/MMN
당이	당/NNG+이/JKS
지루하게	지루하/VA+게/EC
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
신경전의	신경전/NNG+의/JKG
핵심이었다.	핵심/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.376.3.5
동시에 대한민국 진보정당의 현실과 한계를 고스란히 담고 있다.

동시에	동시/NNG+에/JKB
대한민국	대한민국/NNP
진보정당의	진보/NNG+정당/NNG+의/JKG
현실과	현실/NNG+과/JC
한계를	한계/NNG+를/JKO
고스란히	고스란히/MAG
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.376.4.1
어정쩡하게 봉합해놓은 이번 합의문을 보면, 2008년 민주노동당이 쪼개진 이유인 ‘북한에 대한 시각차’가 여전하다는 점이 묻어난다.

어정쩡하게	어정쩡/MAG+하/XSA+게/EC
봉합해놓은	봉합/NNG+하/XSV+아/EC+놓/VX+은/ETM
이번	이번/NNG
합의문을	합의문/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
2008년	2008/SN+년/NNB
민주노동당이	민주노동당/NNP+이/JKS
쪼개진	쪼개지/VV+ㄴ/ETM
이유인	이유/NNG+이/VCP+ㄴ/ETM
‘북한에	‘/SS+북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
시각차’가	시각차/NNG+’/SS+가/JKS
여전하다는	여전하/VA+다는/ETM
점이	점/NNG+이/JKS
묻어난다.	묻어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.376.4.2
두 당이 통합 협상을 시작할 때부터 진보신당은 ‘북한의 3대 세습’이라는 용어를 썼지만, 민주노동당은 ‘북한의 권력 승계’라는 용어를 썼다.

두	두/MMN
당이	당/NNG+이/JKS
통합	통합/NNG
협상을	협상/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
진보신당은	진보신당/NNP+은/JX
‘북한의	‘/SS+북한/NNP+의/JKG
3대	3/SN+대/NNB
세습’이라는	세습/NNG+’/SS+이/VCP+라는/ETM
용어를	용어/NNG+를/JKO
썼지만,	쓰/VV+었/EP+지만/EC+,/SP
민주노동당은	민주노동당/NNP+은/JX
권력	권력/NNG
승계’라는	승계/NNG+’/SS+이/VCP+라는/ETM
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.376.4.3
그만큼 양쪽에 예민한 문제였다.

그만큼	그만큼/MAG
양쪽에	양쪽/NNG+에/JKB
예민한	예민하/VA+ㄴ/ETM
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.376.5.1
앞서 두 당은 지난 9일 3차 합의문에서 “남과 북 정부 모두에 대해 자주적 태도를 견지하는 정당”이라고 밝혔지만, 당시엔 ‘핵 개발과 권력 승계 등 대북문제’에 대한 입장을 추후 합의하기로 했다.

앞서	앞서/MAG
두	두/MMN
당은	당/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
3차	3/SN+차/NNB
합의문에서	합의문/NNG+에서/JKB
“남과	“/SS+남/NNP+과/JC
북	북/NNP
정부	정부/NNG
모두에	모두/NNG+에/JKB
대해	대하/VV+아/EC
자주적	자주/NNG+적/XSN
태도를	태도/NNG+를/JKO
견지하는	견지/NNG+하/XSV+는/ETM
정당”이라고	정당/NNG+”/SS+이라고/JKQ
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
당시엔	당시/NNG+에/JKB+ㄴ/JX
‘핵	‘/SS+핵/NNG
개발과	개발/NNG+과/JC
권력	권력/NNG
승계	승계/NNG
등	등/NNB
대북문제’에	대북/NNG+문제/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
추후	추후/NNG
합의하기로	합의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.376.5.2
이후 민주노동당은 “북의 권력 승계 문제는 국민 정서에서 이해하기 어렵더라도 6·15 정신에 따라 북의 체제를 인정한다”는 문구를 쓰자고 주장했고, 진보신당은 “3대 세습과 북한 인권 문제에 대해 비판적 입장을 견지한다”는 문구를 넣자고 맞섰다.

이후	이후/NNG
민주노동당은	민주노동당/NNP+은/JX
“북의	“/SS+북/NNP+의/JKG
권력	권력/NNG
승계	승계/NNG
문제는	문제/NNG+는/JX
국민	국민/NNG
정서에서	정서/NNG+에서/JKB
이해하기	이해/NNG+하/XSV+기/ETN
어렵더라도	어렵/VA+더라도/EC
6·15	6/SN+·/SP+15/SN
정신에	정신/NNG+에/JKB
따라	따르/VV+아/EC
북의	북/NNP+의/JKG
체제를	체제/NNG+를/JKO
인정한다”는	인정/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
문구를	문구/NNG+를/JKO
쓰자고	쓰/VV+자고/EC
주장했고,	주장/NNG+하/XSV+았/EP+고/EC+,/SP
진보신당은	진보신당/NNP+은/JX
“3대	“/SS+3/SN+대/NNB
세습과	세습/NNG+과/JC
북한	북한/NNP
인권	인권/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
비판적	비판/NNG+적/XSN
입장을	입장/NNG+을/JKO
견지한다”는	견지/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
넣자고	넣/VV+자고/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.376.6.1
양쪽의 입장이 팽팽하게 대립하자, 진보진영 대표자 연석회의 차원에서 “북한의 권력 승계 문제에 대해 비판적 입장이 있긴 하지만, 그 문제는 북한 스스로 결정해야 할 문제임도 인정한다”는 중재안을 내놓았다.

양쪽의	양쪽/NNG+의/JKG
입장이	입장/NNG+이/JKS
팽팽하게	팽팽하/VA+게/EC
대립하자,	대립/NNG+하/XSV+자/EC+,/SP
진보진영	진보/NNG+진영/NNG
대표자	대표자/NNG
연석회의	연석회의/NNG
차원에서	차원/NNG+에서/JKB
“북한의	“/SS+북한/NNP+의/JKG
권력	권력/NNG
승계	승계/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
비판적	비판/NNG+적/XSN
있긴	있/VA+기/ETN+ㄴ/JX
하지만,	하/VX+지만/EC+,/SP
그	그/MMD
문제는	문제/NNG+는/JX
북한	북한/NNP
스스로	스스로/MAG
결정해야	결정/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
문제임도	문제/NNG+이/VCP+ㅁ/ETN+도/JX
인정한다”는	인정/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
중재안을	중재안/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.376.6.2
그래도 의견이 좁혀지지 않자 1일 새벽에는 “6·15 공동선언의 정신에 따라 북한의 권력 승계 문제가 북한 주민 스스로가 결정해야 할 문제임을 인정하며 아울러 권력 승계에 대한 비판 또는 반대하는 견해도 존중한다”는 추가 중재안이 나왔다.

그래도	그러/VV+어도/EC
의견이	의견/NNG+이/JKS
좁혀지지	좁히/VV+어/EC+지/VX+지/EC
않자	않/VX+자/EC
1일	1/SN+일/NNB
새벽에는	새벽/NNG+에/JKB+는/JX
“6·15	“/SS+6/SN+·/SP+15/SN
공동선언의	공동/NNG+선언/NNG+의/JKG
정신에	정신/NNG+에/JKB
따라	따르/VV+아/EC
북한의	북한/NNP+의/JKG
권력	권력/NNG
승계	승계/NNG
문제가	문제/NNG+가/JKS
북한	북한/NNP
주민	주민/NNG
스스로가	스스로/NNG+가/JKS
결정해야	결정/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
문제임을	문제/NNG+이/VCP+ㅁ/ETN+을/JKO
인정하며	인정/NNG+하/XSV+며/EC
아울러	아울러/MAG
승계에	승계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판	비판/NNG
또는	또는/MAG
반대하는	반대/NNG+하/XSV+는/ETM
견해도	견해/NNG+도/JX
존중한다”는	존중/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
추가	추가/NNG
중재안이	중재안/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.376.7.1
결국 협상 마지막에 “국민 정서에서 이해하기 어렵다”는 문구가 반영되는 선에서 최종 합의문이 완성됐다.

결국	결국/MAG
협상	협상/NNG
마지막에	마지막/NNG+에/JKB
“국민	“/SS+국민/NNG
정서에서	정서/NNG+에서/JKB
이해하기	이해/NNG+하/XSV+기/ETN
어렵다”는	어렵/VA+다/EF+”/SS+는/ETM
문구가	문구/NNG+가/JKS
