# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.76
metadata : {}


# id : NWRW1800000048.76.1.1
공정위, 대기업 브랜드 수수료 실태조사

공정위,	공정위/NNG+,/SP
대기업	대/XPN+기업/NNG
브랜드	브랜드/NNG
수수료	수수료/NNG
실태조사	실태/NNG+조사/NNG


# id : NWRW1800000048.76.2.1
계열사, 삼성·LG 이름 사용 대가로

계열사,	계열사/NNG+,/SP
삼성·LG	삼성/NNP+·/SP+LG/SL
이름	이름/NNG
사용	사용/NNG
대가로	대가/NNG+로/JKB


# id : NWRW1800000048.76.3.1
총수일가 회사에 수수료 몰아줬나

총수일가	총수/NNG+일가/NNG
회사에	회사/NNG+에/JKB
수수료	수수료/NNG
몰아줬나	몰아주/VV+었/EP+나/EC


# id : NWRW1800000048.76.4.1
연간 수조원…41개 기업에 자료 요구

연간	연간/NNG
수조원…41개	수조/NR+원/NNB+…/SE+41/SN+개/NNB
기업에	기업/NNG+에/JKB
자료	자료/NNG
요구	요구/NNG


# id : NWRW1800000048.76.5.1
공정거래위원회가 대기업의 브랜드 수수료에 대한 실태조사에 착수했다.

공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
대기업의	대/XPN+기업/NNG+의/JKG
브랜드	브랜드/NNG
수수료에	수수료/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실태조사에	실태/NNG+조사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.76.5.2
대기업들이 ‘삼성’, ‘엘지’(LG) 등의 명칭을 사용하는 대가로 계열사가 매년 내는 브랜드 수수료를 총수 일가가 주요 주주로 있는 회사에 몰아줬는지 여부를 확인하기 위해서다.

대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
‘삼성’,	‘/SS+삼성/NNP+’/SS+,/SP
‘엘지’(LG)	‘/SS+엘지/NNP+’/SS+(/SS+LG/SL+)/SS
등의	등/NNB+의/JKG
명칭을	명칭/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
대가로	대가/NNG+로/JKB
계열사가	계열사/NNG+가/JKS
매년	매년/MAG
내는	내/VV+는/ETM
브랜드	브랜드/NNG
수수료를	수수료/NNG+를/JKO
총수	총수/NNG
일가가	일가/NNG+가/JKS
주요	주요/NNG
주주로	주주/NNG+로/JKB
있는	있/VX+는/ETM
회사에	회사/NNG+에/JKB
몰아줬는지	몰아주/VV+었/EP+는지/EF
여부를	여부/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000048.76.6.1
10일 공정위 고위 관계자는 “국정감사 때 문제제기가 있었던 기업들의 브랜드 수수료에 대한 실태를 파악하고 있다”며 “문제가 나타날 경우 조사에 들어갈 예정”이라고 밝혔다.

10일	10/SN+일/NNB
공정위	공정위/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“국정감사	“/SS+국정/NNG+감사/NNG
때	때/NNG
문제제기가	문제/NNG+제기/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
기업들의	기업/NNG+들/XSN+의/JKG
브랜드	브랜드/NNG
수수료에	수수료/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실태를	실태/NNG+를/JKO
파악하고	파악/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“문제가	“/SS+문제/NNG+가/JKS
나타날	나타나/VV+ㄹ/ETM
경우	경우/NNG
조사에	조사/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.76.7.1
앞서 공정위는 삼성전자, 현대차, 엘지, 에스케이(SK), 한화 등 41개 기업들에 오는 17일까지 계열사에서 받은 브랜드 수수료 현황 등 관련 자료를 제출할 것을 요구했다.

앞서	앞서/MAG
공정위는	공정위/NNG+는/JX
삼성전자,	삼성전자/NNP+,/SP
현대차,	현대차/NNP+,/SP
엘지,	엘지/NNP+,/SP
에스케이(SK),	에스케이/NNP+(/SS+SK/SL+)/SS+,/SP
한화	한화/NNP
등	등/NNB
41개	41/SN+개/NNB
기업들에	기업/NNG+들/XSN+에/JKB
오는	오/VV+는/ETM
17일까지	17/SN+일/NNB+까지/JX
계열사에서	계열사/NNG+에서/JKB
받은	받/VV+은/ETM
브랜드	브랜드/NNG
수수료	수수료/NNG
현황	현황/NNG
관련	관련/NNG
자료를	자료/NNG+를/JKO
제출할	제출/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.76.7.2
공정위의 브랜드 수수료 전수조사는 이번이 처음이다.

공정위의	공정위/NNG+의/JKG
브랜드	브랜드/NNG
수수료	수수료/NNG
전수조사는	전수/NNG+조사/NNG+는/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.76.8.1
지난 9월 공정위 국정감사에서 김기식 새정치민주연합 의원은 대기업 지주회사가 브랜드 수수료로 부당지원을 받고 있다는 의혹을 제기한 바 있다.

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
공정위	공정위/NNG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
김기식	김기식/NNP
새정치민주연합	새정치민주연합/NNP
의원은	의원/NNG+은/JX
대기업	대/XPN+기업/NNG
지주회사가	지주/NNG+회사/NNG+가/JKS
브랜드	브랜드/NNG
수수료로	수수료/NNG+로/JKB
부당지원을	부당/NNG+지원/NNG+을/JKO
받고	받/VV+고/EC
있다는	있/VX+다는/ETM
의혹을	의혹/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.76.8.2
그동안 대기업 계열사들이 총수 일가가 주요 주주로 있는 회사에 브랜드 수수료를 과도하게 몰아줘 총수 일가의 부당지원 수단으로 악용되고 있다는 비판이 제기돼 왔다.

그동안	그동안/NNG
대기업	대/XPN+기업/NNG
계열사들이	계열사/NNG+들/XSN+이/JKS
총수	총수/NNG
일가가	일가/NNG+가/JKS
주요	주요/NNG
주주로	주주/NNG+로/JKB
있는	있/VV+는/ETM
회사에	회사/NNG+에/JKB
브랜드	브랜드/NNG
수수료를	수수료/NNG+를/JKO
과도하게	과도/NNG+하/XSA+게/EC
몰아줘	몰아주/VV+어/EC
일가의	일가/NNG+의/JKG
부당지원	부당/NNG+지원/NNG
수단으로	수단/NNG+으로/JKB
악용되고	악용/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
비판이	비판/NNG+이/JKS
제기돼	제기/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.76.8.3
대기업들의 연간 브랜드 수수료는 수조원에 이르는 것으로 추산된다.

대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
연간	연간/NNG
브랜드	브랜드/NNG
수수료는	수수료/NNG+는/JX
수조원에	수조/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


