# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.289
metadata : {}


# id : NWRW1800000034.289.1.1
기고자: [조선데스크] '자폐아 아빠'의 집중력

기고자:	기고자/NNG+:/SP
[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
'자폐아	'/SS+자폐아/NNG
아빠'의	아빠/NNG+'/SS+의/JKG
집중력	집중력/NNG


# id : NWRW1800000034.289.2.1
얼마 전 골프 메이저 대회인 브리티시오픈에서 대역전 우승 드라마를 펼쳤던 남아공 골퍼 어니 엘스를 보면서 2년 전 제주에서 만났던 그의 모습을 떠올렸다.

얼마	얼마/NNG
전	전/NNG
골프	골프/NNG
메이저	메이저/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
브리티시오픈에서	브리티시/NNP+오픈/NNG+에서/JKB
대역전	대/XPN+역전/NNG
우승	우승/NNG
드라마를	드라마/NNG+를/JKO
펼쳤던	펼치/VV+었/EP+던/ETM
남아공	남아공/NNP
골퍼	골퍼/NNG
어니	어니/NNP
엘스를	엘스/NNP+를/JKO
보면서	보/VV+면서/EC
2년	2/SN+년/NNB
제주에서	제주/NNP+에서/JKB
만났던	만나/VV+았/EP+던/ETM
그의	그/NP+의/JKG
모습을	모습/NNG+을/JKO
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.289.2.2
그는 국내에서 열리는 유럽 프로골프 투어 발렌타인 챔피언십 라운드를 마치고 호텔에서 휴식을 취하고 있었다.

그는	그/NP+는/JX
국내에서	국내/NNG+에서/JKB
열리는	열리/VV+는/ETM
유럽	유럽/NNP
프로골프	프로/NNG+골프/NNG
투어	투어/NNG
발렌타인	발렌타인/NNP
챔피언십	챔피언십/NNG
라운드를	라운드/NNP+를/JKO
마치고	마치/VV+고/EC
호텔에서	호텔/NNG+에서/JKB
휴식을	휴식/NNG+을/JKO
취하고	취하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000034.289.2.3
헐렁한 트레이닝복 차림으로 소파에 등을 기댄 채 느긋하게 인터뷰에 응하던 그에게 아들 벤 이야기를 묻자 갑자기 기자 쪽으로 몸을 숙이더니 한동안 말문을 열지 못했다.

헐렁한	헐렁하/VA+ㄴ/ETM
트레이닝복	트레이닝복/NNG
차림으로	차림/NNG+으로/JKB
소파에	소파/NNG+에/JKB
등을	등/NNG+을/JKO
기댄	기대/VV+ㄴ/ETM
채	채/NNB
느긋하게	느긋하/VA+게/EC
인터뷰에	인터뷰/NNG+에/JKB
응하던	응하/VV+던/ETM
그에게	그/NP+에게/JKB
아들	아들/NNG
벤	벤/NNP
이야기를	이야기/NNG+를/JKO
묻자	묻/VV+자/EC
갑자기	갑자기/MAG
기자	기자/NNG
쪽으로	쪽/NNB+으로/JKB
몸을	몸/NNG+을/JKO
숙이더니	숙이/VV+더니/EC
한동안	한/XPN+동안/NNG
말문을	말문/NNG+을/JKO
열지	열/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.289.2.4
자폐증인 아들의 얼굴이 떠오르는 듯 금세라도 큰 눈엔 눈물이 그렁그렁 매달릴 것만 같았다.

자폐증인	자폐증/NNG+이/VCP+ㄴ/ETM
아들의	아들/NNG+의/JKG
얼굴이	얼굴/NNG+이/JKS
떠오르는	떠오르/VV+는/ETM
듯	듯/NNB
금세라도	금세/MAG+이/VCP+라도/EC
큰	크/VA+ㄴ/ETM
눈엔	눈/NNG+에/JKB+ㄴ/JX
눈물이	눈물/NNG+이/JKS
그렁그렁	그렁그렁/MAG
매달릴	매달리/VV+ㄹ/ETM
것만	것/NNB+만/JX
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000034.289.2.5
이런 질문이 처음이 아닐 텐데도 그는 몹시 힘겨워했다.

이런	이런/MMD
질문이	질문/NNG+이/JKS
처음이	처음/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
텐데도	터/NNB+이/VCP+ㄴ데/EC+도/JX
그는	그/NP+는/JX
몹시	몹시/MAG
힘겨워했다.	힘겹/VA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.289.2.6
화제를 돌릴까 생각하는 순간 숨을 한 번 몰아쉰 그가 입을 열었다.

화제를	화제/NNG+를/JKO
돌릴까	돌리/VV+ㄹ까/EF
생각하는	생각/NNG+하/XSV+는/ETM
순간	순간/NNG
숨을	숨/NNG+을/JKO
한	한/MMN
번	번/NNB
몰아쉰	몰아쉬/VV+ㄴ/ETM
그가	그/NP+가/JKS
입을	입/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.289.3.1
