# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.155
metadata : {}


# id : NWRW1800000038.155.1.1
前국정원 직원 부부, 기업대표 협박… 산 주식 10배에 강매

前국정원	前/SH+국정원/NNG
직원	직원/NNG
부부,	부부/NNG+,/SP
기업대표	기업/NNG+대표/NNG
협박…	협박/NNG+…/SE
산	사/VV+ㄴ/ETM
주식	주식/NNG
10배에	10/SN+배/NNG+에/JKB
강매	강매/NNG


# id : NWRW1800000038.155.2.1
서울고법 민사20부(재판장 장석조)는 화장품 업체 대표인 양모(61)씨가 "협박 때문에 주식을 비싸게 되샀는데 돈을 돌려달라"며 전직 국정원 직원 안모(60)씨 부부를 상대로 낸 소송에서 "안씨 부부는 양씨에게 6억9700만원을 돌려주라"고 판결했다고 6일 밝혔다.

서울고법	서울고법/NNP
민사20부(재판장	민사/NNG+20/SN+부/NNG+(/SS+재판장/NNG
장석조)는	장석조/NNP+)/SS+는/JX
화장품	화장품/NNG
업체	업체/NNG
대표인	대표/NNG+이/VCP+ㄴ/ETM
양모(61)씨가	양/NNP+모/NP+(/SS+61/SN+)/SS+씨/NNB+가/JKS
"협박	"/SS+협박/NNG
때문에	때문/NNB+에/JKB
주식을	주식/NNG+을/JKO
비싸게	비싸/VA+게/EC
되샀는데	되사/VV+았/EP+는데/EC
돈을	돈/NNG+을/JKO
돌려달라"며	돌리/VV+어/EC+달/VX+라/EF+"/SS+며/EC
전직	전직/NNG
국정원	국정원/NNG
직원	직원/NNG
안모(60)씨	안/NNP+모/NP+(/SS+60/SN+)/SS+씨/NNB
부부를	부부/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송에서	소송/NNG+에서/JKB
"안씨	"/SS+안/NNP+씨/NNB
부부는	부부/NNG+는/JX
양씨에게	양/NNP+씨/NNB+에게/JKB
6억9700만원을	6/SN+억/NR+9700/SN+만/NR+원/NNB+을/JKO
돌려주라"고	돌려주/VV+라/EF+"/SS+고/JKQ
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.155.2.2
안씨 부부는 사건에 개입해 뇌물을 받은 혐의로 구속 기소된 김광준 전 서울고검 검사 수사 당시 김 전 검사에게 사건 청탁과 함께 8000만원을 건넨 혐의로 조사받았던 사람들이다.

안씨	안/NNP+씨/NNB
부부는	부부/NNG+는/JX
사건에	사건/NNG+에/JKB
개입해	개입/NNG+하/XSV+아/EC
뇌물을	뇌물/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
구속	구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
김광준	김광준/NNP
전	전/MMD
서울고검	서울고검/NNP
검사	검사/NNG
수사	수사/NNG
당시	당시/NNG
김	김/NNP
검사에게	검사/NNG+에게/JKB
사건	사건/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
8000만원을	8000/SN+만/NR+원/NNB+을/JKO
건넨	건네/VV+ㄴ/ETM
조사받았던	조사/NNG+받/XSV+았/EP+던/ETM
사람들이다.	사람/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.155.3.1
판결문에 따르면 양씨는 1999년 중학교 동창으로부터 국정원 직원이던 안씨 부부를 소개받았다.

판결문에	판결문/NNG+에/JKB
따르면	따르/VV+면/EC
양씨는	양/NNP+씨/NNB+는/JX
1999년	1999/SN+년/NNB
중학교	중학교/NNG
동창으로부터	동창/NNG+으로부터/JKB
국정원	국정원/NNG
직원이던	직원/NNG+이/VCP+던/ETM
안씨	안/NNP+씨/NNB
부부를	부부/NNG+를/JKO
소개받았다.	소개/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.155.3.2
양씨는 안씨 부부로부터 7000만원을 투자받고 회사 주식 3500주를 파는 등 좋은 사이를 이어갔다.

