# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.422
metadata : {}


# id : NWRW1800000021.422.1.1
■4强대사 모두 非직업외교관… 측근 배치 ‘힘 싣기’… 낯선 업무 부담도

■4强대사	■/SW+4/SN+强/SH+대사/NNG
모두	모두/MAG
非직업외교관…	非/SH+직업/NNG+외교관/NNG+…/SE
측근	측근/NNG
배치	배치/NNG
‘힘	‘/SS+힘/NNG
싣기’…	싣/VV+기/ETN+’/SS+…/SE
낯선	낯설/VA+ㄴ/ETM
업무	업무/NNG
부담도	부담/NNG+도/JX


# id : NWRW1800000021.422.2.1
미국 중국 일본 러시아 등 주변 4강 대사가 모두 직업 외교관 경력이 없는 ‘논커리어(non-career·비경력자)’로 채워진다.

미국	미국/NNP
중국	중국/NNP
일본	일본/NNP
러시아	러시아/NNP
등	등/NNB
주변	주변/NNG
4강	4/SN+강/NNB
대사가	대사/NNG+가/JKS
모두	모두/MAG
직업	직업/NNG
외교관	외교관/NNG
경력이	경력/NNG+이/JKS
없는	없/VA+는/ETM
‘논커리어(non-career·비경력자)’로	‘/SS+논커리어/NNG+(/SS+non/SL+-/SO+career/SL+·/SP+비/XPN+경력자/NNG+)/SS+’/SS+로/JKB
채워진다.	채우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.422.3.1
정부가 13일 류우익 전 대통령실장을 주중국 대사로, 이윤호 전 지식경제부 장관을 주러시아 대사로 내정함에 따라 내년 2월부터는 4강 대사 자리를 모두 비(非)외교관 출신이 맡게 된다.

정부가	정부/NNG+가/JKS
13일	13/SN+일/NNB
류우익	류우익/NNP
전	전/MMD
대통령실장을	대통령실장/NNG+을/JKO
주중국	주중국/NNG
대사로,	대사/NNG+로/JKB+,/SP
이윤호	이윤호/NNP
지식경제부	지식/NNG+경제부/NNG
장관을	장관/NNG+을/JKO
주러시아	주러시아/NNG
대사로	대사/NNG+로/JKB
내정함에	내정/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
내년	내년/NNG
2월부터는	2/SN+월/NNB+부터/JX+는/JX
4강	4/SN+강/NNB
대사	대사/NNG
자리를	자리/NNG+를/JKO
모두	모두/MAG
비(非)외교관	비/XPN+(/SS+非/SH+)/SS+외교관/NNG
출신이	출신/NNG+이/JKS
맡게	맡/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.422.3.2
지난해 4월에는 정치인 출신의 권철현 주일본 대사, 올해 3월에는 경제관료 출신으로 총리를 지낸 한덕수 주미국 대사가 현지에 부임했다.

지난해	지난해/NNG
4월에는	4/SN+월/NNB+에/JKB+는/JX
정치인	정치인/NNG
출신의	출신/NNG+의/JKG
권철현	권철현/NNP
주일본	주일본/NNG
대사,	대사/NNG+,/SP
올해	올해/NNG
3월에는	3/SN+월/NNB+에/JKB+는/JX
경제관료	경제/NNG+관료/NNG
출신으로	출신/NNG+으로/JKB
총리를	총리/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
한덕수	한덕수/NNP
주미국	주미국/NNG
대사가	대사/NNG+가/JKS
현지에	현지/NNG+에/JKB
부임했다.	부임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.422.4.1
비외교관 출신의 외교 일선 배치에 대해 청와대 관계자는 대통령의 의중을 잘 아는 측근 기용이라는 점에서 4강 외교 강화 차원이라고 설명했다.

비외교관	비/XPN+외교관/NNG
출신의	출신/NNG+의/JKG
외교	외교/NNG
일선	일선/NNG
배치에	배치/NNG+에/JKB
대해	대하/VV+아/EC
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
