# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.107
metadata : {}


# id : NWRW1800000048.107.1.1
중국-일본, 대립 대신 실리찾기로

중국-일본,	중국/NNP+-/SO+일본/NNP+,/SP
대립	대립/NNG
대신	대신/NNG
실리찾기로	실리/NNG+찾/VV+기/ETN+로/JKB


# id : NWRW1800000048.107.2.1
중국-일본 관계 개선 나선 배경

중국-일본	중국/NNP+-/SO+일본/NNP
관계	관계/NNG
개선	개선/NNG
나선	나서/VV+ㄴ/ETM
배경	배경/NNG


# id : NWRW1800000048.107.3.1
22일 밤 인도네시아에서 전격 성사된 5개월 만의 중-일 정상회담에서 시진핑 중국 국가주석은 중-일 관계를 개선하겠다는 의사를 분명히 했다.

22일	22/SN+일/NNB
밤	밤/NNG
인도네시아에서	인도네시아/NNP+에서/JKB
전격	전격/NNG
성사된	성사/NNG+되/XSV+ㄴ/ETM
5개월	5/SN+개월/NNB
만의	만/NNB+의/JKG
중-일	중/NNP+-/SO+일/NNP
정상회담에서	정상/NNG+회담/NNG+에서/JKB
시진핑	시진핑/NNP
중국	중국/NNP
국가주석은	국가주석/NNG+은/JX
관계를	관계/NNG+를/JKO
개선하겠다는	개선/NNG+하/XSV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.3.2
그동안 역사 문제와 센카쿠열도(중국명 댜오위다오) 영유권 문제를 둘러싸고 일본과 대립해온 중국이 이처럼 외교의 방향을 바꾼 배경이 주목받고 있다.

그동안	그동안/NNG
역사	역사/NNG
문제와	문제/NNG+와/JC
센카쿠열도(중국명	센카쿠열도/NNP+(/SS+중국/NNP+명/NNG
댜오위다오)	댜오위다오/NNP+)/SS
영유권	영유/NNG+권/XSN
문제를	문제/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
일본과	일본/NNP+과/JKB
대립해온	대립/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
중국이	중국/NNP+이/JKS
이처럼	이/NP+처럼/JKB
외교의	외교/NNG+의/JKG
방향을	방향/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
배경이	배경/NNG+이/JKS
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.107.4.1
중-일 관계는 2010년 9월 센카쿠열도 해역에서 벌어진 중국 어선과 일본 순시선의 충돌을 계기로 급격히 악화됐다.

중-일	중/NNP+-/SO+일/NNP
관계는	관계/NNG+는/JX
2010년	2010/SN+년/NNB
9월	9/SN+월/NNB
센카쿠열도	센카쿠열도/NNP
해역에서	해역/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
중국	중국/NNP
어선과	어선/NNG+과/JC
일본	일본/NNP
순시선의	순시선/NNG+의/JKG
