# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.402
metadata : {}


# id : NWRW1800000026.402.1.1
[현장르포] 한국지멘스 포항공장_匠人(장인) 수십명이 초음파 기기 100% 手작업

[현장르포]	[/SS+현장/NNG+르포/NNG+]/SS
한국지멘스	한국지멘스/NNP
포항공장_匠人(장인)	포항/NNP+공장/NNG+_/SW+匠人/SH+(/SS+장인/NNG+)/SS
수십명이	수십/NR+명/NNB+이/JKS
초음파	초/XPN+음파/NNG
기기	기기/NNG
100%	100/SN+%/SW
手작업	手/SH+작업/NNG


# id : NWRW1800000026.402.2.1
지난 3일 경북 포항 테크노센터에 있는 한국지멘스 메디칼초음파사업부의 제2공장.

지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
경북	경북/NNP
포항	포항/NNP
테크노센터에	테크노/NNG+센터/NNG+에/JKB
있는	있/VA+는/ETM
한국지멘스	한국지멘스/NNP
메디칼초음파사업부의	메디칼/NNG+초/XPN+음파/NNG+사업부/NNG+의/JKG
제2공장.	제/XPN+2/SN+공장/NNG+./SF


# id : NWRW1800000026.402.2.2
온통 흰색인 '클린룸' 안에는 60여명의 생산직 직원들이 현미경을 들여다보며 작업에 몰두하고 있었다.

온통	온통/MAG
흰색인	흰색/NNG+이/VCP+ㄴ/ETM
'클린룸'	'/SS+클린/NNG+룸/NNG+'/SS
안에는	안/NNG+에/JKB+는/JX
60여명의	60/SN+여/XSN+명/NNB+의/JKG
생산직	생산직/NNG
직원들이	직원/NNG+들/XSN+이/JKS
현미경을	현미경/NNG+을/JKO
들여다보며	들여다보/VV+며/EC
작업에	작업/NNG+에/JKB
몰두하고	몰두/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.402.2.3
이곳은 고가의 초음파 의료기기인 '아큐나브' 제품을 생산해 전 세계로 수출하는 곳이다.

이곳은	이곳/NP+은/JX
고가의	고가/NNG+의/JKG
초음파	초/XPN+음파/NNG
의료기기인	의료/NNG+기기/NNG+이/VCP+ㄴ/ETM
'아큐나브'	'/SS+아큐나브/NNP+'/SS
제품을	제품/NNG+을/JKO
생산해	생산/NNG+하/XSV+아/EC
전	전/MMN
세계로	세계/NNG+로/JKB
수출하는	수출/NNG+하/XSV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.402.2.4
이 장비는 가는 관 모양의 기구를 환자의 심장 내부까지 넣어 심장의 모양과 혈류 방향을 초음파로 관찰할 수 있는 제품이다.

이	이/MMD
장비는	장비/NNG+는/JX
가는	가늘/VA+ㄴ/ETM
관	관/NNG
모양의	모양/NNG+의/JKG
기구를	기구/NNG+를/JKO
환자의	환자/NNG+의/JKG
심장	심장/NNG
내부까지	내부/NNG+까지/JX
넣어	넣/VV+어/EC
심장의	심장/NNG+의/JKG
모양과	모양/NNG+과/JC
혈류	혈류/NNG
방향을	방향/NNG+을/JKO
초음파로	초/XPN+음파/NNG+로/JKB
관찰할	관찰/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.402.2.5
일회용이지만 장비가격은 약 2500달러(약 280만원).

일회용이지만	일회/NNG+용/XSN+이/VCP+지만/EC
