# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.21
metadata : {}


# id : NWRW1800000029.21.1.1
東日本 대지진 / 日 재정위기 ‘티핑포인트’ 넘어서나

東日本	東日本/SH
대지진	대/XPN+지진/NNG
/	//SP
日	日/SH
재정위기	재정/NNG+위기/NNG
‘티핑포인트’	‘/SS+티핑포인트/NNG+’/SS
넘어서나	넘어서/VV+나/EF


# id : NWRW1800000029.21.2.1
무디스 - S&P등 국가신용등급 하락 경고

무디스	무디스/NNP
-	-/SO
S&P등	S/SL+&/SW+P/SL+등/NNB
국가신용등급	국가/NNG+신용/NNG+등급/NNG
하락	하락/NNG
경고	경고/NNG


# id : NWRW1800000029.21.3.1
동일본 대지진의 피해 복구 비용이 당초 예상보다 훨씬 많이 필요할 것으로 예상되면서 일본의 재정위기가 ‘티핑포인트(임계점)’를 넘을 것이라는 우려가 나오고 있다.

동일본	동일본/NNP
대지진의	대/XPN+지진/NNG+의/JKG
피해	피해/NNG
복구	복구/NNG
비용이	비용/NNG+이/JKS
당초	당초/NNG
예상보다	예상/NNG+보다/JKB
훨씬	훨씬/MAG
많이	많이/MAG
필요할	필요/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되면서	예상/NNG+되/XSV+면서/EC
일본의	일본/NNP+의/JKG
재정위기가	재정/NNG+위기/NNG+가/JKS
‘티핑포인트(임계점)’를	‘/SS+티핑포인트/NNG+(/SS+임계점/NNG+)/SS+’/SS+를/JKO
넘을	넘/VV+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.21.3.2
지난주만 해도 일본 경제가 지진 피해를 충분히 감내할 수 있을 것이라며 국가신용등급에는 영향이 없을 것이라고 했던 국제 신용평가사들도 일본의 재정위기가 앞당겨질 수 있다고 경고하고 나섰다.

지난주만	지난주/NNG+만/JX
해도	하/VV+아도/EC
일본	일본/NNP
경제가	경제/NNG+가/JKS
지진	지진/NNG
피해를	피해/NNG+를/JKO
충분히	충분히/MAG
감내할	감내/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라며	것/NNB+이/VCP+라며/EC
국가신용등급에는	국가/NNG+신용/NNG+등급/NNG+에/JKB+는/JX
영향이	영향/NNG+이/JKS
없을	없/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
했던	하/VV+았/EP+던/ETM
국제	국제/NNG
신용평가사들도	신용/NNG+평가사/NNG+들/XSN+도/JX
일본의	일본/NNP+의/JKG
