# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.352
metadata : {}


# id : NWRW1800000054.352.1.1
[강인선의 워싱턴 Live] 부드러워진 트럼프… "처음으로 정상적 대통령 같았다" -폴리티코

[강인선의	[/SS+강인선/NNP+의/JKG
워싱턴	워싱턴/NNP
Live]	Live/SL+]/SS
부드러워진	부드럽/VA+어/EC+지/VX+ㄴ/ETM
트럼프…	트럼프/NNP+…/SE
"처음으로	"/SS+처음/NNG+으로/JKB
정상적	정상/NNG+적/XSN
대통령	대통령/NNG
같았다"	같/VA+았/EP+다/EF+"/SS
-폴리티코	-/SO+폴리티코/NNP


# id : NWRW1800000054.352.2.1
첫 의회 연설 차분한 66분… 취임 때와 달리 희망·통합 강조

첫	첫/MMN
의회	의회/NNG
연설	연설/NNG
차분한	차분하/VA+ㄴ/ETM
66분…	66/SN+분/NNB+…/SE
취임	취임/NNG
때와	때/NNG+와/JKB
달리	달리/MAG
희망·통합	희망/NNG+·/SP+통합/NNG
강조	강조/NNG


# id : NWRW1800000054.352.3.1
도널드 트럼프 미국 대통령의 28일 취임 후 첫 의회 합동 연설은 너무 무난해서 놀라웠다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
28일	28/SN+일/NNB
취임	취임/NNG
후	후/NNG
첫	첫/MMN
의회	의회/NNG
합동	합동/NNG
연설은	연설/NNG+은/JX
너무	너무/MAG
무난해서	무난하/VA+아서/EC
놀라웠다.	놀랍/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.352.3.2
작년 대선 유세부터 취임 연설, 매일 쏟아지는 트위터까지 트럼프 대통령의 '충격 어법'에 익숙한 탓에 차분한 66분 연설이 오히려 화제가 됐다.

작년	작년/NNG
대선	대선/NNG
유세부터	유세/NNG+부터/JX
취임	취임/NNG
연설,	연설/NNG+,/SP
매일	매일/MAG
쏟아지는	쏟아지/VV+는/ETM
트위터까지	트위터/NNP+까지/JX
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
'충격	'/SS+충격/NNG
어법'에	어법/NNG+'/SS+에/JKB
익숙한	익숙하/VA+ㄴ/ETM
탓에	탓/NNG+에/JKB
차분한	차분하/VA+ㄴ/ETM
66분	66/SN+분/NNB
연설이	연설/NNG+이/JKS
오히려	오히려/MAG
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.352.4.1
트럼프 대통령은 이날 사전에 준비된 원고 거의 그대로 연설했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
사전에	사전/NNG+에/JKB
준비된	준비/NNG+되/XSV+ㄴ/ETM
원고	원고/NNG
거의	거의/MAG
그대로	그대로/MAG
연설했다.	연설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.4.2
정치전문매체 폴리티코는 "처음으로 트럼프가 낙관적이고 정상적인 대통령 같았다"고 썼다.

정치전문매체	정치/NNG+전문/NNG+매체/NNG
폴리티코는	폴리티코/NNP+는/JX
"처음으로	"/SS+처음/NNG+으로/JKB
트럼프가	트럼프/NNP+가/JKS
낙관적이고	낙관/NNG+적/XSN+이/VCP+고/EC
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
대통령	대통령/NNG
같았다"고	같/VA+았/EP+다/EF+"/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.352.4.3
"트럼프 대통령이 정치를 시작한 이래 가장 전통적인 연설을 했다"고도 했다.

"트럼프	"/SS+트럼프/NNP
대통령이	대통령/NNG+이/JKS
정치를	정치/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
