# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.400
metadata : {}


# id : NWRW1800000026.400.1.1
변호사 시험 합격률 50%까지 낮추려는 움직임에 로스쿨생 "80~90% 합격시켜라" 집단반발;'조건부 자퇴서'까지 서명… 오늘 1500여명 항의 집회

변호사	변호사/NNG
시험	시험/NNG
합격률	합격/NNG+률/XSN
50%까지	50/SN+%/SW+까지/JX
낮추려는	낮추/VV+려는/ETM
움직임에	움직임/NNG+에/JKB
로스쿨생	로스쿨/NNG+생/XSN
"80~90%	"/SS+80/SN+~/SO+90/SN+%/SW
합격시켜라"	합격/NNG+시키/XSV+어라/EF+"/SS
집단반발;'조건부	집단/NNG+반발/NNG+;/SP+'/SS+조건/NNG+부/XSN
자퇴서'까지	자퇴서/NNG+'/SS+까지/JX
서명…	서명/NNG+…/SE
오늘	오늘/MAG
1500여명	1500/SN+여/XSN+명/NNB
항의	항의/NNG
집회	집회/NNG


# id : NWRW1800000026.400.2.1
법무부가 2012년부터 로스쿨(법학전문대학원) 졸업생이 치르는 변호사시험 합격률을 최대 50%까지 낮추려는 움직임을 보이자 로스쿨생들이 강력 반발하고 있다.

법무부가	법무부/NNG+가/JKS
2012년부터	2012/SN+년/NNB+부터/JX
로스쿨(법학전문대학원)	로스쿨/NNG+(/SS+법학/NNG+전문/NNG+대학원/NNG+)/SS
졸업생이	졸업/NNG+생/XSN+이/JKS
치르는	치르/VV+는/ETM
변호사시험	변호사/NNG+시험/NNG
합격률을	합격/NNG+률/XSN+을/JKO
최대	최대/NNG
50%까지	50/SN+%/SW+까지/JX
낮추려는	낮추/VV+려는/ETM
움직임을	움직임/NNG+을/JKO
보이자	보이/VV+자/EC
로스쿨생들이	로스쿨/NNG+생/XSN+들/XSN+이/JKS
강력	강력/NNG
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.400.2.2
법무부는 오는 7일 변호사시험관리위원회의를 열어 변호사시험 합격률을 결정할 예정이다.

법무부는	법무부/NNG+는/JX
오는	오/VV+는/ETM
7일	7/SN+일/NNB
변호사시험관리위원회의를	변호사/NNG+시험/NNG+관리/NNG+위원/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
변호사시험	변호사/NNG+시험/NNG
합격률을	합격/NNG+률/XSN+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.400.3.1
이를 앞두고 서울대를 비롯한 전국 25개 로스쿨에서 재적인원의 70~80%가 '조건부 자퇴서'를 작성해 서명한 데 이어, 6일에는 로스쿨생 1500여명이 과천 정부청사 앞에서 항의집회를 개최한다.

이를	이/NP+를/JKO
앞두고	앞두/VV+고/EC
서울대를	서울대/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
전국	전국/NNG
25개	25/SN+개/NNB
로스쿨에서	로스쿨/NNG+에서/JKB
재적인원의	재적/NNG+인원/NNG+의/JKG
70~80%가	70/SN+~/SO+80/SN+%/SW+가/JKS
'조건부	'/SS+조건/NNG+부/XSN
