# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.390
metadata : {}


# id : NWRW1800000033.390.1.1
[박근혜정부 인수위 인선 발표]親朴 → 脫朴 → 復朴… 인수위 실무 지휘자로

[박근혜정부	[/SS+박근혜/NNP+정부/NNG
인수위	인수위/NNG
인선	인선/NNG
발표]親朴	발표/NNG+]/SS+親朴/SH
→	→/SW
脫朴	脫朴/SH
復朴…	復朴/SH+…/SE
실무	실무/NNG
지휘자로	지휘자/NNG+로/JKB


# id : NWRW1800000033.390.2.1
■ 진영 인수위 부위원장 대선공약-TV토론 준비 주도… “민생 모든 약속 철저히 실천”

■	■/SW
진영	진영/NNP
인수위	인수위/NNG
부위원장	부위원장/NNG
대선공약-TV토론	대선/NNG+공약/NNG+-/SO+TV/SL+토론/NNG
준비	준비/NNG
주도…	주도/NNG+…/SE
“민생	“/SS+민생/NNG
모든	모든/MMN
약속	약속/NNG
철저히	철저히/MAG
실천”	실천/NNG+”/SS


# id : NWRW1800000033.390.3.1
“민생과 관련된 모든 약속을 철저히 또 빠르게 실천할 수 있도록 박근혜 정부를 준비하겠다.”

“민생과	“/SS+민생/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
모든	모든/MMN
약속을	약속/NNG+을/JKO
철저히	철저히/MAG
또	또/MAG
빠르게	빠르/VA+게/EC
실천할	실천/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
박근혜	박근혜/NNP
정부를	정부/NNG+를/JKO
준비하겠다.”	준비/NNG+하/XSV+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000033.390.4.1
대통령직인수위원회 부위원장을 맡게 된 진영 의원은 27일 인선이 발표된 뒤 서울 여의도 새누리당 당사에서 기자회견을 열고 이같이 포부를 밝혔다.

대통령직인수위원회	대통령직/NNG+인수/NNG+위원회/NNG
부위원장을	부위원장/NNG+을/JKO
맡게	맡/VV+게/EC
된	되/VV+ㄴ/ETM
진영	진영/NNP
의원은	의원/NNG+은/JX
27일	27/SN+일/NNB
인선이	인선/NNG+이/JKS
발표된	발표/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
서울	서울/NNP
여의도	여의도/NNP
새누리당	새누리당/NNP
당사에서	당사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
이같이	이같이/MAG
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.390.4.2
그는 “다시 무거운 책임을 맡게 돼 두렵고 떨리는 마음으로 이 자리에 섰다”며 “박 당선인이 당선 후에도 어려운 곳을 찾아가서 ‘어려운 분들과 함께하는 대통령이 되겠다’고 약속했다.

그는	그/NP+는/JX
“다시	“/SS+다시/MAG
무거운	무겁/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
맡게	맡/VV+게/EC
돼	되/VV+어/EC
두렵고	두렵/VA+고/EC
떨리는	떨리/VV+는/ETM
마음으로	마음/NNG+으로/JKB
이	이/MMD
자리에	자리/NNG+에/JKB
섰다”며	서/VV+었/EP+다/EF+”/SS+며/EC
“박	“/SS+박/NNP
당선인이	당선인/NNG+이/JKS
당선	당선/NNG
후에도	후/NNG+에/JKB+도/JX
어려운	어렵/VA+ㄴ/ETM
곳을	곳/NNG+을/JKO
찾아가서	찾아가/VV+아서/EC
‘어려운	‘/SS+어렵/VA+ㄴ/ETM
분들과	분/NNB+들/XSN+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
대통령이	대통령/NNG+이/JKC
되겠다’고	되/VV+겠/EP+다/EF+’/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.390.4.3
특히 어려운 분들과의 약속, 어려운 민생 살피는 일을 더 잘할 수 있도록 준비하겠다”고 강조했다.

특히	특히/MAG
어려운	어렵/VA+ㄴ/ETM
분들과의	분/NNB+들/XSN+과/JKB+의/JKG
약속,	약속/NNG+,/SP
민생	민생/NNG
살피는	살피/VV+는/ETM
일을	일/NNG+을/JKO
더	더/MAG
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
준비하겠다”고	준비/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.390.5.1
본적이 전북 고창인 진 부위원장은 법조인 출신 3선 국회의원으로 박 당선인의 측근이다.

본적이	본적/NNG+이/JKS
전북	전북/NNP
고창인	고창/NNP+이/VCP+ㄴ/ETM
진	진/NNP
부위원장은	부위원장/NNG+은/JX
법조인	법조인/NNG
출신	출신/NNG
3선	3/SN+선/NNB
국회의원으로	국회/NNG+의원/NNG+으로/JKB
박	박/NNP
당선인의	당선인/NNG+의/JKG
측근이다.	측근/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.390.5.2
1997년 당시 이회창 한나라당 대선후보 특보로 정치에 입문한 그는 2004년 당시 한나라당 대표이던 박 당선인의 비서실장을 지내며 지근거리에서 보좌했다.

1997년	1997/SN+년/NNB
당시	당시/NNG
이회창	이회창/NNP
한나라당	한나라당/NNP
대선후보	대선/NNG+후보/NNG
특보로	특보/NNG+로/JKB
정치에	정치/NNG+에/JKB
입문한	입문/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
2004년	2004/SN+년/NNB
대표이던	대표/NNG+이/VCP+던/ETM
박	박/NNP
당선인의	당선인/NNG+의/JKG
비서실장을	비서실장/NNG+을/JKO
지내며	지내/VV+며/EC
지근거리에서	지근거리/NNG+에서/JKB
보좌했다.	보좌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.390.5.3
당시 반듯하고 온화한 성격에 매끄러운 일처리로 박 당선인의 신임을 얻었다.

당시	당시/NNG
반듯하고	반듯하/VA+고/EC
온화한	온화하/VA+ㄴ/ETM
성격에	성격/NNG+에/JKB
매끄러운	매끄럽/VA+ㄴ/ETM
일처리로	일/NNG+처리/NNG+로/JKB
박	박/NNP
당선인의	당선인/NNG+의/JKG
신임을	신임/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.390.6.1
진 부위원장은 친박(친박근혜) 성향이지만 비박(비박근혜)계 의원들과도 가까워 각종 당직 인선 때마다 ‘화합카드’로 거론됐다.

진	진/NNP
부위원장은	부위원장/NNG+은/JX
친박(친박근혜)	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS
성향이지만	성향/NNG+이/VCP+지만/EC
비박(비박근혜)계	비/XPN+박/NNP+(/SS+비/XPN+박근혜/NNP+)/SS+계/XSN
의원들과도	의원/NNG+들/XSN+과/JKB+도/JX
가까워	가깝/VA+어/EC
각종	각종/NNG
당직	당직/NNG
인선	인선/NNG
때마다	때/NNG+마다/JX
‘화합카드’로	‘/SS+화합/NNG+카드/NNG+’/SS+로/JKB
거론됐다.	거론/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.390.6.2
그는 한때 친박 인사들과의 갈등으로 ‘탈박(脫朴)’을 선언했지만 4·11총선 이후 관계를 회복해 ‘복박(復朴)’으로 불리기도 했다.

그는	그/NP+는/JX
한때	한때/MAG
친박	친/XPN+박/NNP
인사들과의	인사/NNG+들/XSN+과/JKB+의/JKG
갈등으로	갈등/NNG+으로/JKB
‘탈박(脫朴)’을	‘/SS+탈/XPN+박/NNP+(/SS+脫朴/SH+)/SS+’/SS+을/JKO
선언했지만	선언/NNG+하/XSV+았/EP+지만/EC
4·11총선	4/SN+·/SP+11/SN+총선/NNG
이후	이후/NNG
관계를	관계/NNG+를/JKO
회복해	회복/NNG+하/XSV+아/EC
‘복박(復朴)’으로	‘/SS+복박/NNP+(/SS+復朴/SH+)/SS+’/SS+으로/JKB
불리기도	불리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.390.6.3
그는 5월 당 정책위의장으로 선출되면서 정치적 입지가 강화됐다.

그는	그/NP+는/JX
5월	5/SN+월/NNB
당	당/NNG
정책위의장으로	정책위/NNG+의장/NNG+으로/JKB
선출되면서	선출/NNG+되/XSV+면서/EC
정치적	정치/NNG+적/XSN
입지가	입지/NNG+가/JKS
강화됐다.	강화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.390.6.4
박 당선인의 총선 공약 입법화와 예산 반영 작업에 앞장섰다.

박	박/NNP
당선인의	당선인/NNG+의/JKG
총선	총선/NNG
공약	공약/NNG
입법화와	입법/NNG+화/XSN+와/JC
예산	예산/NNG
반영	반영/NNG
작업에	작업/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.390.7.1
이번 대선에서는 당 국민행복추진위원회 부위원장도 맡아 박 당선인의 정책과 공약 개발을 주도했다.

이번	이번/NNG
대선에서는	대선/NNG+에서/JKB+는/JX
당	당/NNG
국민행복추진위원회	국민/NNG+행복/NNG+추진/NNG+위원회/NNG
부위원장도	부위원장/NNG+도/JX
맡아	맡/VV+아/EC
박	박/NNP
당선인의	당선인/NNG+의/JKG
정책과	정책/NNG+과/JC
공약	공약/NNG
개발을	개발/NNG+을/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.390.7.2
대선후보 TV토론 총괄팀장을 맡기도 했다.

대선후보	대선/NNG+후보/NNG
TV토론	TV/SL+토론/NNG
총괄팀장을	총괄/NNG+팀장/NNG+을/JKO
