# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.395
metadata : {}


# id : NWRW1800000038.395.1.1
北 화물선, 작년에도 쿠바 다녀가 '무기 커넥션' 의혹

北	北/SH
화물선,	화물선/NNG+,/SP
작년에도	작년/NNG+에/JKB+도/JX
쿠바	쿠바/NNP
다녀가	다녀가/VV+아/EC
'무기	'/SS+무기/NNG
커넥션'	커넥션/NNG+'/SS
의혹	의혹/NNG


# id : NWRW1800000038.395.2.1
이번에 적발된 청천강호와 거의 똑같은 항로 이용

이번에	이번/NNG+에/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
청천강호와	청천강호/NNP+와/JKB
거의	거의/MAG
똑같은	똑같/VA+은/ETM
항로	항로/NNG
이용	이용/NNG


# id : NWRW1800000038.395.3.1
북한 화물선이 쿠바에서 무기를 싣고 파나마운하를 통과하다 적발된 가운데, 지난해에도 북한 화물선이 이번과 유사한 항로로 쿠바를 다녀간 것으로 확인됐다.

북한	북한/NNP
화물선이	화물선/NNG+이/JKS
쿠바에서	쿠바/NNP+에서/JKB
무기를	무기/NNG+를/JKO
싣고	싣/VV+고/EC
파나마운하를	파나마운하/NNP+를/JKO
통과하다	통과/NNG+하/XSV+다/EC
적발된	적발/NNG+되/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
지난해에도	지난해/NNG+에/JKB+도/JX
이번과	이번/NNG+과/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
항로로	항로/NNG+로/JKB
쿠바를	쿠바/NNP+를/JKO
다녀간	다녀가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.395.3.2
이는 서방국가 등이 가장 엄격하게 제재를 가하는 나라인 북한과 쿠바가 모종의 '무기 커넥션'을 가동하고 있다는 의혹을 불러일으키고 있다.

이는	이/NP+는/JX
서방국가	서방/NNG+국가/NNG
등이	등/NNB+이/JKS
가장	가장/MAG
엄격하게	엄격/NNG+하/XSA+게/EC
제재를	제재/NNG+를/JKO
가하는	가하/VV+는/ETM
나라인	나라/NNG+이/VCP+ㄴ/ETM
북한과	북한/NNP+과/JC
쿠바가	쿠바/NNP+가/JKS
모종의	모종/NNG+의/JKG
'무기	'/SS+무기/NNG
커넥션'을	커넥션/NNG+'/SS+을/JKO
가동하고	가동/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
의혹을	의혹/NNG+을/JKO
불러일으키고	불러일으키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.395.4.1
국제 선박 정보업체인 영국 IHS 페어플레이는 17일(현지 시각) "지난해 선박 운항기록을 확인한 결과 북한 '어은청년호(O Un Chong Nyon Ho)'가 지난해 5월 파나마운하를 통해 쿠바에 들렀다가 북한으로 돌아간 사실을 확인했다"고 밝혔다.

국제	국제/NNG
선박	선박/NNG
