# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.294
metadata : {}


# id : NWRW1800000021.294.1.1
[횡설수설/정성희]GDP 대체 행복지수

[횡설수설/정성희]GDP	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+GDP/SL
대체	대체/NNG
행복지수	행복/NNG+지수/NNG


# id : NWRW1800000021.294.2.1
국민소득과 행복의 상관관계에 대해선 미국 경제학자 리처드 이스털린의 연구가 유명하다.

국민소득과	국민/NNG+소득/NNG+과/JC
행복의	행복/NNG+의/JKG
상관관계에	상관관계/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
미국	미국/NNP
경제학자	경제학자/NNG
리처드	리처드/NNP
이스털린의	이스털린/NNP+의/JKG
연구가	연구/NNG+가/JKS
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.294.2.2
그는 1946년부터 30여 개 나라를 대상으로 국민의 행복도를 연구했다.

그는	그/NP+는/JX
1946년부터	1946/SN+년/NNB+부터/JX
30여	30/SN+여/XSN
개	개/NNB
나라를	나라/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
국민의	국민/NNG+의/JKG
행복도를	행복도/NNG+를/JKO
연구했다.	연구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.294.2.3
그 결과 경제력의 강약을 떠나 모든 국가에서 소득수준과 개인의 행복감 사이에 어느 시점까지 비례관계가 성립하고 있음을 밝혀냈다.

그	그/MMD
결과	결과/NNG
경제력의	경제력/NNG+의/JKG
강약을	강약/NNG+을/JKO
떠나	떠나/VV+아/EC
모든	모든/MMN
국가에서	국가/NNG+에서/JKB
소득수준과	소득/NNG+수준/NNG+과/JC
개인의	개인/NNG+의/JKG
행복감	행복감/NNG
사이에	사이/NNG+에/JKB
어느	어느/MMD
시점까지	시점/NNG+까지/JX
비례관계가	비례/NNG+관계/NNG+가/JKS
성립하고	성립/NNG+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
밝혀냈다.	밝혀내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.294.2.4
여기까진 상식적 얘기다.

여기까진	여기/NP+까지/JX+ㄴ/JX
상식적	상식/NNG+적/XSN
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.294.2.5
중요한 것은 일정 시점을 지나면 소득이 높아져도 행복도가 더 높아지지 않는 현상이었다.

중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
일정	일정/NNG
시점을	시점/NNG+을/JKO
지나면	지나/VV+면/EC
소득이	소득/NNG+이/JKS
높아져도	높아지/VV+어도/EC
행복도가	행복도/NNG+가/JKS
더	더/MAG
높아지지	높아지/VV+지/EC
않는	않/VX+는/ETM
현상이었다.	현상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.294.2.6
‘이스털린의 패러독스’다.

‘이스털린의	‘/SS+이스털린/NNP+의/JKG
패러독스’다.	패러독스/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000021.294.3.1
▷행복의 역설은 어디나 존재한다.

▷행복의	▷/SW+행복/NNG+의/JKG
역설은	역설/NNG+은/JX
어디나	어디/NP+나/JX
