# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.109
metadata : {}


# id : NWRW1800000041.109.1.1
두근두근 뮤지컬

두근두근	두근두근/MAG
뮤지컬	뮤지컬/NNG


# id : NWRW1800000041.109.2.1
보이첵, 심약한 인간의 무력함 파헤치는 윤호진 연출의 역작 킹키 부츠, 팝스타 신디 로퍼 작사 작곡… 작년 美서 최고의 화제 프랑켄슈타인, 충무아트홀 개관 10돌 기념… 유준상 등 스타들 참여

보이첵,	보이첵/NNG+,/SP
심약한	심약하/VA+ㄴ/ETM
인간의	인간/NNG+의/JKG
무력함	무력/NNG+하/XSA+ㅁ/ETN
파헤치는	파헤치/VV+는/ETM
윤호진	윤호진/NNP
연출의	연출/NNG+의/JKG
역작	역작/NNG
킹키	킹키/NNP
부츠,	부츠/NNG+,/SP
팝스타	팝/NNG+스타/NNG
신디	신디/NNP
로퍼	로퍼/NNP
작사	작사/NNG
작곡…	작곡/NNG+…/SE
작년	작년/NNG
美서	美/SH+서/JKB
최고의	최고/NNG+의/JKG
화제	화제/NNG
프랑켄슈타인,	프랑켄슈타인/NNP+,/SP
충무아트홀	충무아트홀/NNP
개관	개관/NNG
10돌	10/SN+돌/NNB
기념…	기념/NNG+…/SE
유준상	유준상/NNP
등	등/NNB
스타들	스타/NNG+들/XSN
참여	참여/NNG


# id : NWRW1800000041.109.3.1
뮤지컬 시장은 지난해에도 성장세를 이어갔다.

뮤지컬	뮤지컬/NNG
시장은	시장/NNG+은/JX
지난해에도	지난해/NNG+에/JKB+도/JX
성장세를	성장세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.109.3.2
인터넷 예매업체 인터파크의 2013년 뮤지컬 티켓 매출은 1767억 원으로 전년에 비해 6.4% 증가했다.

인터넷	인터넷/NNG
예매업체	예매/NNG+업체/NNG
인터파크의	인터파크/NNP+의/JKG
2013년	2013/SN+년/NNB
뮤지컬	뮤지컬/NNG
티켓	티켓/NNG
매출은	매출/NNG+은/JX
1767억	1767/SN+억/NR
원으로	원/NNB+으로/JKB
전년에	전년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
6.4%	6/SN+./SP+4/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.109.3.3
관객이 많이 찾은 공연은 ‘레미제라블’ ‘노트르담 드 파리’ ‘엘리자벳’ 등으로 여전히 라이선스 공연이 강세를 보였다.

관객이	관객/NNG+이/JKS
많이	많이/MAG
찾은	찾/VV+은/ETM
공연은	공연/NNG+은/JX
‘레미제라블’	‘/SS+레미제라블/NNP+’/SS
‘노트르담	‘/SS+노트르담/NNP
드	드/NNP
파리’	파리/NNP+’/SS
‘엘리자벳’	‘/SS+엘리자벳/NNP+’/SS
등으로	등/NNB+으로/JKB
여전히	여전히/MAG
라이선스	라이선스/NNG
공연이	공연/NNG+이/JKS
강세를	강세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.109.4.1
올해의 승자는 어떤 작품일까.

올해의	올해/NNG+의/JKG
승자는	승자/NNG+는/JX
어떤	어떤/MMD
작품일까.	작품/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000041.109.4.2
‘투자 대비 수익이 저조하다’는 고질적 핸디캡에 아랑곳없이 기획사들은 저마다 야심 찬 ‘빅 카드’를 새롭게 준비하고 있다.

‘투자	‘/SS+투자/NNG
대비	대비/NNG
수익이	수익/NNG+이/JKS
저조하다’는	저조/NNG+하/XSA+다/EF+’/SS+는/ETM
고질적	고질/NNG+적/XSN
핸디캡에	핸디캡/NNG+에/JKB
아랑곳없이	아랑곳없이/MAG
기획사들은	기획사/NNG+들/XSN+은/JX
저마다	저마다/MAG
야심	야심/NNG
찬	차/VV+ㄴ/ETM
‘빅	‘/SS+빅/NNG
카드’를	카드/NNG+’/SS+를/JKO
새롭게	새롭/VA+게/EC
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.109.5.1
LG아트센터는 ‘명성황후’, ‘영웅’의 윤호진 연출과 손잡고 신작 ‘보이첵’을 제작해 10월 9일부터 한 달간 무대에 올린다.

LG아트센터는	LG아트센터/NNP+는/JX
‘명성황후’,	‘/SS+명성/NNP+황후/NNG+’/SS+,/SP
‘영웅’의	‘/SS+영웅/NNG+’/SS+의/JKG
윤호진	윤호진/NNP
연출과	연출/NNG+과/JKB
손잡고	손잡/VV+고/EC
신작	신작/NNG
‘보이첵’을	‘/SS+보이첵/NNG+’/SS+을/JKO
제작해	제작/NNG+하/XSV+아/EC
10월	10/SN+월/NNB
9일부터	9/SN+일/NNB+부터/JX
한	한/MMN
달간	달/NNB+간/XSN
무대에	무대/NNG+에/JKB
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.109.5.2
‘보이첵(보이체크)’은 1837년 24세로 요절한 독일 작가 게오르크 뷔히너의 미완성 희곡이다.

‘보이첵(보이체크)’은	‘/SS+보이첵/NNG+(/SS+보이체크/NNG+)/SS+’/SS+은/JX
1837년	1837/SN+년/NNB
24세로	24/SN+세/NNB+로/JKB
요절한	요절/NNG+하/XSV+ㄴ/ETM
독일	독일/NNP
작가	작가/NNG
게오르크	게오르크/NNP
뷔히너의	뷔히너/NNP+의/JKG
미완성	미/XPN+완성/NNG
희곡이다.	희곡/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.109.5.3
심약한 성품의 군인이 상관에게 아내를 뺏긴 뒤 살인을 저지른다는 이야기로, 환경의 굴레에서 벗어나지 못하는 인간의 무기력함을 파헤쳤다.

심약한	심약하/VA+ㄴ/ETM
성품의	성품/NNG+의/JKG
군인이	군인/NNG+이/JKS
상관에게	상관/NNG+에게/JKB
아내를	아내/NNG+를/JKO
뺏긴	뺏기/VV+ㄴ/ETM
뒤	뒤/NNG
살인을	살인/NNG+을/JKO
저지른다는	저지르/VV+ㄴ다는/ETM
이야기로,	이야기/NNG+로/JKB+,/SP
환경의	환경/NNG+의/JKG
굴레에서	굴레/NNG+에서/JKB
벗어나지	벗어나/VV+지/EC
못하는	못하/VX+는/ETM
인간의	인간/NNG+의/JKG
무기력함을	무/XPN+기력/NNG+하/XSA+ㅁ/ETN+을/JKO
파헤쳤다.	파헤치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.109.5.4
여러 나라에서 연극 무용 오페라 같은 다양한 장르로 가공됐지만 뮤지컬로 만들어지는 건 처음이다.

여러	여러/MMN
나라에서	나라/NNG+에서/JKB
연극	연극/NNG
무용	무용/NNG
오페라	오페라/NNG
같은	같/VA+은/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
장르로	장르/NNG+로/JKB
가공됐지만	가공/NNG+되/XSV+었/EP+지만/EC
뮤지컬로	뮤지컬/NNG+로/JKB
만들어지는	만들/VV+어/EC+지/VX+는/ETM
건	거/NNB+ㄴ/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.109.5.5
윤 연출은 2012년 6월 영국 런던에서 현지 배우들을 기용해 ‘루비 목걸이’라는 제목으로 ‘보이첵’ 워크숍 공연을 올려 긍정적인 반응을 얻었다.

윤	윤/NNP
연출은	연출/NNG+은/JX
2012년	2012/SN+년/NNB
6월	6/SN+월/NNB
영국	영국/NNP
런던에서	런던/NNP+에서/JKB
현지	현지/NNG
배우들을	배우/NNG+들/XSN+을/JKO
기용해	기용/NNG+하/XSV+아/EC
‘루비	‘/SS+루비/NNG
목걸이’라는	목걸이/NNG+’/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
‘보이첵’	‘/SS+보이첵/NNG+’/SS
워크숍	워크숍/NNG
공연을	공연/NNG+을/JKO
올려	올리/VV+어/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
반응을	반응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.109.6.1
1980년대 팝 스타 신디 로퍼(60)가 작사 작곡에 참여한 2013년 최고의 블루칩 ‘킹키 부츠’는 11월 첫 내한공연을 시작한다.

1980년대	1980/SN+년대/NNB
팝	팝/NNG
스타	스타/NNG
신디	신디/NNP
로퍼(60)가	로퍼/NNP+(/SS+60/SN+)/SS+가/JKS
작사	작사/NNG
작곡에	작곡/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
2013년	2013/SN+년/NNB
최고의	최고/NNG+의/JKG
블루칩	블루칩/NNG
‘킹키	‘/SS+킹키/NNP
부츠’는	부츠/NNG+’/SS+는/JX
11월	11/SN+월/NNB
첫	첫/MMN
내한공연을	내한/NNG+공연/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.109.6.2
모티브는 영국 BBC 다큐멘터리 프로그램에 소개된 실화.

모티브는	모티브/NNG+는/JX
영국	영국/NNP
BBC	BBC/SL
다큐멘터리	다큐멘터리/NNG
프로그램에	프로그램/NNG+에/JKB
소개된	소개/NNG+되/XSV+ㄴ/ETM
실화.	실화/NNG+./SF


# id : NWRW1800000041.109.6.3
150년 전통의 신사화 공장을 아버지로부터 물려받은 청년이 경영난에서 벗어나기 위해 여장남자 주민들과 손잡고 새로운 아이템을 만들어 이탈리아 밀라노 패션쇼에 도전한다는 이야기다.

150년	150/SN+년/NNB
전통의	전통/NNG+의/JKG
신사화	신사화/NNG
공장을	공장/NNG+을/JKO
아버지로부터	아버지/NNG+로부터/JKB
물려받은	물려받/VV+은/ETM
청년이	청년/NNG+이/JKS
경영난에서	경영난/NNG+에서/JKB
벗어나기	벗어나/VV+기/ETN
위해	위하/VV+아/EC
여장남자	여장/NNG+남자/NNG
주민들과	주민/NNG+들/XSN+과/JKB
손잡고	손잡/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
아이템을	아이템/NNG+을/JKO
만들어	만들/VV+어/EC
이탈리아	이탈리아/NNP
밀라노	밀라노/NNP
패션쇼에	패션쇼/NNG+에/JKB
도전한다는	도전/NNG+하/XSV+ㄴ다는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.109.6.4
“세대 간 갈등, 자아를 찾아 방황하는 현대인, 나와 다른 타인을 인정해가는 인간관계에 대한 이야기를 쉽고 따뜻한 스토리로 풀어냈다”는 호평을 받으며 지난해 6월 토니상 시상식에서 작품, 음악, 남우주연상을 비롯해 6개 부문을 휩쓸었다.

“세대	“/SS+세대/NNG
간	간/NNB
갈등,	갈등/NNG+,/SP
자아를	자아/NNG+를/JKO
찾아	찾/VV+아/EC
방황하는	방황/NNG+하/XSV+는/ETM
현대인,	현대인/NNG+,/SP
나와	나/NP+와/JKB
다른	다르/VA+ㄴ/ETM
타인을	타인/NNG+을/JKO
인정해가는	인정/NNG+하/XSV+아/EC+가/VX+는/ETM
인간관계에	인간관계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
쉽고	쉽/VA+고/EC
따뜻한	따뜻하/VA+ㄴ/ETM
스토리로	스토리/NNG+로/JKB
풀어냈다”는	풀어내/VV+었/EP+다/EF+”/SS+는/ETM
호평을	호평/NNG+을/JKO
받으며	받/VV+으며/EC
지난해	지난해/NNG
6월	6/SN+월/NNB
토니상	토니상/NNG
시상식에서	시상식/NNG+에서/JKB
작품,	작품/NNG+,/SP
음악,	음악/NNG+,/SP
남우주연상을	남우/NNG+주연상/NNG+을/JKO
비롯해	비롯하/VV+아/EC
6개	6/SN+개/NNB
부문을	부문/NNG+을/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.109.7.1
충무아트홀이 개관 10년을 맞아 처음으로 제작에 나선 창작뮤지컬 ‘프랑켄슈타인’(3월 18일∼5월 11일)도 기대를 모으는 초연작이다.

충무아트홀이	충무아트홀/NNP+이/JKS
개관	개관/NNG
10년을	10/SN+년/NNB+을/JKO
맞아	맞/VV+아/EC
처음으로	처음/NNG+으로/JKB
제작에	제작/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
창작뮤지컬	창작/NNG+뮤지컬/NNG
‘프랑켄슈타인’(3월	‘/SS+프랑켄슈타인/NNP+’/SS+(/SS+3/SN+월/NNB
18일∼5월	18/SN+일/NNB+∼/SO+5/SN+월/NNB
11일)도	11/SN+일/NNB+)/SS+도/JX
기대를	기대/NNG+를/JKO
모으는	모으/VV+는/ETM
초연작이다.	초연작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.109.7.2
유준상 박은태 한지상을 포함해 뮤지컬 스타들이 참여했다.

유준상	유준상/NNP
박은태	박은태/NNP
한지상을	한지상/NNP+을/JKO
포함해	포함/NNG+하/XSV+아/EC
뮤지컬	뮤지컬/NNG
스타들이	스타/NNG+들/XSN+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.109.7.3
원작은 메리 셸리의 소설로, 19세기 유럽 나폴레옹 전쟁 때를 배경으로 ‘죽지 않는 군인’을 만들려 한 과학자 빅토르 프랑켄슈타인의 이야기를 담았다.

원작은	원작/NNG+은/JX
메리	메리/NNP
셸리의	셸리/NNP+의/JKG
소설로,	소설/NNG+로/JKB+,/SP
19세기	19/SN+세기/NNG
유럽	유럽/NNP
나폴레옹	나폴레옹/NNP
전쟁	전쟁/NNG
때를	때/NNG+를/JKO
배경으로	배경/NNG+으로/JKB
‘죽지	‘/SS+죽/VV+지/EC
않는	않/VX+는/ETM
군인’을	군인/NNG+’/SS+을/JKO
만들려	만들/VV+려/EC
한	하/VX+ㄴ/ETM
과학자	과학자/NNG
빅토르	빅토르/NNP
프랑켄슈타인의	프랑켄슈타인/NNP+의/JKG
이야기를	이야기/NNG+를/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.109.7.4
‘삼총사’와 ‘잭 더 리퍼’로 흥행성을 인정받은 왕용범 연출은 “신이 되려 했던 인간, 그 인간을 동경한 피조물의 관계를 매력적으로 풀어내는 데 초점을 맞추겠다”고 말했다.

‘삼총사’와	‘/SS+삼총사/NNP+’/SS+와/JC
‘잭	‘/SS+잭/NNP
더	더/NNP
리퍼’로	리퍼/NNP+’/SS+로/JKB
흥행성을	흥행/NNG+성/XSN+을/JKO
인정받은	인정/NNG+받/XSV+은/ETM
왕용범	왕용범/NNP
연출은	연출/NNG+은/JX
“신이	“/SS+신/NNG+이/JKC
되려	되/VV+려/EC
했던	하/VX+았/EP+던/ETM
인간,	인간/NNG+,/SP
그	그/MMD
인간을	인간/NNG+을/JKO
동경한	동경/NNG+하/XSV+ㄴ/ETM
피조물의	피조물/NNG+의/JKG
관계를	관계/NNG+를/JKO
매력적으로	매력/NNG+적/XSN+으로/JKB
풀어내는	풀어내/VV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
