# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.145
metadata : {}


# id : NWRW1800000030.145.1.1
강원 도민저축은행, 일방적 휴업 선언

강원	강원/NNP
도민저축은행,	도민저축은행/NNP+,/SP
일방적	일방/NNG+적/XSN
휴업	휴업/NNG
선언	선언/NNG


# id : NWRW1800000030.145.2.1
•영업 재개 요구도 거부… 금융위, 6개월 영업정지 조치

•영업	•/SW+영업/NNG
재개	재개/NNG
요구도	요구/NNG+도/JX
거부…	거부/NNG+…/SE
금융위,	금융위/NNG+,/SP
6개월	6/SN+개월/NNB
영업정지	영업/NNG+정지/NNG
조치	조치/NNG


# id : NWRW1800000030.145.3.1
저축은행이 예금 인출 사태를 피하기 위해 당국과 협의도 없이 일방적으로 휴업하는 초유의 사태가 벌어졌다.

저축은행이	저축/NNG+은행/NNG+이/JKS
예금	예금/NNG
인출	인출/NNG
사태를	사태/NNG+를/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
당국과	당국/NNG+과/JKB
협의도	협의/NNG+도/JX
없이	없이/MAG
일방적으로	일방/NNG+적/XSN+으로/JKB
휴업하는	휴업/NNG+하/XSV+는/ETM
초유의	초유/NNG+의/JKG
사태가	사태/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.145.3.2
강원도 춘천에 본사가 있는 도민저축은행은 22일 오전 9시부터 춘천 본점을 비롯한 강원도 6개 점포에 휴업을 알리는 안내문을 내고 영업을 중단했다.

강원도	강원도/NNP
춘천에	춘천/NNP+에/JKB
본사가	본사/NNG+가/JKS
있는	있/VA+는/ETM
도민저축은행은	도민저축은행/NNP+은/JX
22일	22/SN+일/NNB
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
춘천	춘천/NNP
본점을	본점/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
6개	6/SN+개/NNB
점포에	점포/NNG+에/JKB
휴업을	휴업/NNG+을/JKO
알리는	알리/VV+는/ETM
안내문을	안내문/NNG+을/JKO
내고	내/VV+고/EC
영업을	영업/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.145.3.3
금융회사가 금융 당국의 영업정지 조치를 받지 않은 상태에서 일방적으로 영업을 중단한 것은 이번이 처음이다.

금융회사가	금융/NNG+회사/NNG+가/JKS
금융	금융/NNG
당국의	당국/NNG+의/JKG
영업정지	영업/NNG+정지/NNG
조치를	조치/NNG+를/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
일방적으로	일방/NNG+적/XSN+으로/JKB
영업을	영업/NNG+을/JKO
중단한	중단/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.145.3.4
