# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.347
metadata : {}


# id : NWRW1800000048.347.1.1
[한겨레 프리즘] 당신도 나도 더 내야 한다 / 안선희

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
당신도	당신/NP+도/JX
나도	나/NP+도/JX
더	더/MAG
내야	내/VV+어야/EC
한다	하/VX+ㄴ다/EF
/	//SP
안선희	안선희/NNP


# id : NWRW1800000048.347.2.1
지난해 월급이 조금 올랐다.

지난해	지난해/NNG
월급이	월급/NNG+이/JKS
조금	조금/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.347.2.2
팀장이 되면서 팀장수당이란 것도 나오고, 회사 임금체계도 일부 바뀐 탓이다.

팀장이	팀장/NNG+이/JKC
되면서	되/VV+면서/EC
팀장수당이란	팀장/NNG+수당/NNG+이/VCP+란/ETM
것도	것/NNB+도/JX
나오고,	나오/VV+고/EC+,/SP
회사	회사/NNG
임금체계도	임금/NNG+체계/NNG+도/JX
일부	일부/NNG
바뀐	바뀌/VV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.347.2.3
실수령액은 그만큼 오르지 않아 월급명세서를 한참 들여다봤더니 소득세를 비롯해 떼가는 돈들이 덩달아 늘었다.

실수령액은	실수령액/NNG+은/JX
그만큼	그만큼/NNG
오르지	오르/VV+지/EC
않아	않/VX+아/EC
월급명세서를	월급/NNG+명세서/NNG+를/JKO
한참	한참/MAG
들여다봤더니	들여다보/VV+았/EP+더니/EC
소득세를	소득세/NNG+를/JKO
비롯해	비롯하/VV+아/EC
떼가는	떼/VV+어/EC+가/VV+는/ETM
돈들이	돈/NNG+들/XSN+이/JKS
덩달아	덩달/VV+아/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.347.2.4
아까웠다.

아까웠다.	아깝/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.347.2.5
‘복지 확대를 위해 증세가 필요하다’는 기사를 몇년 동안 줄기차게 써온 주제에 우스웠다.

‘복지	‘/SS+복지/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+아/EC
증세가	증세/NNG+가/JKS
필요하다’는	필요/NNG+하/XSA+다/EF+’/SS+는/ETM
기사를	기사/NNG+를/JKO
몇년	몇/NR+년/NNB
동안	동안/NNG
줄기차게	줄기차/VA+게/EC
써온	쓰/VV+어/EC+오/VX+ㄴ/ETM
주제에	주제/NNG+에/JKB
우스웠다.	우습/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.347.2.6
남 얘기 하긴 쉽지만 자기 일 되면 만만치 않은 법이다.

남	남/NNG
얘기	얘기/NNG
하긴	하/VV+기/ETN+ㄴ/JX
쉽지만	쉽/VA+지만/EC
자기	자기/NNG
일	일/NNG
되면	되/VV+면/EC
만만치	만만하/VA+지/EC
않은	않/VX+은/ETM
법이다.	법/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.347.3.1
<한겨레>의 새해 여론조사 결과(<한겨레> 1월1일치)를 보면, ‘우리 사회가 앞으로 어떤 사회가 되길 바라느냐’는 질문에 47.3%의 응답자가 ‘빈부격차가 적고 사회보장이 잘돼 있는 사회’, 28%가 ‘힘없는 사람들도 평등하게 보호받는 사회’를 택했다.

<한겨레>의	</SS+한겨레/NNP+>/SS+의/JKG
새해	새해/NNG
여론조사	여론/NNG+조사/NNG
결과(<한겨레>	결과/NNG+(/SS+</SS+한겨레/NNP+>/SS
