# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.201
metadata : {}


# id : NWRW1800000042.201.1.1
수학(B형) 만점에도 웃지 못하는 이과생들

수학(B형)	수학/NNG+(/SS+B/SL+형/XSN+)/SS
만점에도	만점/NNG+에/JKB+도/JX
웃지	웃/VV+지/EC
못하는	못하/VX+는/ETM
이과생들	이과/NNG+생/XSN+들/XSN


# id : NWRW1800000042.201.2.1
'물수능'에 상위권 허탈… 영어도 쉬워 변별력 제로 "공부해봤자 아무 소용 없어"교사들 "지원전략 짜기 난감"

'물수능'에	'/SS+물수능/NNG+'/SS+에/JKB
상위권	상위/NNG+권/XSN
허탈…	허탈/NNG+…/SE
영어도	영어/NNP+도/JX
쉬워	쉽/VA+어/EC
변별력	변별력/NNG
제로	제로/NNG
"공부해봤자	"/SS+공부/NNG+하/XSV+아/EC+보/VX+았/EP+자/EC
아무	아무/MMD
소용	소용/NNG
없어"교사들	없/VA+어/EF+"/SS+교사/NNG+들/XSN
"지원전략	"/SS+지원/NNG+전략/NNG
짜기	짜/VV+기/ETN
난감"	난감/XR+"/SS


# id : NWRW1800000042.201.3.1
"영어만 쉽게 낼 줄 알았는데…."

"영어만	"/SS+영어/NNP+만/JX
쉽게	쉽/VA+게/EC
낼	내/VV+ㄹ/ETM
줄	줄/NNB
알았는데…."	알/VV+았/EP+는데/EC+…/SE+./SF+"/SS


# id : NWRW1800000042.201.4.1
2015학년도 수능 다음 날인 14일 오전 서울 종로구 풍문여고 3학년 9반(이과반) 교실.

2015학년도	2015/SN+학년도/NNG
수능	수능/NNG
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
14일	14/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
종로구	종로구/NNP
풍문여고	풍문여고/NNP
3학년	3/SN+학년/NNG
9반(이과반)	9/SN+반/NNG+(/SS+이과반/NNG+)/SS
교실.	교실/NNG+./SF


# id : NWRW1800000042.201.4.2
가채점한 점수를 교사에게 제출하는 학생 중에는 수능이 끝나 들뜬 표정도 보였지만, 전반적인 분위기는 가라앉아 있었다.

가채점한	가/XPN+채점/NNG+하/XSV+ㄴ/ETM
점수를	점수/NNG+를/JKO
교사에게	교사/NNG+에게/JKB
제출하는	제출/NNG+하/XSV+는/ETM
학생	학생/NNG
중에는	중/NNB+에/JKB+는/JX
수능이	수능/NNG+이/JKS
끝나	끝나/VV+아/EC
들뜬	들뜨/VV+ㄴ/ETM
표정도	표정/NNG+도/JX
보였지만,	보이/VV+었/EP+지만/EC+,/SP
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
분위기는	분위기/NNG+는/JX
가라앉아	가라앉/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000042.201.4.3
수학B형과 영어가 매우 쉽게 출제되면서, 성적이 잘 나온 학생들은 "변별력이 없다"고 불만을 터트렸고, 실수한 학생들은 "한 문제 틀리니까 등급이 확 내려갔다"고 울상을 지었다.

수학B형과	수학/NNG+B/SL+형/XSN+과/JC
영어가	영어/NNP+가/JKS
매우	매우/MAG
쉽게	쉽/VA+게/EC
출제되면서,	출제/NNG+되/XSV+면서/EC+,/SP
성적이	성적/NNG+이/JKS
잘	잘/MAG
나온	나오/VV+ㄴ/ETM
학생들은	학생/NNG+들/XSN+은/JX
"변별력이	"/SS+변별력/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
불만을	불만/NNG+을/JKO
터트렸고,	터트리/VV+었/EP+고/EC+,/SP
실수한	실수/NNG+하/XSV+ㄴ/ETM
"한	"/SS+한/MMN
문제	문제/NNG
틀리니까	틀리/VV+니까/EC
등급이	등급/NNG+이/JKS
확	확/MAG
내려갔다"고	내려가/VV+았/EP+다/EF+"/SS+고/JKQ
울상을	울상/NNG+을/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.201.5.1
김모(18)양은 가채점 점수가 적힌 종이를 보면서 "하아…"하고 책상 위에 털썩 엎드렸다.

김모(18)양은	김/NNP+모/NP+(/SS+18/SN+)/SS+양/NNB+은/JX
가채점	가/XPN+채점/NNG
점수가	점수/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
종이를	종이/NNG+를/JKO
보면서	보/VV+면서/EC
"하아…"하고	"/SS+하아/IC+…/SE+"/SS+하고/JKQ
책상	책상/NNG
위에	위/NNG+에/JKB
털썩	털썩/MAG
엎드렸다.	엎드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.201.5.2
김양은 평소 모의고사 땐 수학 영역에서 꾸준히 1등급을 맞았다.

김양은	김/NNP+양/NNB+은/JX
평소	평소/NNG
모의고사	모의고사/NNG
땐	때/NNG+ㄴ/JX
수학	수학/NNG
영역에서	영역/NNG+에서/JKB
꾸준히	꾸준히/MAG
1등급을	1/SN+등급/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.201.5.3
그런데 13일 실전에서는 실수로 두 문제를 틀려 예상 등급이 3등급으로 내려갔다.

그런데	그런데/MAJ
13일	13/SN+일/NNB
실전에서는	실전/NNG+에서/JKB+는/JX
실수로	실수/NNG+로/JKB
두	두/MMN
문제를	문제/NNG+를/JKO
틀려	틀리/VV+어/EC
예상	예상/NNG
등급이	등급/NNG+이/JKS
3등급으로	3/SN+등급/NNG+으로/JKB
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.201.5.4
김양은 "아무래도 수시 최저 등급을 못 맞출 것 같다"며 "평소에 공부 열심히 했는데, 아무 소용이 없었던 것 같다"고 허탈해했다.

김양은	김/NNP+양/NNB+은/JX
"아무래도	"/SS+아무래도/MAG
수시	수시/NNG
최저	최저/NNG
등급을	등급/NNG+을/JKO
못	못/MAG
맞출	맞추/VV+ㄹ/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"평소에	"/SS+평소/NNG+에/JKB
공부	공부/NNG
열심히	열심히/MAG
했는데,	하/VV+았/EP+는데/EC+,/SP
아무	아무/MMD
소용이	소용/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
같다"고	같/VA+다/EF+"/SS+고/JKQ
허탈해했다.	허탈/NNG+하/XSA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000042.201.5.5
같은 반 이모(18)양도 "정시는 안 될 것 같고, 면접에 집중해야겠다"고 고개를 숙였다.

같은	같/VA+은/ETM
반	반/NNG
이모(18)양도	이/NNP+모/NP+(/SS+18/SN+)/SS+양/NNB+도/JX
"정시는	"/SS+정시/NNG+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
것	것/NNB
같고,	같/VA+고/EC+,/SP
면접에	면접/NNG+에/JKB
집중해야겠다"고	집중/NNG+하/XSV+아야/EC+하/VX+겠/EP+다/EF+"/SS+고/JKQ
고개를	고개/NNG+를/JKO
숙였다.	숙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.201.5.6
이양은 9월 모의고사 때 국·영·수 모두 1등급을 받았다.

이양은	이/NNP+양/NNB+은/JX
9월	9/SN+월/NNB
모의고사	모의고사/NNG
때	때/NNG
국·영·수	국·영·수/NNG
모두	모두/MAG
1등급을	1/SN+등급/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.201.5.7
특히 수학 과목은 항상 만점을 받아 가장 자신이 있는 과목이었다.

특히	특히/MAG
수학	수학/NNG
과목은	과목/NNG+은/JX
항상	항상/MAG
만점을	만점/NNG+을/JKO
받아	받/VV+아/EC
가장	가장/MAG
자신이	자신/NNG+이/JKS
있는	있/VA+는/ETM
과목이었다.	과목/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000042.201.5.8
이번 수능에서도 만점을 받았다.

이번	이번/NNG
수능에서도	수능/NNG+에서/JKB+도/JX
만점을	만점/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.201.5.9
하지만 본 수능에서 수학 B형이 너무 쉽게 출제되면서, 만점자가 주위에 한둘이 아니다.

하지만	하지만/MAJ
본	본/NA
수능에서	수능/NNG+에서/JKB
수학	수학/NNG
B형이	B/SL+형/XSN+이/JKS
너무	너무/MAG
쉽게	쉽/VA+게/EC
출제되면서,	출제/NNG+되/XSV+면서/EC+,/SP
만점자가	만점자/NNG+가/JKS
주위에	주위/NNG+에/JKB
한둘이	한둘/NR+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000042.201.5.10
게다가 국어 A형은 모의고사 때보다 어렵게 나와 당황하는 바람에 2등급으로 내려갔다.

게다가	게다가/MAG
국어	국어/NNG
A형은	A/SL+형/XSN+은/JX
모의고사	모의고사/NNG
