# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.85
metadata : {}


# id : NWRW1800000026.85.1.1
이규혁, 모교 고려대에서 명예 금메달 받아;"도전 정신이 금메달보다 빛났어요"

이규혁,	이규혁/NNP+,/SP
모교	모교/NNG
고려대에서	고려대/NNP+에서/JKB
명예	명예/NNG
금메달	금메달/NNG
받아;"도전	받/VV+아/EF+;/SW+"/SS+도전/NNG
정신이	정신/NNG+이/JKS
금메달보다	금메달/NNG+보다/JKB
빛났어요"	빛나/VV+았/EP+어요/EF+"/SS


# id : NWRW1800000026.85.2.1
'비운의 스프린터' 이규혁(32·서울시청) 선수가 모교(母校)인 고려대로부터 금메달을 받았다.

'비운의	'/SS+비운/NNG+의/JKG
스프린터'	스프린터/NNG+'/SS
이규혁(32·서울시청)	이규혁/NNP+(/SS+32/SN+·/SP+서울시청/NNP+)/SS
선수가	선수/NNG+가/JKS
모교(母校)인	모교/NNG+(/SS+母校/SH+)/SS+이/VCP+ㄴ/ETM
고려대로부터	고려대/NNP+로부터/JKB
금메달을	금메달/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.85.3.1
고려대는 8일 본관 총장실에서 2010 밴쿠버 동계올림픽에 스피드 스케이팅 국가대표로 출전했던 이규혁 선수에게 '명예 금메달'을 수여했다.

고려대는	고려대/NNP+는/JX
8일	8/SN+일/NNB
본관	본관/NNG
총장실에서	총장실/NNG+에서/JKB
2010	2010/SN
밴쿠버	밴쿠버/NNP
동계올림픽에	동계/NNG+올림픽/NNG+에/JKB
스피드	스피드/NNG
스케이팅	스케이팅/NNG
국가대표로	국가/NNG+대표/NNG+로/JKB
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
이규혁	이규혁/NNP
선수에게	선수/NNG+에게/JKB
'명예	'/SS+명예/NNG
금메달'을	금메달/NNG+'/SS+을/JKO
수여했다.	수여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.85.3.2
이 선수는 고려대 경영학과 97학번이다.

이	이/NNP
선수는	선수/NNG+는/JX
고려대	고려대/NNP
경영학과	경영학과/NNG
97학번이다.	97/SN+학번/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.85.4.1
고려대는 "올림픽 메달과는 거리가 멀었지만 4전5기라는 도전과 근성을 보여줘 후배들과 국민에게 깊은 감동을 준 이규혁 선수에게 금메달을 수여하기로 했다"고 시상 이유를 밝혔다.

고려대는	고려대/NNP+는/JX
"올림픽	"/SS+올림픽/NNG
메달과는	메달/NNG+과/JKB+는/JX
