# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.399
metadata : {}


# id : NWRW1800000046.399.1.1
"北, 고려 유물들 제대로 보존처리 안 하고 전시"

"北,	"/SS+北/SH+,/SP
고려	고려/NNP
유물들	유물/NNG+들/XSN
제대로	제대로/MAG
보존처리	보존/NNG+처리/NNG
안	안/MAG
하고	하/VV+고/EC
전시"	전시/NNG+"/SS


# id : NWRW1800000046.399.2.1
개성 만월대 간 與野 의원들 "통일되면 큰 관광자원 될 것… 정부가 발굴·보존 지원해야"

개성	개성/NNP
만월대	만월대/NNP
간	가/VV+ㄴ/ETM
與野	與野/SH
의원들	의원/NNG+들/XSN
"통일되면	"/SS+통일/NNG+되/XSV+면/EC
큰	크/VA+ㄴ/ETM
관광자원	관광/NNG+자원/NNG
될	되/VV+ㄹ/ETM
것…	것/NNB+…/SE
정부가	정부/NNG+가/JKS
발굴·보존	발굴/NNG+·/SP+보존/NNG
지원해야"	지원/NNG+하/XSV+아야/EC+"/SS


# id : NWRW1800000046.399.3.1
북한 지역에서 발굴된 고려 시대 유물들이 제대로 보존 처리가 안 된 채 임시 건물에서 전시되는 실정이어서 우리 정부의 대책 마련이 시급하다는 지적이 나왔다.

북한	북한/NNP
지역에서	지역/NNG+에서/JKB
발굴된	발굴/NNG+되/XSV+ㄴ/ETM
고려	고려/NNP
시대	시대/NNG
유물들이	유물/NNG+들/XSN+이/JKS
제대로	제대로/MAG
보존	보존/NNG
처리가	처리/NNG+가/JKS
안	안/MAG
된	되/VV+ㄴ/ETM
채	채/NNB
임시	임시/NNG
건물에서	건물/NNG+에서/JKB
전시되는	전시/NNG+되/XSV+는/ETM
실정이어서	실정/NNG+이/VCP+어서/EC
우리	우리/NP
정부의	정부/NNG+의/JKG
대책	대책/NNG
마련이	마련/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
지적이	지적/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.399.4.1
국회 외교통일위원회 여야 의원들은 2일 개성 만월대(滿月臺) 발굴 현장을 방문한 뒤 "발굴 유물에 대한 북측의 관리가 매우 미흡한 상황"이라고 전했다.

국회	국회/NNG
외교통일위원회	외교/NNG+통일/NNG+위원회/NNG
여야	여야/NNG
의원들은	의원/NNG+들/XSN+은/JX
2일	2/SN+일/NNB
개성	개성/NNP
만월대(滿月臺)	만월대/NNP+(/SS+滿月臺/SH+)/SS
발굴	발굴/NNG
현장을	현장/NNG+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
"발굴	"/SS+발굴/NNG
유물에	유물/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
북측의	북측/NNG+의/JKG
관리가	관리/NNG+가/JKS
매우	매우/MAG
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.399.4.2
2013년 세계문화유산에 등재된 만월대는 태조 왕건 이래 고려 시대 궁궐터로 남북이 2007년부터 유물을 공동 발굴해왔다.

2013년	2013/SN+년/NNB
세계문화유산에	세계/NNG+문화유산/NNG+에/JKB
등재된	등재/NNG+되/XSV+ㄴ/ETM
만월대는	만월대/NNP+는/JX
태조	태조/NNP
왕건	왕건/NNP
이래	이래/NNB
고려	고려/NNP
시대	시대/NNG
궁궐터로	궁궐터/NNG+로/JKB
남북이	남북/NNP+이/JKS
2007년부터	2007/SN+년/NNB+부터/JX
유물을	유물/NNG+을/JKO
공동	공동/NNG
발굴해왔다.	발굴/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.399.5.1
이번 방북을 제안한 새정치민주연합 원혜영 의원은 "남북이 공동 유물 발굴 기회를 잘 살리면 통일 시대 관광 자원을 확보할 수 있고 남북 관계 개선에도 큰 도움이 될 것"이라며 "역사 문화 교류를 단초로 남북 간 접촉 면을 넓혀갈 필요가 있다"고 했다.

이번	이번/NNG
방북을	방북/NNG+을/JKO
제안한	제안/NNG+하/XSV+ㄴ/ETM
새정치민주연합	새정치민주연합/NNP
원혜영	원혜영/NNP
의원은	의원/NNG+은/JX
"남북이	"/SS+남북/NNP+이/JKS
공동	공동/NNG
유물	유물/NNG
발굴	발굴/NNG
기회를	기회/NNG+를/JKO
잘	잘/MAG
살리면	살리/VV+면/EC
통일	통일/NNG
시대	시대/NNG
관광	관광/NNG
자원을	자원/NNG+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
남북	남북/NNP
관계	관계/NNG
개선에도	개선/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"역사	"/SS+역사/NNG
문화	문화/NNG
교류를	교류/NNG+를/JKO
단초로	단초/NNG+로/JKB
간	간/NNB
접촉	접촉/NNG
면을	면/NNG+을/JKO
넓혀갈	넓히/VV+어/EC+가/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.399.5.2
정병국 새누리당 의원도 "만월대에서 발굴된 고려청자와 기와, 청동기 등 각종 유물이 보존 처리가 미흡한 상태"라며 "개성 성균관 내의 임시 건물에 전시돼 있어 우리 정부의 지원이 필요한 상황"이라고 전했다.

정병국	정병국/NNP
새누리당	새누리당/NNP
의원도	의원/NNG+도/JX
